model,honest_delta,oracle_equal_delta,weak_fixed_oracle_delta,contraction,quantum_honest_candidate,quantum_oracle_candidate,quantum_weak_candidate,classical_weak_candidate,classical_honest_expected_ood,classical_oracle_expected_ood,budget_resamples,task,stratum,seed
svc,0.00023222925257526672,-0.0022977962904221494,-0.007579425366032844,-0.00781165461860811,pauli_xz_r1_full__as0.5__d6,pauli_xz_r1_full__as0.5__d12,pauli_xz_r1_full__as0.5__d12,rbf_gscale__d10,0.7089615803268835,0.7471850231222558,5000,acsincome,q1000,2024
gpc,0.00732085677557226,-0.0052905924973707386,0.011711380824387718,0.0043905240488154584,zmap_r2__as0.5__d6,zmap_r2__as0.5__d6,zmap_r2__as0.5__d6,rbf_gscale__d6,0.6447017145528305,0.6573131638257735,5000,acsincome,q1000,2024
svc,-0.007007777764103107,0.006792558633732515,0.010793447626549213,0.01780122539065232,pauli_xz_r1_full__as0.5__d10,zmap_r2__as0.5__d10,zmap_r2__as0.5__d10,rbf_gscale__d10,0.7340947776287234,0.7410239322445531,5000,acsincome,q2000,42
gpc,-0.00605643483932905,-0.001720856665805237,-0.002699387509794593,0.003357047329534457,pauli_xz_r1_full__as0.5__d12,zmap_r2__as0.5__d10,zmap_r2__as0.5__d10,rbf_gscale__d10,0.666620762720556,0.6743770457706177,5000,acsincome,q2000,42
svc,0.003193624034149356,-0.006748516777435487,-0.003535044951806232,-0.006728668985955588,zmap_r2__as0.5__d12,zmap_r2__as0.5__d12,zmap_r2__as0.5__d12,linear__d10,0.7473248907897634,0.7572670316013482,5000,acsincome,q2000,123
gpc,0.007675466247698437,-0.0058779044103893785,0.0016126954042338104,-0.006062770843464627,pauli_xz_r1_full__d8,zmap_r2__as0.5__d12,zmap_r2__as0.5__d12,rbf_gscale__d12,0.6822713729940022,0.7075188635485118,5000,acsincome,q2000,123
svc,-0.02132498348854106,-0.003163912555313564,-0.0024271844660195274,0.018897799022521533,zmap_r2__as0.5__d4,zmap_r2__as0.5__d12,pauli_xz_r1_full__as0.5__d12,rbf_gscale__d12,0.7208989878475662,0.758488858067499,5000,acsincome,q2000,999
gpc,0.04938194306848953,0.005361354930321638,0.0016924245426326312,-0.0476895185258569,pauli_xz_r1_full__as0.5__d10,pauli_xz_r1_full__as0.5__d10,pauli_xz_r1_full__as0.5__d10,rbf_gscale__d12,0.6458330361270722,0.6898536242652401,5000,acsincome,q2000,999
svc,-0.004992807570716407,-0.011095506544410494,-0.003445189785830638,0.0015476177848857686,zmap_r2__as0.5__d12,pauli_xz_r1_full__as0.5__d8,pauli_xz_r1_full__as0.5__d12,linear__d8,0.7372354748892691,0.743360962250001,5000,acsincome,q2000,7
gpc,0.012452555821189759,0.0050998500109797895,0.0012285012285012664,-0.011224054592688493,zmap_r2__as0.5__d12,pauli_xz_r1_full__as0.5__d12,pauli_xz_r1_full__as0.5__d12,rbf_gscale__d12,0.6918101155578391,0.7077623299675577,5000,acsincome,q2000,7
svc,-0.001840518972031302,-0.0076339489008316885,-0.002481389578163795,-0.0006408706061324931,pauli_xz_r1_full__as0.5__d6,pauli_xz_r1_full__as0.5__d10,pauli_xz_r1_full__as0.5__d10,rbf_gscale__d10,0.7164391531686555,0.727660882576655,5000,acsincome,q2000,2024
gpc,0.012527768702902287,0.0024862758789813144,0.0028845634292221645,-0.009643205273680122,pauli_xz_r1_full__as0.5__d12,pauli_xz_r1_full__as0.5__d12,pauli_xz_r1_full__as0.5__d12,rbf_gscale__d12,0.6471145288061483,0.6571560216300693,5000,acsincome,q2000,2024
