task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
college_scorecard,q2000,7,quantum,zz_r2_full__as2,8,zz_r2_full__as2__d8,gpc,not_applicable,,,ood_test,2.419180631637573,cuda,0.68,0.5,0.4047619047619047,0.0,0.564296875,0.4046023092026766,0.6243307824492746,0.2160122583485925,0.0356971950361699,0.5955298442470446
college_scorecard,q2000,7,quantum,zz_r2_full__as2,8,zz_r2_full__as2__d8,svc,fixed_c1,1.0,,validation,0.0339968204498291,cuda,0.892,0.6027484060037226,0.6331521739130435,0.325,0.907370005148311,0.5019859088429699,,,,
college_scorecard,q2000,7,quantum,zz_r2_full__as2,8,zz_r2_full__as2__d8,svc,fixed_c1,1.0,,id_test,0.0339968204498291,cuda,0.86,0.5943665586602932,0.6178872439844535,0.3137254901960784,0.855635045394758,0.4966972206592666,,,,
college_scorecard,q2000,7,quantum,zz_r2_full__as2,8,zz_r2_full__as2__d8,svc,fixed_c1,1.0,,ood_test,0.0339968204498291,cuda,0.683,0.5046875,0.4147739125779301,0.0185758513931888,0.5672794117647059,0.3948331324493355,,,,
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,svc,train_cv,1.0,0.8603823114373398,validation,0.0189974308013916,cuda,0.874,0.8906775969268543,0.7735621194585619,0.6227544910179641,0.9373094134885748,0.5941007658656875,,,,
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,svc,train_cv,1.0,0.8603823114373398,id_test,0.0189974308013916,cuda,0.822,0.8162875749895737,0.7289081394569634,0.5700483091787439,0.8857591992557183,0.5477694575504243,,,,
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,svc,train_cv,1.0,0.8603823114373398,ood_test,0.0189974308013916,cuda,0.636,0.6653492647058823,0.6266804507730996,0.5676959619952494,0.7141773897058824,0.4964438966796113,,,,
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,gpc,not_applicable,,,validation,2.693634271621704,cuda,0.922,0.7496138766781513,0.7813876837184274,0.6060606060606061,0.9464575660369888,0.6493391152509511,0.2615600723782705,0.0706248836109697,0.1179139905153828,0.4267448837224059
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,gpc,not_applicable,,,id_test,2.693634271621704,cuda,0.882,0.6981007988194154,0.7265252013979662,0.5203252032520326,0.8859516858618588,0.5990099184525062,0.3169196357257431,0.0928760714646494,0.0894752037624937,0.4478964230751129
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,gpc,not_applicable,,,ood_test,2.693634271621704,cuda,0.725,0.627389705882353,0.634789791644256,0.4532803180914513,0.6968933823529411,0.5530156581843214,0.5785017056862505,0.1959409772749061,0.0866290488482205,0.623548355487185
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,svc,fixed_c1,1.0,,validation,0.0200011730194091,cuda,0.874,0.8906775969268543,0.7735621194585619,0.6227544910179641,0.9373094134885748,0.5941007658656875,,,,
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,svc,fixed_c1,1.0,,id_test,0.0200011730194091,cuda,0.822,0.8162875749895737,0.7289081394569634,0.5700483091787439,0.8857591992557183,0.5477694575504243,,,,
college_scorecard,q2000,7,quantum,pauli_xz_r1_full__as2,8,pauli_xz_r1_full__as2__d8,svc,fixed_c1,1.0,,ood_test,0.0200011730194091,cuda,0.636,0.6653492647058823,0.6266804507730996,0.5676959619952494,0.7141773897058824,0.4964438966796113,,,,
college_scorecard,q2000,7,quantum,zmap_r2__as2,8,zmap_r2__as2__d8,svc,train_cv,0.1,0.8444770725205407,validation,0.0229995250701904,cuda,0.822,0.8536889628133539,0.7120095263365671,0.5340314136125655,0.9225773236703496,0.5460827597542294,,,,
college_scorecard,q2000,7,quantum,zmap_r2__as2,8,zmap_r2__as2__d8,svc,train_cv,0.1,0.8444770725205407,id_test,0.0229995250701904,cuda,0.782,0.7985467261236405,0.691321314688008,0.5240174672489083,0.860030156234962,0.4710666080253131,,,,
college_scorecard,q2000,7,quantum,zmap_r2__as2,8,zmap_r2__as2__d8,svc,train_cv,0.1,0.8444770725205407,ood_test,0.0229995250701904,cuda,0.573,0.6380514705882353,0.5719723055055188,0.5509989484752892,0.6928906250000001,0.5049498911770349,,,,
