setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,6,poly3,classical,4000,0.9659134749499884,0.9977309622390353,0.9999941289981783,1.21044754576609,0.9626455408644359,0.9972409204632351,0.9999939423439362,1.2270684202389552,0.9653462358396134,0.03979687801568731,0.967694763295832,0.03390681341325265,0.9635635934622915,0.0416935477450287,0.9957309164105937,0.07263315175237404,0.06893267203509872,0.06491821034394696,0.004014461691151758
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,6,laplacian_med,classical,4000,0.41544193252378714,0.6899602404312287,0.8952380196973121,15.10417879357399,0.4027436292123675,0.6711454913868194,0.876651417337704,16.550417676812835,0.40426208254288215,0.18950734020377472,0.41528963729131946,0.1897114503893884,0.39500323522937875,0.18955839620076134,0.951151196080267,0.07807161106092865,0.08094514528749927,0.08640483429044252,-0.0054596890029432465
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,6,matern15_med,classical,4000,0.5090144451740487,0.8156756519400268,0.9685898208433046,7.1914834482208185,0.4919587160060109,0.8057854959977863,0.9605675003064975,7.694103525615726,0.4921503678184619,0.2270877258706404,0.50592816228065,0.22307766806104903,0.48063052036729514,0.23123411455934456,0.949997561315194,0.07350485214849142,0.0824386473351103,0.07175688052571667,0.01068176680939363
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,6,matern25_med,classical,4000,0.540199636410115,0.8507207436733201,0.9801313241425007,6.020388061117375,0.5213623853292714,0.8411005268036305,0.9742660997650683,6.428540870479671,0.52235931936843,0.23366901209719615,0.5370910641812123,0.2283425058606321,0.5099211778499769,0.23888174724554925,0.9494128870442938,0.07283587901649255,0.08244221352691106,0.06897239908565328,0.013469814441257777
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,8,linear,classical,4000,0.9822323979853408,0.9985443946407682,0.9999999999999953,1.118804103195704,0.9820135182469116,0.9983209924699833,0.9999999999999976,1.1201725075506948,0.981993964769881,0.024141223122996488,0.9825713650902195,0.021081549206942638,0.9818547412516795,0.023432059845724055,0.9992706648453222,0.06328625917462494,0.05071361560713911,0.0633371304394161,-0.012623514832276993
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,8,rbf_gscale,classical,4000,0.827672166675794,0.9693844903162419,0.9979017603929821,2.1695274428224876,0.8227921282110604,0.9688446059459218,0.9977709546372778,2.196829491526223,0.8184330667134782,0.15215081838419675,0.822129928647291,0.14910637366872645,0.8153052087745511,0.15438279807200825,0.9916987332112225,0.06360989485356396,0.06230938029242413,0.05724773891095621,0.005061641381467918
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,8,poly2,classical,4000,0.971410678832553,0.9972195041417021,0.9999879473239328,1.18501020978465,0.970928715002578,0.9968017616635924,0.999986866422019,1.1879047766991402,0.9709429516699537,0.03462653285528153,0.9717917707315655,0.03133003330360708,0.9706331621927549,0.034492730285215795,0.9988077604959152,0.0630752358713701,0.051743595422010076,0.062156433481773875,-0.010412838059763799
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,8,poly3,classical,4000,0.9580888636382773,0.995687217869603,0.999956883534742,1.263973142644502,0.9574142120704583,0.9951323754115532,0.9999568192596116,1.2679132006548688,0.9572140287118467,0.04791345214934277,0.9583750470660185,0.044256567995478176,0.956746381516012,0.04839707015924636,0.9983005968748951,0.06343425841451884,0.05283403566904981,0.06213306577106884,-0.009299030102019032
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,8,laplacian_med,classical,4000,0.4024089947342876,0.651168699057425,0.8570784107586602,19.303857014965843,0.3926267554760275,0.6441370640680638,0.840836165938831,20.509093334633302,0.38437207892145725,0.18919912928373683,0.39243812539985085,0.19205271072915167,0.3776545555081248,0.18704685470420576,0.9623289152228438,0.08224961872179266,0.08844801352254494,0.08869124634952186,-0.0002432328269769135
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,data\processed\ember\splits_sparsity__m2_hist_byteent__ms42__h7a4e6b83\qsplits\splits_sparsity_q4000_id1800_ood1800_seed42,8,matern15_med,classical,4000,0.5161696393359703,0.797938770498417,0.9513314433608924,8.022634489667098,0.5071993841893474,0.7997614446083173,0.9456210398466405,8.232054009684166,0.4855529610380349,0.24073701285830576,0.49196330902906676,0.24288488438969122,0.4804759326388103,0.23986531658207297,0.9766499326689061,0.07184115440565787,0.08185679787743048,0.07222855647122117,0.009628241406209312
