task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
diabetes_readmission,q1000,2024,classical_ext,matern15_med,4,matern15_med__d4,svc,train_cv,1.0,0.5599701476291219,validation,0.0079998970031738,analytic_cpu,0.544,0.5549999999999999,0.5425654853620956,0.5169491525423728,0.5549333333333334,0.4356660711928557,,,,
diabetes_readmission,q1000,2024,classical_ext,matern15_med,4,matern15_med__d4,svc,train_cv,1.0,0.5599701476291219,id_test,0.0079998970031738,analytic_cpu,0.524,0.5526244862206051,0.5239923838781421,0.5258964143426295,0.5794757765649214,0.4561968947814248,,,,
diabetes_readmission,q1000,2024,classical_ext,matern15_med,4,matern15_med__d4,svc,train_cv,1.0,0.5599701476291219,ood_test,0.0079998970031738,analytic_cpu,0.558,0.5596238495398159,0.5558235353230832,0.5869158878504673,0.5571188475390156,0.5216011142623966,,,,
diabetes_readmission,q1000,2024,classical_ext,matern15_med,4,matern15_med__d4,gpc,not_applicable,,,validation,0.3240814208984375,analytic_cpu,0.54,0.4616666666666666,0.3992770429804216,0.1085271317829457,0.5760666666666667,0.4274734597350929,0.6670278751670737,0.2374485253960655,0.0357247074348953,0.6641511554179321
diabetes_readmission,q1000,2024,classical_ext,matern15_med,4,matern15_med__d4,gpc,not_applicable,,,id_test,0.3240814208984375,analytic_cpu,0.616,0.5296812883228893,0.4852436513383665,0.2258064516129032,0.576578397682097,0.4380602137159158,0.6594907513484141,0.2337399792154865,0.0434574083125012,0.6687006898155837
diabetes_readmission,q1000,2024,classical_ext,matern15_med,4,matern15_med__d4,gpc,not_applicable,,,ood_test,0.3240814208984375,analytic_cpu,0.506,0.4978391356542617,0.401412375980884,0.1512027491408934,0.5532452981192476,0.5135146128226233,0.7035736079683333,0.254747795554181,0.083195313301451,0.6692132578464839
diabetes_readmission,q1000,2024,classical_ext,matern25_med,4,matern25_med__d4,svc,train_cv,1.0,0.5611227315172391,validation,0.0099978446960449,analytic_cpu,0.556,0.5666666666666667,0.5543958249698916,0.5276595744680851,0.5627333333333333,0.4412873247639369,,,,
diabetes_readmission,q1000,2024,classical_ext,matern25_med,4,matern25_med__d4,svc,train_cv,1.0,0.5611227315172391,id_test,0.0099978446960449,analytic_cpu,0.516,0.5423152078700896,0.515992255876094,0.5140562248995983,0.5789367293309077,0.4574348316810195,,,,
diabetes_readmission,q1000,2024,classical_ext,matern25_med,4,matern25_med__d4,svc,train_cv,1.0,0.5611227315172391,ood_test,0.0099978446960449,analytic_cpu,0.556,0.5578231292517006,0.5531400966183575,0.5888888888888889,0.5598399359743896,0.5207903750193699,,,,
diabetes_readmission,q1000,2024,classical_ext,matern25_med,4,matern25_med__d4,gpc,not_applicable,,,validation,0.3441700935363769,analytic_cpu,0.552,0.47,0.3994509265614276,0.0967741935483871,0.5788666666666668,0.4282826647584967,0.6654692984502099,0.2367013722775009,0.0473180033067786,0.6655984015210982
