match_method,scope,caliper,n_total,n_pairs,retained_fraction,median_rank_ratio,p95_rank_ratio,median_abs_log_rank_gap,mean_delta,median_delta,frac_quantum_better
one_to_one,ember_m1,2.00,8100,7111,0.8779012345679013,1.202975684799227,1.8147079355273463,0.18479822465130535,-0.00793513589468814,-0.008550660036869773,0.32850513289270145
one_to_one,ember_m1,unfiltered,8100,8100,1.0,1.2490412688413537,2.595271012493963,0.22237627210140332,-0.007781352646065428,-0.008098090696806337,0.33827160493827163
one_to_one,ember_m2,1.10,8100,2026,0.25012345679012343,1.0415301578692544,1.0946428659247358,0.0406909374869433,-0.013012769306645565,-0.009059786231419231,0.2073050345508391
one_to_one,ember_m2,1.25,8100,4073,0.5028395061728395,1.100583285926612,1.2271532523737936,0.09584029919948911,-0.012172615271013322,-0.008274946757615975,0.2366805794254849
one_to_one,ember_m2,1.50,8100,5922,0.7311111111111112,1.1545564662955958,1.4490638402795952,0.14371625835673907,-0.011739225167979232,-0.008574285554062033,0.24012158054711247
one_to_one,ember_m2,2.00,8100,7337,0.9058024691358024,1.2077571040071835,1.8140031282596052,0.18876500645303373,-0.010767704169530573,-0.007894189044210576,0.26264140656944257
one_to_one,ember_m2,unfiltered,8100,8100,1.0,1.2472440271033158,2.2887144702881073,0.2209363388020591,-0.009855820965693587,-0.007109573905942246,0.2840740740740741
one_to_one,toniot_scanning_m2_centroid,1.10,8100,2049,0.25296296296296295,1.0388244229703818,1.0912238854061027,0.038089711283242345,-0.004302324962866168,-0.002014811250199977,0.31234748657881894
one_to_one,toniot_scanning_m2_centroid,1.25,8100,3390,0.4185185185185185,1.073161940159764,1.2352501105900007,0.07060937505613385,-0.004192850090930919,-0.002018867642888167,0.30855457227138644
one_to_one,toniot_scanning_m2_centroid,1.50,8100,4588,0.5664197530864198,1.1274263485519485,1.4507752091267754,0.11993746599493571,-0.0038035990562883047,-0.0019685039370078705,0.33260680034873585
one_to_one,toniot_scanning_m2_centroid,2.00,8100,5969,0.7369135802469136,1.2120905552946457,1.7665115871997552,0.19234660044569374,-0.0029144530594706,-0.0016330024262107834,0.3643826436589043
one_to_one,toniot_scanning_m2_centroid,unfiltered,8100,8100,1.0,1.3571802390690229,10.237751840652283,0.30540919374543196,-0.0010480438160523683,-0.0006858986027222236,0.42407407407407405
one_to_one,toniot_scanning_natural_cur,1.10,8100,2049,0.25296296296296295,1.0388244229703818,1.0912238854061027,0.038089711283242345,-0.012019329712640078,-0.00460184073629466,0.25036603221083453
one_to_one,toniot_scanning_natural_cur,1.25,8100,3390,0.4185185185185185,1.073161940159764,1.2352501105900007,0.07060937505613385,-0.013055227769492275,-0.004946069812923337,0.26489675516224187
one_to_one,toniot_scanning_natural_cur,1.50,8100,4588,0.5664197530864198,1.1274263485519485,1.4507752091267754,0.11993746599493571,-0.013579933345347501,-0.00560897435897445,0.28247602441150826
one_to_one,toniot_scanning_natural_cur,2.00,8100,5969,0.7369135802469136,1.2120905552946457,1.7665115871997552,0.19234660044569374,-0.014254994619807934,-0.006089743589743679,0.27575808343106045
one_to_one,toniot_scanning_natural_cur,unfiltered,8100,8100,1.0,1.3571802390690229,10.237751840652283,0.30540919374543196,-0.017760548489310964,-0.00837371523812458,0.264320987654321
one_to_one,unsw_dos_m2_centroid,1.10,8100,1230,0.15185185185185185,1.0486382759432402,1.0931536850559496,0.0474924424384775,-0.010890365992851102,-0.0034776415299930252,0.35365853658536583
one_to_one,unsw_dos_m2_centroid,1.25,8100,2394,0.29555555555555557,1.0961891312143217,1.2304712804084232,0.09183973325301453,-0.013390363547147599,-0.003987025861444116,0.3312447786131997
one_to_one,unsw_dos_m2_centroid,1.50,8100,3536,0.4365432098765432,1.163561184473657,1.4420803925210532,0.15148528894683588,-0.01675715759771077,-0.005010501050105254,0.3020361990950226
one_to_one,unsw_dos_m2_centroid,2.00,8100,5103,0.63,1.2760143203656111,1.8676753752556876,0.2437414077166844,-0.017024769584310363,-0.0058157073551883265,0.2843425436018029
one_to_one,unsw_dos_m2_centroid,unfiltered,8100,8100,1.0,1.6312921942076108,19.531854908309924,0.48937240263694815,-0.027572588187374854,-0.008425889169387413,0.25098765432098763
one_to_one,unsw_dos_natural_cur,1.10,8100,1230,0.15185185185185185,1.0486382759432402,1.0931536850559496,0.0474924424384775,-0.01043557054687586,-0.007428278688524581,0.2804878048780488
one_to_one,unsw_dos_natural_cur,1.25,8100,2394,0.29555555555555557,1.0961891312143217,1.2304712804084232,0.09183973325301453,-0.010702097403352094,-0.008024288874399543,0.2928153717627402
one_to_one,unsw_dos_natural_cur,1.50,8100,3536,0.4365432098765432,1.163561184473657,1.4420803925210532,0.15148528894683588,-0.010545598317921916,-0.008001088263235201,0.3003393665158371
one_to_one,unsw_dos_natural_cur,2.00,8100,5103,0.63,1.2760143203656111,1.8676753752556876,0.2437414077166844,-0.010965163403060656,-0.00841631104788998,0.30158730158730157
one_to_one,unsw_dos_natural_cur,unfiltered,8100,8100,1.0,1.6312921942076108,19.531854908309924,0.48937240263694815,-0.010930378679133228,-0.00891228635792396,0.31469135802469134
one_to_one,unsw_recon_m2_centroid,1.10,8100,1257,0.15518518518518518,1.0494719705359496,1.094747345830379,0.04828715247640236,-0.009379058316139069,-0.0028615399413263187,0.36992840095465396
one_to_one,unsw_recon_m2_centroid,1.25,8100,2488,0.3071604938271605,1.0993942274777089,1.2301328604649997,0.09475932330719261,-0.014842131194201972,-0.004113843208179979,0.3340032154340836
one_to_one,unsw_recon_m2_centroid,1.50,8100,3620,0.4469135802469136,1.1541353600940965,1.4490459660109598,0.1433514563404401,-0.016975407578292034,-0.005781182832418019,0.30082872928176796
one_to_one,unsw_recon_m2_centroid,2.00,8100,5153,0.6361728395061729,1.2645272458271264,1.8576981754706974,0.23469833361550752,-0.01748082227649344,-0.00650423904423858,0.2856588395109645
one_to_one,unsw_recon_m2_centroid,unfiltered,8100,8100,1.0,1.6053981656201168,18.21318098851404,0.47337180408363944,-0.0295486005881255,-0.009427899133881479,0.2554320987654321
one_to_one,unsw_recon_natural_cur,1.10,8100,1257,0.15518518518518518,1.0494719705359496,1.094747345830379,0.04828715247640236,-0.00450808089372455,-0.0035175213520773907,0.3818615751789976
one_to_one,unsw_recon_natural_cur,1.25,8100,2488,0.3071604938271605,1.0993942274777089,1.2301328604649997,0.09475932330719261,-0.006607163553687385,-0.004322654487671107,0.37017684887459806
one_to_one,unsw_recon_natural_cur,1.50,8100,3620,0.4469135802469136,1.1541353600940965,1.4490459660109598,0.1433514563404401,-0.006955526089021303,-0.00458348912616835,0.3665745856353591
one_to_one,unsw_recon_natural_cur,2.00,8100,5153,0.6361728395061729,1.2645272458271264,1.8576981754706974,0.23469833361550752,-0.007114713298451823,-0.005049292618910517,0.3648360178536775
one_to_one,unsw_recon_natural_cur,unfiltered,8100,8100,1.0,1.6053981656201168,18.21318098851404,0.47337180408363944,-0.011297945762339012,-0.0068929925909331224,0.34185185185185185
