group,model,delta,spec_id,spec_label
ember_m1,gpc,0.01250634054702398,S1,Legacy oracle; C=1; linear/RBF; native
unsw_recon_natural_cur,gpc,0.021613848108655718,S2,Legacy ID-selected; C=1; linear/RBF; native
ember_m1,svc,0.010044003864685994,S2,Legacy ID-selected; C=1; linear/RBF; native
ember_m2,svc,0.05813508038692096,S2,Legacy ID-selected; C=1; linear/RBF; native
toniot_scanning_m2_centroid,svc,0.1484311020107995,S2,Legacy ID-selected; C=1; linear/RBF; native
toniot_scanning_natural_cur,svc,0.021044516045841417,S2,Legacy ID-selected; C=1; linear/RBF; native
unsw_dos_m2_centroid,svc,0.030645315289965478,S2,Legacy ID-selected; C=1; linear/RBF; native
unsw_dos_natural_cur,svc,0.03750942289306092,S2,Legacy ID-selected; C=1; linear/RBF; native
unsw_recon_m2_centroid,svc,-0.0010871001826821855,S2,Legacy ID-selected; C=1; linear/RBF; native
unsw_recon_natural_cur,svc,0.027192958269868117,S2,Legacy ID-selected; C=1; linear/RBF; native
ember_m1,gpc,-0.003693379170059901,S3,Legacy oracle; C=1; extended; native
ember_m2,gpc,0.008314825954382796,S3,Legacy oracle; C=1; extended; native
toniot_scanning_m2_centroid,gpc,0.03464356769763994,S3,Legacy oracle; C=1; extended; native
toniot_scanning_natural_cur,gpc,0.008324375203547377,S3,Legacy oracle; C=1; extended; native
unsw_dos_m2_centroid,gpc,0.018332433653878835,S3,Legacy oracle; C=1; extended; native
unsw_dos_natural_cur,gpc,0.02391680794050472,S3,Legacy oracle; C=1; extended; native
unsw_recon_m2_centroid,gpc,0.020844574026512533,S3,Legacy oracle; C=1; extended; native
unsw_recon_natural_cur,gpc,0.016311491000436953,S3,Legacy oracle; C=1; extended; native
ember_m1,svc,4.565001227078517e-05,S3,Legacy oracle; C=1; extended; native
ember_m2,svc,0.0088101089175331,S3,Legacy oracle; C=1; extended; native
toniot_scanning_m2_centroid,svc,0.009974121077412048,S3,Legacy oracle; C=1; extended; native
toniot_scanning_natural_cur,svc,0.0020564640610910073,S3,Legacy oracle; C=1; extended; native
unsw_dos_m2_centroid,svc,0.0010809532197560115,S3,Legacy oracle; C=1; extended; native
unsw_dos_natural_cur,svc,0.022551090596650256,S3,Legacy oracle; C=1; extended; native
unsw_recon_m2_centroid,svc,-0.00154031882624861,S3,Legacy oracle; C=1; extended; native
unsw_recon_natural_cur,svc,0.0057305586617022695,S3,Legacy oracle; C=1; extended; native
ember_m1,gpc,-0.008618427834397653,S4,Legacy ID-selected; C=1; extended; native
ember_m2,gpc,0.007515959231886267,S4,Legacy ID-selected; C=1; extended; native
toniot_scanning_m2_centroid,gpc,0.03937679732371308,S4,Legacy ID-selected; C=1; extended; native
toniot_scanning_natural_cur,gpc,0.004644834265422861,S4,Legacy ID-selected; C=1; extended; native
unsw_dos_m2_centroid,gpc,0.0248210555794921,S4,Legacy ID-selected; C=1; extended; native
unsw_dos_natural_cur,gpc,0.018640832066234705,S4,Legacy ID-selected; C=1; extended; native
unsw_recon_m2_centroid,gpc,-0.002817665327874962,S4,Legacy ID-selected; C=1; extended; native
unsw_recon_natural_cur,gpc,0.019883423784444063,S4,Legacy ID-selected; C=1; extended; native
ember_m1,svc,-0.01219319926399625,S4,Legacy ID-selected; C=1; extended; native
ember_m2,svc,0.006965106290239646,S4,Legacy ID-selected; C=1; extended; native
toniot_scanning_m2_centroid,svc,0.02276329068957952,S4,Legacy ID-selected; C=1; extended; native
toniot_scanning_natural_cur,svc,-0.022932880546524943,S4,Legacy ID-selected; C=1; extended; native
unsw_dos_m2_centroid,svc,0.01243786215751139,S4,Legacy ID-selected; C=1; extended; native
unsw_dos_natural_cur,svc,0.017647560046703845,S4,Legacy ID-selected; C=1; extended; native
unsw_recon_m2_centroid,svc,-0.012084707272440895,S4,Legacy ID-selected; C=1; extended; native
unsw_recon_natural_cur,svc,0.009778006212120919,S4,Legacy ID-selected; C=1; extended; native
ember_m1,gpc,0.011214042763418,S5,v4 oracle; train-CV; linear/RBF; native
ember_m2,gpc,0.0225062759605061,S5,v4 oracle; train-CV; linear/RBF; native
toniot_scanning_m2_centroid,gpc,0.0207697518541441,S5,v4 oracle; train-CV; linear/RBF; native
toniot_scanning_natural_cur,gpc,0.0050811546958448,S5,v4 oracle; train-CV; linear/RBF; native
unsw_dos_m2_centroid,gpc,0.0004152899613349,S5,v4 oracle; train-CV; linear/RBF; native
unsw_dos_natural_cur,gpc,0.013750006824628,S5,v4 oracle; train-CV; linear/RBF; native
unsw_recon_m2_centroid,gpc,0.0013043916948415,S5,v4 oracle; train-CV; linear/RBF; native
unsw_recon_natural_cur,gpc,0.0148467766286501,S5,v4 oracle; train-CV; linear/RBF; native
ember_m1,svc,-0.0035956551221286,S5,v4 oracle; train-CV; linear/RBF; native
ember_m2,svc,0.0182557927604236,S5,v4 oracle; train-CV; linear/RBF; native
toniot_scanning_m2_centroid,svc,0.0047742776016993,S5,v4 oracle; train-CV; linear/RBF; native
toniot_scanning_natural_cur,svc,0.0008010366129644,S5,v4 oracle; train-CV; linear/RBF; native
unsw_dos_m2_centroid,svc,-0.0006719311811743,S5,v4 oracle; train-CV; linear/RBF; native
unsw_dos_natural_cur,svc,0.0022452427910621,S5,v4 oracle; train-CV; linear/RBF; native
unsw_recon_m2_centroid,svc,-1.5961067310109477e-05,S5,v4 oracle; train-CV; linear/RBF; native
unsw_recon_natural_cur,svc,-0.0006468044239238,S5,v4 oracle; train-CV; linear/RBF; native
ember_m1,gpc,-0.0049509083962416,S6,v4 ID-validation; train-CV; linear/RBF; native
ember_m2,gpc,0.0149095435613917,S6,v4 ID-validation; train-CV; linear/RBF; native
toniot_scanning_m2_centroid,gpc,0.0313369677230538,S6,v4 ID-validation; train-CV; linear/RBF; native
toniot_scanning_natural_cur,gpc,-0.0046014728561153,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_dos_m2_centroid,gpc,-0.0055984107457174,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_dos_natural_cur,gpc,0.0040575787559527,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_recon_m2_centroid,gpc,-0.0083168183065038,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_recon_natural_cur,gpc,0.0073523254034147,S6,v4 ID-validation; train-CV; linear/RBF; native
ember_m1,svc,-0.0094777630740012,S6,v4 ID-validation; train-CV; linear/RBF; native
ember_m2,svc,0.0138755804260725,S6,v4 ID-validation; train-CV; linear/RBF; native
toniot_scanning_m2_centroid,svc,-0.0016105368679613,S6,v4 ID-validation; train-CV; linear/RBF; native
toniot_scanning_natural_cur,svc,-0.0172486861682345,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_dos_m2_centroid,svc,-0.008489562638226,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_dos_natural_cur,svc,-0.0042530226787762,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_recon_m2_centroid,svc,-0.0075657530986521,S6,v4 ID-validation; train-CV; linear/RBF; native
unsw_recon_natural_cur,svc,0.0003516117007345,S6,v4 ID-validation; train-CV; linear/RBF; native
ember_m1,gpc,-0.001051056349523,S7,v4 oracle; train-CV; extended; native
ember_m2,gpc,0.0032115444486353,S7,v4 oracle; train-CV; extended; native
toniot_scanning_m2_centroid,gpc,0.0029004723655653,S7,v4 oracle; train-CV; extended; native
toniot_scanning_natural_cur,gpc,0.0012470159834119,S7,v4 oracle; train-CV; extended; native
unsw_dos_m2_centroid,gpc,-0.002187369786392,S7,v4 oracle; train-CV; extended; native
unsw_dos_natural_cur,gpc,2.021750554193892e-06,S7,v4 oracle; train-CV; extended; native
unsw_recon_m2_centroid,gpc,-0.002109584482552,S7,v4 oracle; train-CV; extended; native
unsw_recon_natural_cur,gpc,0.0064750652326946,S7,v4 oracle; train-CV; extended; native
ember_m1,svc,-0.013983614450755,S7,v4 oracle; train-CV; extended; native
ember_m2,svc,-0.0096771896657839,S7,v4 oracle; train-CV; extended; native
toniot_scanning_m2_centroid,svc,0.0006617502585126,S7,v4 oracle; train-CV; extended; native
toniot_scanning_natural_cur,svc,-0.000837406036655,S7,v4 oracle; train-CV; extended; native
unsw_dos_m2_centroid,svc,-0.0050511121780287,S7,v4 oracle; train-CV; extended; native
unsw_dos_natural_cur,svc,-0.0054262111384254,S7,v4 oracle; train-CV; extended; native
unsw_recon_m2_centroid,svc,-0.0042816868658759,S7,v4 oracle; train-CV; extended; native
unsw_recon_natural_cur,svc,-0.0021309914247858,S7,v4 oracle; train-CV; extended; native
ember_m1,gpc,-0.0002609609388653,S8,v4 ID-validation; train-CV; extended; native
ember_m2,gpc,4.08197657080124e-05,S8,v4 ID-validation; train-CV; extended; native
toniot_scanning_m2_centroid,gpc,0.0071406213901435,S8,v4 ID-validation; train-CV; extended; native
toniot_scanning_natural_cur,gpc,-0.0097717126959386,S8,v4 ID-validation; train-CV; extended; native
unsw_dos_m2_centroid,gpc,-0.0142369598118286,S8,v4 ID-validation; train-CV; extended; native
unsw_dos_natural_cur,gpc,-0.0078841831547649,S8,v4 ID-validation; train-CV; extended; native
unsw_recon_m2_centroid,gpc,-0.0102040785697931,S8,v4 ID-validation; train-CV; extended; native
unsw_recon_natural_cur,gpc,0.0028991500849694,S8,v4 ID-validation; train-CV; extended; native
ember_m1,svc,-0.0023759169873962,S8,v4 ID-validation; train-CV; extended; native
ember_m2,svc,-0.0052710496540851,S8,v4 ID-validation; train-CV; extended; native
toniot_scanning_m2_centroid,svc,-0.0010910757179839,S8,v4 ID-validation; train-CV; extended; native
toniot_scanning_natural_cur,svc,-0.0089651927604357,S8,v4 ID-validation; train-CV; extended; native
unsw_dos_m2_centroid,svc,-0.00217540303082,S8,v4 ID-validation; train-CV; extended; native
unsw_dos_natural_cur,svc,-0.0040528899239901,S8,v4 ID-validation; train-CV; extended; native
unsw_recon_m2_centroid,svc,-0.0090121408455245,S8,v4 ID-validation; train-CV; extended; native
unsw_recon_natural_cur,svc,0.0053025753355107,S8,v4 ID-validation; train-CV; extended; native
ember_m1,gpc,0.0024337859643169123,S9,v4 oracle; train-CV; extended; equal budget
ember_m2,gpc,0.006151486828196918,S9,v4 oracle; train-CV; extended; equal budget
toniot_scanning_m2_centroid,gpc,0.0064229655291432215,S9,v4 oracle; train-CV; extended; equal budget
toniot_scanning_natural_cur,gpc,0.0017915631397152068,S9,v4 oracle; train-CV; extended; equal budget
unsw_dos_m2_centroid,gpc,-0.0005563794731487207,S9,v4 oracle; train-CV; extended; equal budget
unsw_dos_natural_cur,gpc,0.0040838303243219435,S9,v4 oracle; train-CV; extended; equal budget
unsw_recon_m2_centroid,gpc,-0.0003595193155182699,S9,v4 oracle; train-CV; extended; equal budget
unsw_recon_natural_cur,gpc,0.009080228291525105,S9,v4 oracle; train-CV; extended; equal budget
ember_m1,svc,-0.010579061103775449,S9,v4 oracle; train-CV; extended; equal budget
ember_m2,svc,-0.005864533924184256,S9,v4 oracle; train-CV; extended; equal budget
toniot_scanning_m2_centroid,svc,0.0020227576773092113,S9,v4 oracle; train-CV; extended; equal budget
toniot_scanning_natural_cur,svc,-0.0003604004563869254,S9,v4 oracle; train-CV; extended; equal budget
unsw_dos_m2_centroid,svc,-0.0035060931668183994,S9,v4 oracle; train-CV; extended; equal budget
unsw_dos_natural_cur,svc,-0.002988989126279193,S9,v4 oracle; train-CV; extended; equal budget
unsw_recon_m2_centroid,svc,-0.0029887759948659773,S9,v4 oracle; train-CV; extended; equal budget
unsw_recon_natural_cur,svc,0.000655738116785721,S9,v4 oracle; train-CV; extended; equal budget
ember_m1,gpc,-0.0009031044683285292,S10,v4 ID-validation; train-CV; extended; equal budget
ember_m2,gpc,0.0026822704465864575,S10,v4 ID-validation; train-CV; extended; equal budget
toniot_scanning_m2_centroid,gpc,0.01093680143416114,S10,v4 ID-validation; train-CV; extended; equal budget
toniot_scanning_natural_cur,gpc,-0.008960140113946405,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_dos_m2_centroid,gpc,-0.010791628796974054,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_dos_natural_cur,gpc,-0.005732692963159262,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_recon_m2_centroid,gpc,-0.00745690739848131,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_recon_natural_cur,gpc,0.005220018777014299,S10,v4 ID-validation; train-CV; extended; equal budget
ember_m1,svc,-0.005818702088254458,S10,v4 ID-validation; train-CV; extended; equal budget
ember_m2,svc,-0.006389114510703675,S10,v4 ID-validation; train-CV; extended; equal budget
toniot_scanning_m2_centroid,svc,-0.0010628774863434645,S10,v4 ID-validation; train-CV; extended; equal budget
toniot_scanning_natural_cur,svc,-0.014824852657417722,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_dos_m2_centroid,svc,-0.004420691216090781,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_dos_natural_cur,svc,-0.0032785465044265437,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_recon_m2_centroid,svc,-0.008855486891971003,S10,v4 ID-validation; train-CV; extended; equal budget
unsw_recon_natural_cur,svc,0.004954488505684421,S10,v4 ID-validation; train-CV; extended; equal budget
