case,group,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
00_ember_m1,ember_m1,product_map,full_115,150,-0.26,-0.2961,-0.2279,0.03,0.014,0.038
00_ember_m1,ember_m1,product_map,full_115,200,-0.204,-0.232,-0.172,0.022,0.01,0.034
00_ember_m1,ember_m1,product_map,full_115,300,-0.124,-0.158,-0.09,0.006,-0.006,0.022
00_ember_m1,ember_m1,product_map,full_115,400,-0.065,-0.086,-0.04394999999999999,-0.006,-0.018,0.006100000000000023
00_ember_m1,ember_m1,product_map,full_115,500,-0.024,-0.024,-0.024,-0.024,-0.024,-0.024
01_ember_m2,ember_m2,product_map,customary_30,0,-0.314,-0.314,-0.314,0.064,0.064,0.064
01_ember_m2,ember_m2,product_map,customary_30,5,-0.31,-0.314,-0.302,0.064,0.06,0.064
01_ember_m2,ember_m2,product_map,customary_30,10,-0.306,-0.314,-0.294,0.064,0.056,0.064
01_ember_m2,ember_m2,product_map,customary_30,20,-0.298,-0.31,-0.282,0.06,0.052,0.064
01_ember_m2,ember_m2,product_map,customary_30,30,-0.29,-0.306,-0.274,0.06,0.048,0.064
01_ember_m2,ember_m2,product_map,customary_30,40,-0.282,-0.298,-0.26189999999999997,0.056,0.048,0.064
01_ember_m2,ember_m2,product_map,customary_30,50,-0.27,-0.29,-0.246,0.056,0.044,0.064
01_ember_m2,ember_m2,product_map,customary_30,75,-0.25,-0.274,-0.222,0.052,0.036,0.064
01_ember_m2,ember_m2,product_map,customary_30,100,-0.226,-0.254,-0.19984999999999997,0.048,0.036,0.06
01_ember_m2,ember_m2,product_map,customary_30,150,-0.19,-0.21205,-0.162,0.04,0.024,0.056
01_ember_m2,ember_m2,product_map,customary_30,200,-0.154,-0.17604999999999998,-0.13194999999999998,0.032,0.0199,0.048
01_ember_m2,ember_m2,product_map,customary_30,300,-0.102,-0.126,-0.088,0.016,0.0039000000000000024,0.036
01_ember_m2,ember_m2,product_map,customary_30,400,-0.068,-0.08405,-0.052,-0.004,-0.016,0.010050000000000012
01_ember_m2,ember_m2,product_map,customary_30,500,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036
01_ember_m2,ember_m2,product_map,full_115,0,-0.314,-0.314,-0.314,0.054,0.054,0.054
01_ember_m2,ember_m2,product_map,full_115,5,-0.31,-0.314,-0.302,0.054,0.05,0.054
01_ember_m2,ember_m2,product_map,full_115,10,-0.306,-0.314,-0.294,0.054,0.046,0.054
01_ember_m2,ember_m2,product_map,full_115,20,-0.298,-0.31,-0.282,0.05,0.042,0.054
01_ember_m2,ember_m2,product_map,full_115,30,-0.29,-0.306,-0.274,0.05,0.042,0.054
01_ember_m2,ember_m2,product_map,full_115,40,-0.282,-0.298,-0.26195,0.05,0.038,0.054
01_ember_m2,ember_m2,product_map,full_115,50,-0.27,-0.29,-0.24989999999999998,0.046,0.038,0.054
01_ember_m2,ember_m2,product_map,full_115,75,-0.25,-0.274,-0.224,0.042,0.03395,0.052050000000000006
01_ember_m2,ember_m2,product_map,full_115,100,-0.23,-0.254,-0.202,0.04,0.02995,0.05
01_ember_m2,ember_m2,product_map,full_115,150,-0.192,-0.21405,-0.168,0.031,0.018,0.046
01_ember_m2,ember_m2,product_map,full_115,200,-0.159,-0.18009999999999998,-0.134,0.026,0.01,0.03805000000000001
01_ember_m2,ember_m2,product_map,full_115,300,-0.104,-0.128,-0.09,0.01,-0.006,0.022
01_ember_m2,ember_m2,product_map,full_115,400,-0.068,-0.08804999999999999,-0.052,-0.01,-0.022,0.002
01_ember_m2,ember_m2,product_map,full_115,500,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,0,-0.366,-0.366,-0.366,0.004,0.004,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,5,-0.358,-0.366,-0.354,0.004,0.0039000000000000024,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,10,-0.354,-0.366,-0.342,0.004,0.0,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,20,-0.338,-0.358,-0.326,0.004,0.0,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,30,-0.326,-0.346,-0.306,0.004,0.0,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,40,-0.314,-0.334,-0.286,0.004,0.0,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,50,-0.298,-0.322,-0.27,0.004,0.0,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,75,-0.262,-0.2941,-0.234,0.004,-9.999999999999788e-05,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,100,-0.23,-0.266,-0.19,0.004,-0.004,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,150,-0.158,-0.2021,-0.122,0.004,-0.004,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,200,-0.086,-0.1342,-0.054,0.0,-0.004,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,300,-0.006,-0.018049999999999997,-0.004,0.0,-0.004,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,400,-0.004,-0.01,-0.004,-0.004,-0.004,0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,500,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,0,-0.366,-0.366,-0.366,0.002,0.002,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,5,-0.358,-0.366,-0.354,0.002,0.0019500000000000012,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,10,-0.354,-0.366,-0.342,0.002,0.0,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,20,-0.338,-0.358,-0.326,0.002,0.0,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,30,-0.326,-0.346,-0.306,0.002,0.0,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,40,-0.314,-0.334,-0.286,0.002,-4.999999999999894e-05,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,50,-0.298,-0.322,-0.27,0.002,-4.999999999999894e-05,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,75,-0.262,-0.2941,-0.234,0.002,-0.002049999999999999,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,100,-0.23,-0.266,-0.19,0.002,-0.004,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,150,-0.16,-0.2021,-0.122,0.002,-0.004,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,200,-0.089,-0.1342,-0.054,0.0,-0.004,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,300,-0.008,-0.022049999999999997,-0.004,-0.002,-0.004,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,400,-0.006,-0.01,-0.004,-0.004,-0.004,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,500,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,0,-0.512,-0.512,-0.512,0.012,0.012,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,5,-0.5,-0.5081,-0.49589999999999995,0.012,0.008,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,10,-0.492,-0.5,-0.48,0.012,0.008,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,20,-0.472,-0.488,-0.45589999999999997,0.012,0.008,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,30,-0.452,-0.472,-0.432,0.012,0.006,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,40,-0.432,-0.452,-0.41189999999999993,0.012,0.004,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,50,-0.412,-0.436,-0.388,0.012,0.003950000000000001,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,75,-0.36,-0.392,-0.332,0.01,0.002,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,100,-0.312,-0.348,-0.28,0.008,0.002,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,150,-0.212,-0.2481,-0.18,0.006,-0.006,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,200,-0.112,-0.152,-0.07589999999999998,0.004,-0.006099999999999998,0.012
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,300,-0.018,-0.030049999999999997,-0.014,-0.002,-0.01,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,400,-0.014,-0.02,-0.014,-0.008,-0.014,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,500,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,0,-0.514,-0.514,-0.514,0.002,0.002,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,5,-0.502,-0.5101,-0.49789999999999995,0.002,0.002,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,10,-0.494,-0.502,-0.482,0.002,0.002,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,20,-0.474,-0.49,-0.4579,0.002,0.002,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,30,-0.454,-0.47204999999999997,-0.434,0.002,0.0,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,40,-0.434,-0.454,-0.41195,0.002,0.0,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,50,-0.414,-0.438,-0.39,0.002,0.0,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,75,-0.362,-0.394,-0.334,0.002,0.0,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,100,-0.312,-0.34804999999999997,-0.282,0.002,0.0,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,150,-0.214,-0.25005,-0.182,0.002,-0.008,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,200,-0.112,-0.15205,-0.07594999999999999,0.0,-0.01,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,300,-0.02,-0.03205,-0.018,-0.004,-0.014,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,400,-0.018,-0.02,-0.018,-0.01,-0.018,-0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,500,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,0,-0.3,-0.3,-0.3,0.01,0.01,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,5,-0.296,-0.3,-0.284,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,10,-0.288,-0.3,-0.276,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,20,-0.276,-0.292,-0.264,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,30,-0.268,-0.284,-0.248,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,40,-0.256,-0.276,-0.236,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,50,-0.248,-0.268,-0.22,0.01,0.0059000000000000025,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,75,-0.216,-0.244,-0.18789999999999998,0.01,0.002,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,100,-0.188,-0.2161,-0.16,0.01,0.002,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,150,-0.132,-0.164,-0.09589999999999999,0.006,0.002,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,200,-0.08,-0.11610000000000001,-0.044,0.006,-0.002,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,300,-0.03,-0.044,-0.018,0.002,-0.004,0.008050000000000012
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,400,-0.019,-0.034,-0.012,-0.002,-0.008,0.004
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,500,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,0,-0.3,-0.3,-0.3,0.01,0.01,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,5,-0.296,-0.3,-0.284,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,10,-0.288,-0.3,-0.276,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,20,-0.276,-0.292,-0.264,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,30,-0.268,-0.284,-0.248,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,40,-0.256,-0.276,-0.236,0.01,0.006,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,50,-0.248,-0.268,-0.22,0.01,0.0059000000000000025,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,75,-0.216,-0.244,-0.18789999999999998,0.01,0.002,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,100,-0.188,-0.2161,-0.16,0.008,0.002,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,150,-0.132,-0.164,-0.09589999999999999,0.006,-0.002,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,200,-0.08,-0.12,-0.049949999999999994,0.004,-0.004,0.01
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,300,-0.035,-0.048,-0.026,-0.002,-0.012,0.006050000000000011
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,400,-0.024,-0.034,-0.016,-0.008,-0.016,0.002
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,500,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,0,-0.212,-0.212,-0.212,0.044,0.044,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,5,-0.208,-0.212,-0.2,0.044,0.04,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,10,-0.208,-0.212,-0.1959,0.044,0.036,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,20,-0.2,-0.212,-0.184,0.04,0.036,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,30,-0.192,-0.204,-0.17589999999999997,0.04,0.032,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,40,-0.184,-0.2,-0.168,0.04,0.028,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,50,-0.18,-0.196,-0.1599,0.036,0.028,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,75,-0.16,-0.184,-0.14,0.036,0.02,0.044
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,100,-0.144,-0.1681,-0.12,0.032,0.016,0.040100000000000025
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,150,-0.112,-0.14,-0.08395,0.024,0.008,0.03610000000000002
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,200,-0.08,-0.108,-0.05994999999999999,0.016,0.0039000000000000024,0.032
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,300,-0.052,-0.066,-0.038,0.004,-0.012,0.024
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,400,-0.04,-0.050050000000000004,-0.03,-0.01,-0.02,0.004
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,500,-0.026,-0.026,-0.026,-0.026,-0.026,-0.026
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,0,-0.212,-0.212,-0.212,0.034,0.034,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,5,-0.208,-0.212,-0.2,0.034,0.03,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,10,-0.208,-0.212,-0.1959,0.034,0.03,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,20,-0.2,-0.212,-0.184,0.034,0.026,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,30,-0.192,-0.204,-0.17589999999999997,0.03,0.022,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,40,-0.184,-0.2,-0.168,0.03,0.022,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,50,-0.18,-0.196,-0.1599,0.03,0.018,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,75,-0.16,-0.184,-0.14,0.026,0.0179,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,100,-0.144,-0.1681,-0.12,0.026,0.01,0.034
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,150,-0.112,-0.14,-0.092,0.018,0.006,0.03
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,200,-0.088,-0.108,-0.072,0.014,0.0,0.026
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,300,-0.063,-0.08005,-0.048,0.003,-0.016,0.016
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,400,-0.042,-0.056,-0.03194999999999999,-0.012,-0.024,0.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,500,-0.026,-0.026,-0.026,-0.026,-0.026,-0.026
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,0,-0.288,-0.288,-0.288,0.054,0.054,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,5,-0.284,-0.288,-0.272,0.054,0.05,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,10,-0.276,-0.288,-0.264,0.054,0.046,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,20,-0.268,-0.28,-0.252,0.05,0.0459,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,30,-0.256,-0.2721,-0.236,0.05,0.042,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,40,-0.244,-0.264,-0.2239,0.05,0.038,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,50,-0.236,-0.256,-0.21189999999999998,0.046,0.038,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,75,-0.208,-0.236,-0.176,0.042,0.03,0.054
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,100,-0.18,-0.212,-0.148,0.042,0.026,0.05
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,150,-0.128,-0.164,-0.092,0.034,0.018,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,200,-0.079,-0.112,-0.056,0.026,0.01,0.04005000000000001
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,300,-0.05,-0.062,-0.03594999999999999,0.01,-0.002,0.02205000000000001
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,400,-0.034,-0.046,-0.026,-0.006,-0.016,0.008
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,500,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,0,-0.288,-0.288,-0.288,0.046,0.046,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,5,-0.284,-0.288,-0.272,0.046,0.042,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,10,-0.276,-0.288,-0.264,0.046,0.038,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,20,-0.268,-0.28,-0.252,0.042,0.035949999999999996,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,30,-0.256,-0.2721,-0.236,0.042,0.034,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,40,-0.244,-0.264,-0.2239,0.042,0.03,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,50,-0.236,-0.256,-0.21189999999999998,0.038,0.03,0.046
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,75,-0.208,-0.236,-0.176,0.036,0.02595,0.044
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,100,-0.18,-0.212,-0.148,0.032,0.018,0.042
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,150,-0.128,-0.164,-0.092,0.024,0.012,0.038
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,200,-0.084,-0.112,-0.06194999999999999,0.016,0.004,0.03005000000000001
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,300,-0.053,-0.066,-0.042,0.0,-0.012,0.016
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,400,-0.042,-0.05205,-0.034,-0.016,-0.028,-0.004
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,500,-0.032,-0.032,-0.032,-0.032,-0.032,-0.032
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,0,-0.36,-0.36,-0.36,0.04,0.04,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,5,-0.356,-0.36,-0.348,0.04,0.036,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,10,-0.352,-0.36,-0.34,0.04,0.032,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,20,-0.34,-0.352,-0.328,0.04,0.032,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,30,-0.332,-0.348,-0.31189999999999996,0.04,0.028,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,40,-0.32,-0.34,-0.29989999999999994,0.036,0.028,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,50,-0.312,-0.3281,-0.284,0.036,0.024,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,75,-0.286,-0.308,-0.256,0.036,0.024,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,100,-0.26,-0.28409999999999996,-0.228,0.032,0.02,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,150,-0.212,-0.244,-0.17989999999999998,0.028,0.0159,0.036
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,200,-0.16,-0.1921,-0.11989999999999998,0.02,0.008,0.032
