run,group,dataset,dim,scope,n_kernels,rho_spec_train_eff_rank,rho_kta_ood,rho_kta_survival,partial_rho_eff_rank,partial_rho_kta_ood
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,8,quantum,12,0.22377622377622378,0.25874125874125875,0.1258741258741259,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,10,all,35,0.49684830295534,0.5972825384272822,0.5527384842012325,0.5254936942808283,0.6287599348010229
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,10,classical,23,0.7071905330793661,0.7625401764790091,0.743266639938062,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,10,quantum,12,0.15384615384615385,0.2867132867132868,0.3356643356643357,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,12,all,35,-0.12675957731204365,0.10715036093228,0.05434554253820214,-0.03505610926564342,0.18596524546230145
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,12,classical,23,-0.08055349887626602,-0.09735606919401477,-0.025698048721262783,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember_m1,ember,12,quantum,12,-0.0979020979020979,0.6363636363636365,0.41958041958041964,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,4,all,35,0.3672268907563025,0.26246498599439777,-0.012605042016806725,0.41548392506928994,0.28210857717218873
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,4,classical,23,0.5523715415019763,0.42193675889328064,-0.07015810276679843,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,4,quantum,12,-0.0979020979020979,-0.1398601398601399,0.02097902097902098,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,6,all,35,0.3151260504201681,0.3109243697478992,0.029691876750700282,0.4028085059797945,0.3635801306133543
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,6,classical,23,0.5681818181818182,0.567193675889328,0.15513833992094864,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,6,quantum,12,-0.17482517482517487,-0.1958041958041958,-0.21678321678321683,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,8,all,35,0.5428571428571429,0.5759103641456582,0.5408963585434174,0.5644906756260938,0.5991410621872659
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,8,classical,23,0.6610671936758893,0.6936758893280633,0.7213438735177865,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,8,quantum,12,0.22377622377622378,0.25874125874125875,0.1258741258741259,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,10,all,35,0.4918055798354099,0.5908390588851492,0.552458332916792,0.5070385068645903,0.6109851643305061
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,10,classical,23,0.7071905330793661,0.7625401764790091,0.743266639938062,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,10,quantum,12,0.1398601398601399,0.27272727272727276,0.3216783216783217,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,12,all,35,-0.10995167755796051,0.12339799736122702,0.07283423226769359,-0.02630963872509644,0.19299107581825467
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,12,classical,23,-0.05782060962284125,-0.07659995291914866,0.0,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember_m1,ember,12,quantum,12,-0.0979020979020979,0.6363636363636365,0.41958041958041964,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,4,all,35,0.3910364145658263,0.3543417366946779,0.16414565826330535,0.4086828633127384,0.35487212561036285
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,4,classical,23,0.5741106719367589,0.47332015810276684,0.21047430830039524,,
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember_m1,ember,4,quantum,12,0.034965034965034975,0.0979020979020979,-0.1328671328671329,,
