status,case,run,group,quantum_kernel,quantum_stratum,tier,shots,replicate,projection_condition,self_disagreement_from_exact,exact_accuracy_upper,shot_accuracy_upper,accuracy_upper_change,exact_nearest_cfg,shot_nearest_cfg,witness_identity_stable,exact_realized_accuracy_advantage,shot_realized_accuracy_advantage,realized_accuracy_advantage_change,exact_realized_bacc_advantage,shot_realized_bacc_advantage,realized_bacc_advantage_change,shot_quantum_ood_bacc
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,2,pre_psd,0.09,0.05,0.088,0.03799999999999999,matern25_med_x0.3__svc__d12,matern25_med_x0.1__svc__d12,False,-0.02400000000000002,-0.006000000000000005,0.018000000000000016,-0.02382172131147542,-0.006627817622950838,0.01719390368852458,0.7622630635245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,2,independent_square_psd,0.092,0.054,0.102,0.047999999999999994,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.006000000000000005,0.008000000000000007,-0.01472848360655743,-0.007492315573770503,0.007236168032786927,0.7523053278688525
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,2,independent_square_psd,0.092,0.05,0.09,0.039999999999999994,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.016000000000000014,0.008000000000000007,-0.02382172131147542,-0.016585553278688492,0.007236168032786927,0.7523053278688525
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,2,nystrom_psd,0.088,0.054,0.086,0.031999999999999994,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,0.0020000000000000018,0.016000000000000014,-0.01472848360655743,0.0005122950819671512,0.015240778688524581,0.7603099385245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,2,nystrom_psd,0.088,0.05,0.086,0.03599999999999999,matern25_med_x0.3__svc__d12,rbf_gscale_x3__svc__d12,False,-0.02400000000000002,-0.008000000000000007,0.016000000000000014,-0.02382172131147542,-0.008580942622950838,0.015240778688524581,0.7603099385245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,3,pre_psd,0.092,0.054,0.102,0.047999999999999994,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,0.006000000000000005,0.020000000000000018,-0.01472848360655743,0.004898821721311397,0.019627305327868827,0.7646964651639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,3,pre_psd,0.092,0.05,0.094,0.044,matern25_med_x0.3__svc__d12,matern15_med__svc__d8,False,-0.02400000000000002,-0.0040000000000000036,0.020000000000000018,-0.02382172131147542,-0.004194415983606592,0.019627305327868827,0.7646964651639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,3,independent_square_psd,0.09,0.054,0.104,0.049999999999999996,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,0.008000000000000007,0.02200000000000002,-0.01472848360655743,0.00675589139344257,0.021484375,0.7665535348360656
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,3,independent_square_psd,0.09,0.05,0.088,0.03799999999999999,matern25_med_x0.3__svc__d12,matern25_med_x0.1__svc__d12,False,-0.02400000000000002,-0.0020000000000000018,0.02200000000000002,-0.02382172131147542,-0.002337346311475419,0.021484375,0.7665535348360656
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,3,nystrom_psd,0.096,0.054,0.09,0.036,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.0020000000000000018,0.01200000000000001,-0.01472848360655743,-0.0033939549180328488,0.011334528688524581,0.7564036885245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,3,nystrom_psd,0.096,0.05,0.078,0.027999999999999997,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.01200000000000001,0.01200000000000001,-0.02382172131147542,-0.012487192622950838,0.011334528688524581,0.7564036885245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,4,pre_psd,0.102,0.054,0.1,0.046000000000000006,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.020000000000000018,-0.006000000000000005,-0.01472848360655743,-0.02164446721311486,-0.00691598360655743,0.7381531762295082
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,4,pre_psd,0.102,0.05,0.08,0.03,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.030000000000000027,-0.006000000000000005,-0.02382172131147542,-0.03073770491803285,-0.00691598360655743,0.7381531762295082
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,4,independent_square_psd,0.092,0.054,0.106,0.052,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.02200000000000002,-0.008000000000000007,-0.01472848360655743,-0.023501536885246033,-0.008773053278688603,0.736296106557377
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,4,independent_square_psd,0.092,0.05,0.086,0.03599999999999999,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.03200000000000003,-0.008000000000000007,-0.02382172131147542,-0.03259477459016402,-0.008773053278688603,0.736296106557377
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,4,nystrom_psd,0.084,0.054,0.094,0.04,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,-0.02200000000000002,-0.008000000000000007,-0.01472848360655743,-0.023117315573770503,-0.008388831967213073,0.7366803278688525
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,4,nystrom_psd,0.084,0.05,0.074,0.023999999999999994,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.03200000000000003,-0.008000000000000007,-0.02382172131147542,-0.03221055327868849,-0.008388831967213073,0.7366803278688525
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,5,pre_psd,0.098,0.054,0.104,0.049999999999999996,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d10,True,-0.014000000000000012,0.0,0.014000000000000012,-0.01472848360655743,-0.0010566086065574298,0.013671875,0.7587410348360656
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,5,pre_psd,0.098,0.05,0.096,0.046,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.010000000000000009,0.014000000000000012,-0.02382172131147542,-0.010149846311475419,0.013671875,0.7587410348360656
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,5,independent_square_psd,0.098,0.054,0.104,0.049999999999999996,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d10,True,-0.014000000000000012,0.0040000000000000036,0.018000000000000016,-0.01472848360655743,0.002945696721311397,0.017674180327868827,0.7627433401639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,5,independent_square_psd,0.098,0.05,0.092,0.041999999999999996,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.006000000000000005,0.018000000000000016,-0.02382172131147542,-0.006147540983606592,0.017674180327868827,0.7627433401639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,5,nystrom_psd,0.092,0.054,0.09,0.036,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.006000000000000005,0.008000000000000007,-0.01472848360655743,-0.007012038934426368,0.007716444672131062,0.7527856045081966
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,5,nystrom_psd,0.092,0.05,0.078,0.027999999999999997,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.016000000000000014,0.008000000000000007,-0.02382172131147542,-0.016105276639344357,0.007716444672131062,0.7527856045081966
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,6,pre_psd,0.088,0.054,0.102,0.047999999999999994,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,0.006000000000000005,0.020000000000000018,-0.01472848360655743,0.005186987704917989,0.01991547131147542,0.764984631147541
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,6,pre_psd,0.088,0.05,0.086,0.03599999999999999,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.0040000000000000036,0.020000000000000018,-0.02382172131147542,-0.00390625,0.01991547131147542,0.764984631147541
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,6,independent_square_psd,0.086,0.054,0.108,0.054,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d10,True,-0.014000000000000012,0.008000000000000007,0.02200000000000002,-0.01472848360655743,0.006948002049180335,0.021676485655737765,0.7667456454918034
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,6,independent_square_psd,0.086,0.05,0.096,0.046,matern25_med_x0.3__svc__d12,matern25_med__svc__d12,False,-0.02400000000000002,-0.0020000000000000018,0.02200000000000002,-0.02382172131147542,-0.002145235655737654,0.021676485655737765,0.7667456454918034
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,6,nystrom_psd,0.096,0.054,0.102,0.047999999999999994,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.014000000000000012,0.0,-0.01472848360655743,-0.015112704918032849,-0.00038422131147541894,0.7446849385245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,6,nystrom_psd,0.096,0.05,0.09,0.039999999999999994,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.02400000000000002,0.0,-0.02382172131147542,-0.024205942622950838,-0.00038422131147541894,0.7446849385245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,7,pre_psd,0.094,0.054,0.088,0.033999999999999996,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.0040000000000000036,0.010000000000000009,-0.01472848360655743,-0.005154969262295195,0.009573514344262235,0.7546426741803278
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,7,pre_psd,0.094,0.05,0.088,0.03799999999999999,matern25_med_x0.3__svc__d12,rbf_gscale_x3__svc__d12,False,-0.02400000000000002,-0.014000000000000012,0.010000000000000009,-0.02382172131147542,-0.014248206967213184,0.009573514344262235,0.7546426741803278
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,7,independent_square_psd,0.108,0.054,0.082,0.028000000000000004,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.010000000000000009,0.0040000000000000036,-0.01472848360655743,-0.011206454918032849,0.003522028688524581,0.7485911885245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,7,independent_square_psd,0.108,0.05,0.082,0.032,matern25_med_x0.3__svc__d12,rbf_gscale_x3__svc__d12,False,-0.02400000000000002,-0.020000000000000018,0.0040000000000000036,-0.02382172131147542,-0.020299692622950838,0.003522028688524581,0.7485911885245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,7,nystrom_psd,0.1,0.054,0.094,0.04,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.014000000000000012,0.0,-0.01472848360655743,-0.015208760245901676,-0.0004802766393442459,0.7445888831967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,7,nystrom_psd,0.1,0.05,0.086,0.03599999999999999,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.02400000000000002,0.0,-0.02382172131147542,-0.024301997950819665,-0.0004802766393442459,0.7445888831967213
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,8,pre_psd,0.098,0.054,0.092,0.038,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.0040000000000000036,0.010000000000000009,-0.01472848360655743,-0.005058913934426368,0.009669569672131062,0.7547387295081966
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,8,pre_psd,0.098,0.05,0.092,0.041999999999999996,matern25_med_x0.3__svc__d12,matern15_med__svc__d8,False,-0.02400000000000002,-0.014000000000000012,0.010000000000000009,-0.02382172131147542,-0.014152151639344357,0.009669569672131062,0.7547387295081966
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,8,independent_square_psd,0.104,0.054,0.098,0.044000000000000004,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.010000000000000009,0.0040000000000000036,-0.01472848360655743,-0.011206454918032849,0.003522028688524581,0.7485911885245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,8,independent_square_psd,0.104,0.05,0.094,0.044,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.020000000000000018,0.0040000000000000036,-0.02382172131147542,-0.020299692622950838,0.003522028688524581,0.7485911885245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,8,nystrom_psd,0.09,0.054,0.096,0.042,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.01200000000000001,0.0020000000000000018,-0.01472848360655743,-0.013159579918032849,0.001568903688524581,0.7466380635245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,8,nystrom_psd,0.09,0.05,0.084,0.034,matern25_med_x0.3__svc__d12,matern15_med__svc__d8,False,-0.02400000000000002,-0.02200000000000002,0.0020000000000000018,-0.02382172131147542,-0.022252817622950838,0.001568903688524581,0.7466380635245902
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,9,pre_psd,0.08,0.054,0.102,0.047999999999999994,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,-0.0020000000000000018,0.01200000000000001,-0.01472848360655743,-0.002913678278688603,0.011814805327868827,0.7568839651639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,9,pre_psd,0.08,0.05,0.088,0.03799999999999999,matern25_med_x0.3__svc__d12,matern25_med__svc__d8,False,-0.02400000000000002,-0.01200000000000001,0.01200000000000001,-0.02382172131147542,-0.012006915983606592,0.011814805327868827,0.7568839651639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,9,independent_square_psd,0.08,0.054,0.106,0.052,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d6,False,-0.014000000000000012,0.0020000000000000018,0.016000000000000014,-0.01472848360655743,0.0009925717213113971,0.015721055327868827,0.7607902151639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,9,independent_square_psd,0.08,0.05,0.094,0.044,matern25_med_x0.3__svc__d12,matern15_med__svc__d8,False,-0.02400000000000002,-0.008000000000000007,0.016000000000000014,-0.02382172131147542,-0.008100665983606592,0.015721055327868827,0.7607902151639344
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,9,nystrom_psd,0.09,0.054,0.096,0.042,rbf_gscale_x10__svc__d10,rbf_gscale_x3__svc__d12,False,-0.014000000000000012,-0.0040000000000000036,0.010000000000000009,-0.01472848360655743,-0.004674692622950838,0.010053790983606592,0.7551229508196722
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,9,nystrom_psd,0.09,0.05,0.072,0.021999999999999992,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.014000000000000012,0.010000000000000009,-0.02382172131147542,-0.013767930327868827,0.010053790983606592,0.7551229508196722
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,customary_30,128,10,pre_psd,0.09,0.054,0.1,0.046000000000000006,rbf_gscale_x10__svc__d10,rbf_gscale_x10__svc__d10,True,-0.014000000000000012,-0.008000000000000007,0.006000000000000005,-0.01472848360655743,-0.009061219262295195,0.005667264344262235,0.7507364241803278
post-hoc exploratory finite-shot extension,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,pauli_xz_r1_full__as2,product_map,full_115,128,10,pre_psd,0.09,0.05,0.08,0.03,matern25_med_x0.3__svc__d12,matern25_med_x0.3__svc__d6,False,-0.02400000000000002,-0.018000000000000016,0.006000000000000005,-0.02382172131147542,-0.018154456967213184,0.005667264344262235,0.7507364241803278
