task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,status,n_positive,n_signatures,bacc_lower,bacc_upper,realized_balanced_accuracy_advantage
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,116,112,-0.14363326149425285,0.012526939655172414,-0.022359913793103425
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,120,165,-0.49758771929824563,0.025657894736842102,-0.014912280701754432
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,120,262,-0.49758771929824563,0.01864035087719298,-0.02214912280701764
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,120,67,-0.13486842105263158,0.012499999999999999,-0.023684210526315752
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,120,96,-0.1682017543859649,0.012499999999999999,-0.0390350877192982
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,116,166,-0.5532507183908046,0.22288074712643677,-0.07412895114942519
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,116,270,-0.5532507183908046,0.22288074712643677,-0.07412895114942519
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,116,91,-0.17640984195402298,0.029364224137931036,-0.015535201149425415
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,116,114,-0.20316989942528732,0.029364224137931036,-0.021147629310344862
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,92,165,-0.49824168797953966,0.014546035805626599,-0.04699488491048598
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,92,243,-0.49824168797953966,0.014546035805626599,-0.04699488491048598
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,92,99,-0.20018115942028986,0.05029838022165387,-0.014386189258312032
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,92,125,-0.24733589087809035,0.05029838022165387,-0.014386189258312032
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,102,150,-0.5515075376884423,0.007414523598384078,-0.023253522514533387
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,102,231,-0.5515075376884423,0.007414523598384078,-0.026923834860577367
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_realized_prevalence_sensitivity,102,89,-0.1273031825795645,0.04347718987092325,-0.008178145630111322
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_realized_prevalence_sensitivity,102,109,-0.15698590994186618,0.04347718987092325,-0.02037146516898214
