task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,zero_label_lower,zero_label_upper,disagreement_min,disagreement_max,n_positive,quantum_accuracy,best_classical_accuracy,realized_accuracy_advantage,quantum_balanced_accuracy,best_classical_balanced_accuracy,realized_balanced_accuracy_advantage
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.308,0.014,0.014,0.308,120,0.698,0.74,-0.04200000000000004,0.6587719298245613,0.6736842105263158,-0.014912280701754432
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.366,0.014,0.014,0.366,120,0.698,0.758,-0.06000000000000005,0.6587719298245613,0.680921052631579,-0.02214912280701764
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.088,0.006,0.006,0.088,120,0.774,0.784,-0.010000000000000009,0.574780701754386,0.5984649122807018,-0.023684210526315752
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.104,0.006,0.006,0.104,120,0.774,0.792,-0.018000000000000016,0.574780701754386,0.6138157894736842,-0.0390350877192982
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,-0.36,0.176,0.176,0.36,116,0.674,0.776,-0.10199999999999998,0.6704382183908046,0.7445671695402298,-0.07412895114942519
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,-0.394,0.168,0.168,0.394,116,0.674,0.778,-0.10399999999999998,0.6704382183908046,0.7445671695402298,-0.07412895114942519
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,-0.116,0.022,0.022,0.116,116,0.79,0.802,-0.01200000000000001,0.6166038074712643,0.6321390086206897,-0.015535201149425415
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,-0.118,0.022,0.022,0.118,116,0.79,0.804,-0.014000000000000012,0.6166038074712643,0.6377514367816092,-0.021147629310344862
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.29,0.01,0.01,0.29,92,0.7,0.794,-0.09400000000000008,0.6562233589087809,0.7032182438192669,-0.04699488491048598
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.34,0.01,0.01,0.34,92,0.7,0.808,-0.1080000000000001,0.6562233589087809,0.7032182438192669,-0.04699488491048598
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,-0.102,0.034,0.034,0.102,92,0.808,0.808,0.0,0.604539641943734,0.618925831202046,-0.014386189258312032
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,-0.124,0.032,0.032,0.124,92,0.808,0.818,-0.009999999999999898,0.604539641943734,0.618925831202046,-0.014386189258312032
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,-0.29,0.006,0.006,0.29,102,0.722,0.762,-0.040000000000000036,0.6576756330672973,0.6809291555818306,-0.023253522514533387
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,-0.51,0.006,0.006,0.51,102,0.722,0.798,-0.07600000000000007,0.6576756330672973,0.6845994679278746,-0.026923834860577367
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,-0.104,0.024,0.024,0.104,102,0.802,0.808,-0.006000000000000005,0.5839737905212337,0.592151936151345,-0.008178145630111322
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,-0.11,0.024,0.024,0.11,102,0.802,0.808,-0.006000000000000005,0.5839737905212337,0.6043452556902158,-0.02037146516898214
