task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,policy,threshold,n_labels,n_informative_counterexamples
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,16,7
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,10,6
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,4,3
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,1,1
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,1,1
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,8,5
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,7,4
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,2,1
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,5,5
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,4,4
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,1,1
