task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,policy,threshold,n_labels
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
brfss_diabetes,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,1
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,1
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
brfss_diabetes,999,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,0
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,0
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
brfss_diabetes,999,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,9
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,4
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,1
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,7
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,4
brfss_diabetes,7,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,1
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
brfss_diabetes,7,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,4
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,2
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,4
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,2
brfss_diabetes,2024,svc,zmap_r2__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,retrospective_label_oracle,0.005,4
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,retrospective_label_oracle,0.01,2
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,retrospective_label_oracle,0.005,4
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,retrospective_label_oracle,0.01,2
brfss_diabetes,2024,gpc,pauli_xz_r1_full__as2,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,2
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,2
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
acsfoodstamps,42,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,2
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,2
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
acsfoodstamps,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,3
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,1
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,3
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,1
acsfoodstamps,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,1
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,1
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
acsfoodstamps,123,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,retrospective_label_oracle,0.005,43
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,retrospective_label_oracle,0.01,42
acsfoodstamps,999,svc,zmap_r2,product_map,customary_30,500,30,retrospective_label_oracle,0.02,39
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,retrospective_label_oracle,0.005,41
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,retrospective_label_oracle,0.01,40
acsfoodstamps,999,svc,zmap_r2,product_map,full_115,500,115,retrospective_label_oracle,0.02,37
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.005,5
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.01,3
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.02,1
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.005,5
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.01,3
acsfoodstamps,999,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.02,1
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,2
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,2
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
acsfoodstamps,7,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.005,11
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.01,6
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.02,4
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.005,7
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.01,6
acsfoodstamps,7,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.02,3
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.005,1
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.01,0
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,retrospective_label_oracle,0.02,0
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.005,1
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.01,0
acsfoodstamps,2024,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,retrospective_label_oracle,0.02,0
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.005,5
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.01,4
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,customary_30,500,30,retrospective_label_oracle,0.02,1
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.005,5
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.01,4
acsfoodstamps,2024,gpc,pauli_xz_r1_full,product_map,full_115,500,115,retrospective_label_oracle,0.02,1
