model,kernel,delta_ood,setting,qs,seed
svc,rbf_gscale,0.02082132103273755,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123
gpc,laplacian_med,0.007566147735280926,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
gpc,linear,0.012760266512909246,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
gpc,matern15_med,0.01318149785380227,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
gpc,matern25_med,0.0102504965084246,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
gpc,poly2,0.025192196809532996,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
gpc,poly3,0.037489589339483584,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
gpc,rbf_gscale,0.013889422768915315,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
svc,laplacian_med,0.0010971234544173037,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
svc,linear,0.030762701005829986,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
svc,matern15_med,0.007902492151963614,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
svc,matern25_med,0.00538631558716125,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
svc,poly2,0.010538791722724072,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
svc,poly3,0.02464924082260238,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
svc,rbf_gscale,0.02082132103273755,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42
gpc,laplacian_med,0.007566147735280926,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
gpc,linear,0.012760266512909246,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
gpc,matern15_med,0.01318149785380227,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
gpc,matern25_med,0.0102504965084246,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
gpc,poly2,0.025192196809532996,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
gpc,poly3,0.037489589339483584,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
gpc,rbf_gscale,0.013889422768915315,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
svc,laplacian_med,0.0010971234544173037,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
svc,linear,0.030556089435582058,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
svc,matern15_med,0.007902492151963614,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
svc,matern25_med,0.00538631558716125,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
svc,poly2,0.010538791722724072,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
svc,poly3,0.024455442372989956,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
svc,rbf_gscale,0.02082132103273755,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999
gpc,laplacian_med,0.008424951387388479,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
gpc,linear,0.06198462915522085,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
gpc,matern15_med,0.005667458872187425,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
gpc,matern25_med,0.00140066051421337,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
gpc,poly2,0.0077453007808883315,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
gpc,poly3,0.050122534646131124,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
gpc,rbf_gscale,0.020937683261829078,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
svc,laplacian_med,0.0009222506867496039,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
svc,linear,0.04279761721040776,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
svc,matern15_med,-0.0011000339516651803,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
svc,matern25_med,0.0028550263897033634,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
svc,poly2,0.0009068181116701046,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123
