dim,kernel,family,representation,spec_train_eff_rank,kta_train,setting,qs,seed
6,poly2,classical_ext_plain,plain,6.998729260566525,0.0902550909277507,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
6,poly3,classical_ext_plain,plain,10.544293590717842,0.0875174455330674,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
6,laplacian_med,classical_ext_plain,plain,19.57899657147268,0.0867402630756329,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
6,matern15_med,classical_ext_plain,plain,8.658375054273328,0.0888098077212042,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
6,matern25_med,classical_ext_plain,plain,7.0353235615934855,0.0895345505741,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
8,linear,classical_ext_plain,plain,6.2116975860808985,0.0887735493006297,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
8,rbf_gscale,classical_ext_plain,plain,15.735305842479846,0.0829709100258675,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
8,poly2,classical_ext_plain,plain,8.728725130415297,0.0872844557676554,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
8,poly3,classical_ext_plain,plain,13.56324258742011,0.0844603130973302,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
8,laplacian_med,classical_ext_plain,plain,22.50759596808408,0.0819677699173662,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
8,matern15_med,classical_ext_plain,plain,10.00936230567522,0.0845438114773401,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
8,matern25_med,classical_ext_plain,plain,8.114963317135443,0.0855530563985469,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
10,linear,classical_ext_plain,plain,7.249342661894611,0.0888435686064925,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
10,rbf_gscale,classical_ext_plain,plain,16.16107205837665,0.080078635889757,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
10,poly2,classical_ext_plain,plain,9.126893742347235,0.0868338270790949,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
10,poly3,classical_ext_plain,plain,14.496256061565914,0.0837369366951477,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
10,laplacian_med,classical_ext_plain,plain,26.560673851060294,0.0796905270702703,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
10,matern15_med,classical_ext_plain,plain,11.395194206326964,0.0814478980580766,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
10,matern25_med,classical_ext_plain,plain,9.183293901988865,0.082521153299211,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
12,linear,classical_ext_plain,plain,8.216233715337191,0.0896507716244027,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
12,rbf_gscale,classical_ext_plain,plain,16.697051923359037,0.0765605129277342,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
12,poly2,classical_ext_plain,plain,9.54007701843855,0.0846764059991103,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
12,poly3,classical_ext_plain,plain,15.207124934199523,0.0814994456102955,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
12,laplacian_med,classical_ext_plain,plain,27.78303704491816,0.0771480122644941,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
12,matern15_med,classical_ext_plain,plain,12.076451715511038,0.0786445343153738,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
12,matern25_med,classical_ext_plain,plain,9.70701288694491,0.0791181040241206,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
4,linear,classical_ext_plain,plain,3.1107396636032068,0.1088879618648387,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
4,rbf_gscale,classical_ext_plain,plain,7.596020531018721,0.1162976383061241,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
4,poly2,classical_ext_plain,plain,4.70770719654005,0.1138051755243025,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
4,poly3,classical_ext_plain,plain,6.579907610218802,0.1123304996187272,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
4,laplacian_med,classical_ext_plain,plain,16.317357224851435,0.1140183842849602,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
4,matern15_med,classical_ext_plain,plain,7.002440993485171,0.1160456302214267,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
4,matern25_med,classical_ext_plain,plain,5.755792755677703,0.1164745764960567,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
6,linear,classical_ext_plain,plain,4.480663769961779,0.0937687728887686,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
6,rbf_gscale,classical_ext_plain,plain,11.5622766243107,0.0986912675460926,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
6,poly2,classical_ext_plain,plain,6.8511866201125065,0.0946570037228735,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
6,poly3,classical_ext_plain,plain,10.14689719322322,0.0950904473079415,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
6,laplacian_med,classical_ext_plain,plain,17.796782976501223,0.0963114149888906,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
6,matern15_med,classical_ext_plain,plain,8.046180590314492,0.097275817704642,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
6,matern25_med,classical_ext_plain,plain,6.609632866086142,0.0971237147288389,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
8,linear,classical_ext_plain,plain,5.77430345304386,0.0972961430120823,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
8,rbf_gscale,classical_ext_plain,plain,13.305369840197365,0.0928443975847524,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
8,poly2,classical_ext_plain,plain,8.058669921814076,0.0955857077760156,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
8,poly3,classical_ext_plain,plain,11.987599274519871,0.0943146129147382,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
8,laplacian_med,classical_ext_plain,plain,19.103792342823915,0.0916776330845733,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
8,matern15_med,classical_ext_plain,plain,8.837513784557032,0.0938566694605556,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
8,matern25_med,classical_ext_plain,plain,7.328245943318468,0.0942241304601314,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
10,linear,classical_ext_plain,plain,6.7503539808023545,0.1025796642242942,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
10,rbf_gscale,classical_ext_plain,plain,14.722646544900892,0.0945295796751179,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
10,poly2,classical_ext_plain,plain,8.749744301758005,0.0973348124299221,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
10,poly3,classical_ext_plain,plain,13.38616153812077,0.0973512653218685,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
10,laplacian_med,classical_ext_plain,plain,21.69070926817077,0.0928137805570736,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
10,matern15_med,classical_ext_plain,plain,9.783687210972918,0.0945919611231859,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
10,matern25_med,classical_ext_plain,plain,8.009531198021898,0.0939971295648269,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
12,linear,classical_ext_plain,plain,7.652784279095215,0.1033504684210844,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
12,rbf_gscale,classical_ext_plain,plain,14.963763212937272,0.09116060861451,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
12,poly2,classical_ext_plain,plain,8.987479398644059,0.0955437377129702,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
12,poly3,classical_ext_plain,plain,13.987409857297692,0.0956643741133446,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
12,laplacian_med,classical_ext_plain,plain,24.80060106534441,0.0905482647684602,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
12,matern15_med,classical_ext_plain,plain,11.137738125152651,0.0915762062349297,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
12,matern25_med,classical_ext_plain,plain,9.07563107011238,0.0908018974010991,m1_hist_byteent__ms123__q1000_id500_ood500,7,123
4,linear,classical_ext_plain,plain,3.110740613064804,0.1088879669083029,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
4,rbf_gscale,classical_ext_plain,plain,7.596021725263635,0.1162976712455823,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
4,poly2,classical_ext_plain,plain,4.707708117581968,0.1138052099651277,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
4,poly3,classical_ext_plain,plain,6.579909013583224,0.1123305376079238,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
4,laplacian_med,classical_ext_plain,plain,16.317326954665273,0.1140183962654892,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
4,matern15_med,classical_ext_plain,plain,7.0024475914057165,0.1160456624978868,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
4,matern25_med,classical_ext_plain,plain,5.75579871190538,0.1164746077835083,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
6,linear,classical_ext_plain,plain,4.480663688819029,0.0937687849181975,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
6,rbf_gscale,classical_ext_plain,plain,11.562278370982812,0.098691279944106,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
6,poly2,classical_ext_plain,plain,6.851188039530648,0.0946570151629257,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
6,poly3,classical_ext_plain,plain,10.146898379373717,0.0950904565121598,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
6,laplacian_med,classical_ext_plain,plain,17.796820231591177,0.0963114287789054,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
6,matern15_med,classical_ext_plain,plain,8.046178091913848,0.0972758307308615,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
6,matern25_med,classical_ext_plain,plain,6.609631104496905,0.097123728302975,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
8,linear,classical_ext_plain,plain,5.774303844536567,0.097296087276399,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
8,rbf_gscale,classical_ext_plain,plain,13.305375080020855,0.0928443801249402,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
8,poly2,classical_ext_plain,plain,8.058671539804017,0.0955856640700984,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
8,poly3,classical_ext_plain,plain,11.987603190047794,0.0943145861195968,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
8,laplacian_med,classical_ext_plain,plain,19.103815702359263,0.0916775873600494,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
8,matern15_med,classical_ext_plain,plain,8.83752794555221,0.0938566346102804,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
8,matern25_med,classical_ext_plain,plain,7.328257915501273,0.0942240959132961,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
10,linear,classical_ext_plain,plain,6.750357229284117,0.1025800860880279,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
10,rbf_gscale,classical_ext_plain,plain,14.722549991448652,0.0945299987791425,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
10,poly2,classical_ext_plain,plain,8.749718901096866,0.0973350663841466,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
10,poly3,classical_ext_plain,plain,13.386111304859572,0.0973515485942505,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
10,laplacian_med,classical_ext_plain,plain,21.69068269618517,0.0928145241371419,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
10,matern15_med,classical_ext_plain,plain,9.78362712041902,0.0945923417135685,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
10,matern25_med,classical_ext_plain,plain,8.009470908826502,0.0939974545082466,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
12,linear,classical_ext_plain,plain,7.65278411254229,0.1033498695900883,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
12,rbf_gscale,classical_ext_plain,plain,14.963598876458825,0.0911596066648382,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
12,poly2,classical_ext_plain,plain,8.98743311683874,0.095542940448527,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
12,poly3,classical_ext_plain,plain,13.987316610913396,0.0956634615310657,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
12,laplacian_med,classical_ext_plain,plain,24.800148752215307,0.0905481817807417,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
12,matern15_med,classical_ext_plain,plain,11.137607484878991,0.0915753998576155,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
12,matern25_med,classical_ext_plain,plain,9.075530222436525,0.0908011001821213,m1_hist_byteent__ms123__q1000_id500_ood500,7,42
4,linear,classical_ext_plain,plain,3.110740226807588,0.1088879997205221,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
4,rbf_gscale,classical_ext_plain,plain,7.596021892311746,0.1162977127746963,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
4,poly2,classical_ext_plain,plain,4.707708011786683,0.1138052478221798,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
4,poly3,classical_ext_plain,plain,6.579908739741278,0.1123305742550344,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
4,laplacian_med,classical_ext_plain,plain,16.317327899108797,0.1140184131390872,m1_hist_byteent__ms123__q1000_id500_ood500,7,999
