run,group,model,shots,same_selection,ood_exact_selection,ood_shots_selection,selection_regret
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,svc,128,False,0.7349513319672132,0.7059746413934427,0.028976690573770503
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,svc,512,False,0.7349513319672132,0.7371926229508197,-0.002241290983606481
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,svc,2048,True,0.7349513319672132,0.7349513319672132,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs42__s42,ember_m1,svc,8192,True,0.7349513319672132,0.7349513319672132,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,gpc,128,False,0.7730793234225728,0.7757277047894897,-0.0026483813669169187
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,gpc,512,False,0.7730793234225728,0.7543326238978413,0.018746699524731514
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,gpc,2048,True,0.7730793234225728,0.7730793234225728,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,gpc,8192,True,0.7730793234225728,0.7730793234225728,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,svc,128,False,0.7286329231409323,0.7103742938983213,0.018258629242611013
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,svc,512,False,0.7286329231409323,0.7266566385559521,0.0019762845849802257
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,svc,2048,False,0.7286329231409323,0.7813205101534622,-0.052687587012529846
m1_hist_byteent__ms999__q1000_id500_ood500__qs7__s42,ember_m1,svc,8192,False,0.7286329231409323,0.7414587700628891,-0.012825846921956763
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,gpc,128,False,0.7231350055091063,0.7325977056192884,-0.009462700110182132
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,gpc,512,False,0.7231350055091063,0.7127649231965779,0.01037008231252834
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,gpc,2048,False,0.7231350055091063,0.7060567762006611,0.01707822930844516
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,gpc,8192,True,0.7231350055091063,0.7231350055091063,0.0
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,svc,128,False,0.7249659731674121,0.7086817032860198,0.01628426988139231
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,svc,512,False,0.7249659731674121,0.7068831421349406,0.018082831032471436
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,svc,2048,False,0.7249659731674121,0.7221790135459201,0.0027869596214920023
m1_hist_byteent__ms999__q1000_id500_ood500__qs999__s42,ember_m1,svc,8192,False,0.7249659731674121,0.6839879447793117,0.040978028388100385
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,gpc,128,False,0.7680821764263183,0.7510608316920465,0.01702134473427175
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,gpc,512,False,0.7680821764263183,0.7678580006725273,0.00022417575379096721
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,gpc,2048,True,0.7680821764263183,0.7680821764263183,0.0
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,gpc,8192,True,0.7680821764263183,0.7680821764263183,0.0
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,svc,128,False,0.7381547132952235,0.765424092488511,-0.027269379193287424
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,svc,512,False,0.7381547132952235,0.7531905013530609,-0.01503578805783734
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,svc,2048,False,0.7381547132952235,0.7531905013530609,-0.01503578805783734
m2_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember_m2,svc,8192,False,0.7381547132952235,0.746497253847016,-0.00834254055179251
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,gpc,128,False,0.7283340817242928,0.7655558406568734,-0.03722175893258062
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,gpc,512,True,0.7283340817242928,0.7283340817242928,0.0
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember_m2,gpc,2048,True,0.7283340817242928,0.7283340817242928,0.0
