task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
acsincome,q2000,999,quantum,pauli_xz_r1_full,10,pauli_xz_r1_full__d10,svc,fixed_c1,1.0,,ood_test,0.0265784263610839,cuda,0.74,0.7440393633181428,0.736931569830503,0.7085201793721974,0.7949648305924312,0.6883241436653202,,,,
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,svc,train_cv,1.0,0.6861925456379879,validation,0.0255837440490722,cuda,0.664,0.6804934406678593,0.6481881690707142,0.5736040609137056,0.7376453488372092,0.5464757444236722,,,,
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,svc,train_cv,1.0,0.6861925456379879,id_test,0.0255837440490722,cuda,0.694,0.7065104744984825,0.6775294965666376,0.6046511627906976,0.7761122214819751,0.5855800965188352,,,,
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,svc,train_cv,1.0,0.6861925456379879,ood_test,0.0255837440490722,cuda,0.726,0.7252328115712304,0.7211411636351793,0.684331797235023,0.7835843075094115,0.6836061935469965,,,,
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,gpc,not_applicable,,,validation,2.0900490283966064,cuda,0.722,0.6210494931425165,0.6283402585040562,0.4417670682730923,0.7410554561717353,0.5831360076123492,0.5428228263360152,0.1815274227800524,0.0533054648686008,0.5838427574211092
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,gpc,not_applicable,,,id_test,2.0900490283966064,cuda,0.758,0.6681656673328892,0.6815370443479405,0.5254901960784314,0.7767599378192317,0.6452875330851942,0.5211207433798377,0.1723999044119235,0.0609807804220582,0.5811810261214055
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,gpc,not_applicable,,,ood_test,2.0900490283966064,cuda,0.693,0.6455897893137837,0.6402249590125992,0.5024311183144247,0.7833696585430289,0.7105162332204445,0.5682264824190681,0.1931898570854716,0.0810990081469613,0.5787484013890155
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,svc,fixed_c1,1.0,,validation,0.0278072357177734,cuda,0.664,0.6804934406678593,0.6481881690707142,0.5736040609137056,0.7376453488372092,0.5464757444236722,,,,
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,svc,fixed_c1,1.0,,id_test,0.0278072357177734,cuda,0.694,0.7065104744984825,0.6775294965666376,0.6046511627906976,0.7761122214819751,0.5855800965188352,,,,
acsincome,q2000,999,quantum,zmap_r2,10,zmap_r2__d10,svc,fixed_c1,1.0,,ood_test,0.0278072357177734,cuda,0.726,0.7252328115712304,0.7211411636351793,0.684331797235023,0.7835843075094115,0.6836061935469965,,,,
