source,setting,qs,model,scope,predictor,kind,rho,n_cells,group
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,all,kta_id,honest,0.3210233592880979,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,all,spec_train_eff_rank,honest,0.5221357063403782,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,all,ood_novelty_ratio,label_free,-0.5457174638487208,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,quantum,kta_ood,diagnostic,0.4541353383458646,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.25864661654135335,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,quantum,kta_train,honest,-0.15037593984962402,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,quantum,kta_id,honest,0.04360902255639097,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,quantum,spec_train_eff_rank,honest,0.18646616541353384,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,gpc,quantum,ood_novelty_ratio,label_free,-0.24360902255639094,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,all,kta_ood,diagnostic,0.6992213570634038,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,all,kta_drop_id_to_ood,diagnostic,-0.5483870967741935,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,all,kta_train,honest,-0.2938820912124583,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,all,kta_id,honest,0.14571746384872078,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,all,spec_train_eff_rank,honest,0.6088987764182424,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,all,ood_novelty_ratio,label_free,-0.6129032258064516,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,quantum,kta_ood,diagnostic,0.5849624060150376,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.41353383458646614,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,quantum,kta_train,honest,-0.32481203007518794,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,quantum,kta_id,honest,-0.16691729323308271,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,quantum,spec_train_eff_rank,honest,0.33533834586466166,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,999,svc,quantum,ood_novelty_ratio,label_free,-0.3804511278195489,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,all,kta_ood,diagnostic,0.8593993325917685,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,all,kta_drop_id_to_ood,diagnostic,-0.7125695216907675,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,all,kta_train,honest,-0.0135706340378198,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,all,kta_id,honest,0.16307007786429364,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,all,spec_train_eff_rank,honest,0.7210233592880979,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,all,ood_novelty_ratio,label_free,-0.8206896551724139,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,quantum,kta_ood,diagnostic,0.813533834586466,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.5593984962406015,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,quantum,kta_train,honest,-0.13383458646616542,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,quantum,kta_id,honest,-0.060150375939849614,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,quantum,spec_train_eff_rank,honest,0.5954887218045113,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,gpc,quantum,ood_novelty_ratio,label_free,-0.7954887218045112,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,all,kta_ood,diagnostic,0.7939933259176863,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,all,kta_drop_id_to_ood,diagnostic,-0.671635150166852,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,all,kta_train,honest,-0.13103448275862067,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,all,kta_id,honest,0.09454949944382647,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,all,spec_train_eff_rank,honest,0.761067853170189,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,all,ood_novelty_ratio,label_free,-0.803781979977753,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,quantum,kta_ood,diagnostic,0.8210526315789473,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.7518796992481201,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,quantum,kta_train,honest,-0.5142857142857143,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,quantum,kta_id,honest,-0.37293233082706767,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,quantum,spec_train_eff_rank,honest,0.7428571428571428,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,2024,svc,quantum,ood_novelty_ratio,label_free,-0.8571428571428572,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,all,kta_ood,diagnostic,0.8389321468298109,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,all,kta_drop_id_to_ood,diagnostic,-0.8865406006674084,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,all,kta_train,honest,-0.6022246941045606,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,all,kta_id,honest,-0.603559510567297,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,all,spec_train_eff_rank,honest,0.7815350389321468,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,all,ood_novelty_ratio,label_free,-0.828698553948832,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,quantum,kta_ood,diagnostic,0.8466165413533834,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.9428571428571428,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,quantum,kta_train,honest,-0.7518796992481201,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,quantum,kta_id,honest,-0.7142857142857143,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,quantum,spec_train_eff_rank,honest,0.8962406015037594,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,gpc,quantum,ood_novelty_ratio,label_free,-0.9052631578947368,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,all,kta_ood,diagnostic,0.5185761957730812,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,all,kta_drop_id_to_ood,diagnostic,-0.6053392658509456,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,all,kta_train,honest,-0.6280311457174638,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,all,kta_id,honest,-0.6355951056729701,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,all,spec_train_eff_rank,honest,0.5595105672969966,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,all,ood_novelty_ratio,label_free,-0.5328142380422692,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,quantum,kta_ood,diagnostic,0.613533834586466,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.7443609022556391,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,quantum,kta_train,honest,-0.6601503759398496,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,quantum,kta_id,honest,-0.7368421052631579,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,quantum,spec_train_eff_rank,honest,0.7458646616541353,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,svc,quantum,ood_novelty_ratio,label_free,-0.669172932330827,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,all,kta_ood,diagnostic,0.7219132369299222,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,gpc,all,kta_drop_id_to_ood,diagnostic,-0.6983314794215795,30,ember_m1
