group,model,scope,predictor,kind,n_units,median_rho,frac_pos
unsw_dos_natural_cur,svc,all,ood_novelty_ratio,label_free,45,0.2781246117705833,0.9777777777777777
unsw_dos_natural_cur,svc,all,spec_train_eff_rank,honest,45,0.8442776735459664,1.0
unsw_dos_natural_cur,svc,classical,kta_drop_id_to_ood,diagnostic,45,-0.2526474883191463,0.1111111111111111
unsw_dos_natural_cur,svc,classical,kta_id,honest,45,0.47218045112781953,0.9333333333333333
unsw_dos_natural_cur,svc,classical,kta_ood,diagnostic,45,0.7714285714285714,1.0
unsw_dos_natural_cur,svc,classical,kta_train,honest,45,0.4207755787137161,0.9555555555555556
unsw_dos_natural_cur,svc,classical,ood_novelty_ratio,label_free,45,0.22949592651737755,0.8444444444444444
unsw_dos_natural_cur,svc,classical,spec_train_eff_rank,honest,45,0.7648005035662908,0.9777777777777777
unsw_dos_natural_cur,svc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.10985706646405614,0.35555555555555557
unsw_dos_natural_cur,svc,quantum,kta_id,honest,45,-0.4676691729323308,0.06666666666666667
unsw_dos_natural_cur,svc,quantum,kta_ood,diagnostic,45,-0.2571428571428572,0.17777777777777778
unsw_dos_natural_cur,svc,quantum,kta_train,honest,45,-0.45563909774436084,0.08888888888888889
unsw_dos_natural_cur,svc,quantum,ood_novelty_ratio,label_free,45,0.23325815482094112,0.8444444444444444
unsw_dos_natural_cur,svc,quantum,spec_train_eff_rank,honest,45,0.7187969924812029,0.9777777777777777
unsw_recon_m2_centroid,gpc,all,kta_drop_id_to_ood,diagnostic,45,-0.3529411780238313,0.0
unsw_recon_m2_centroid,gpc,all,kta_id,honest,45,0.27132001245213183,0.9333333333333333
unsw_recon_m2_centroid,gpc,all,kta_ood,diagnostic,45,0.6939101335280926,1.0
unsw_recon_m2_centroid,gpc,all,kta_train,honest,45,0.46062198089981177,1.0
unsw_recon_m2_centroid,gpc,all,ood_novelty_ratio,label_free,45,-0.011726628841644902,0.4222222222222222
unsw_recon_m2_centroid,gpc,all,spec_train_eff_rank,honest,45,0.16239035619909858,1.0
unsw_recon_m2_centroid,gpc,classical,kta_drop_id_to_ood,diagnostic,45,-0.8001510557650809,0.0
unsw_recon_m2_centroid,gpc,classical,kta_id,honest,45,0.312781954887218,0.8888888888888888
unsw_recon_m2_centroid,gpc,classical,kta_ood,diagnostic,45,0.7544190078455887,1.0
unsw_recon_m2_centroid,gpc,classical,kta_train,honest,45,0.4781954887218045,1.0
unsw_recon_m2_centroid,gpc,classical,ood_novelty_ratio,label_free,45,-0.5949466168099623,0.022222222222222223
unsw_recon_m2_centroid,gpc,classical,spec_train_eff_rank,honest,45,0.770966583291853,1.0
unsw_recon_m2_centroid,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.15789473684210525,0.06666666666666667
unsw_recon_m2_centroid,gpc,quantum,kta_id,honest,45,0.6451127819548872,1.0
unsw_recon_m2_centroid,gpc,quantum,kta_ood,diagnostic,45,0.7125660406949396,1.0
unsw_recon_m2_centroid,gpc,quantum,kta_train,honest,45,0.7458646616541353,1.0
unsw_recon_m2_centroid,gpc,quantum,ood_novelty_ratio,label_free,45,0.6210526315789473,1.0
unsw_recon_m2_centroid,gpc,quantum,spec_train_eff_rank,honest,45,-0.6375939849624059,0.0
unsw_recon_m2_centroid,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.20369077944107747,0.1111111111111111
unsw_recon_m2_centroid,svc,all,kta_id,honest,45,0.28247103553754244,1.0
unsw_recon_m2_centroid,svc,all,kta_ood,diagnostic,45,0.4944642609108124,1.0
unsw_recon_m2_centroid,svc,all,kta_train,honest,45,0.43416670623306086,1.0
unsw_recon_m2_centroid,svc,all,ood_novelty_ratio,label_free,45,-0.11820441872378061,0.26666666666666666
unsw_recon_m2_centroid,svc,all,spec_train_eff_rank,honest,45,0.13706083790114562,0.8
unsw_recon_m2_centroid,svc,classical,kta_drop_id_to_ood,diagnostic,45,-0.7727616935519567,0.0
unsw_recon_m2_centroid,svc,classical,kta_id,honest,45,0.30339838661065655,0.9555555555555556
unsw_recon_m2_centroid,svc,classical,kta_ood,diagnostic,45,0.7223478342842048,1.0
unsw_recon_m2_centroid,svc,classical,kta_train,honest,45,0.43700642428543074,1.0
