setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,gpc,0.9776518820887233,0.017172121577466348,0.9872680026668118,15,0.9876377161945324,5,0.9913582592273191,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,0.9762247278911468,0.02354963634637825,0.9874114775839126,15,0.984929486027218,5,0.9913060761708634,zmap_r2__svc__d10,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,gpc,0.9854583963485146,0.006890750653870613,0.9854195922163942,15,0.9923187041719927,5,0.9923187041719927,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,0.9669035137641944,0.01839026173457832,0.9863153669309186,15,0.9920749179134916,5,0.9920749179134916,zmap_r2__svc__d12,quantum,20,toniot_scanning_natural_cur
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,gpc,0.8887616479678994,0.029750834302871256,0.8960184025851592,15,0.9111285021418716,5,0.9170808830942526,zmap_r2__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,0.9046821830822747,0.02415267076960001,0.8936833899328974,15,0.9255299524459177,5,0.9255299524459178,pauli_xz_r1_full__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,gpc,0.9000903077288523,0.01699959912440661,0.8920386448472303,15,0.9338500321419522,5,0.9371620441972913,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,0.9035176910934356,0.015687527921970625,0.8949169212303552,15,0.9397672054246472,5,0.9397672054246471,pauli_xz_r1_full__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,gpc,0.9311040303963426,0.018691479149818436,0.8949893518934864,15,0.9396999597388451,5,0.9447494817086929,zmap_r2__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,0.9379272257934622,0.01664805574860889,0.8984856358324262,15,0.9463535503299664,5,0.9473254725761867,zmap_r2__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,gpc,0.8731159442666427,0.022689760714993647,0.8932621976180557,15,0.8916327606930086,5,0.9035144357902853,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,0.8995781168635393,0.013272114761625521,0.8948965526075567,15,0.9092789908074403,5,0.919222786743454,pauli_xz_r1_full__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,gpc,0.9036066192138453,0.021697269798814377,0.897619469886603,15,0.9335184574296358,5,0.933518457429636,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,0.9179816364766528,0.025122165771978525,0.8994185404108944,15,0.9372606056860718,5,0.937260605686072,pauli_xz_r1_full__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,gpc,0.8969075887520559,0.017845871319378745,0.8969610010843267,15,0.9362313400870195,5,0.9392313260400317,zmap_r2__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,0.9160601290405037,0.01596546434968563,0.8999913818918805,15,0.9382904148084649,5,0.9404339678298137,pauli_xz_r1_full__svc__d10,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,gpc,0.9006060927898555,0.03293817660223988,0.8990177099324408,15,0.9042282581867707,5,0.9108949248534373,zmap_r2__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,0.8992159620645271,0.040181368177824105,0.899545761709718,15,0.9183724435182201,5,0.9271917846276778,pauli_xz_r1_full__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,gpc,0.9206592695248365,0.026010760769985104,0.8947933001667395,15,0.9297850129099515,5,0.9312589684911272,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,0.9196774754651993,0.02743078843474857,0.8933321545545113,15,0.9391311496838407,5,0.9391311496838407,pauli_xz_r1_full__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,gpc,0.9156531663487707,0.023502910339988612,0.9030670980589918,15,0.9440036546307298,5,0.9440036546307298,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,svc,0.8968614316153816,0.007363130931762994,0.9034737437209923,15,0.9455460271054873,5,0.9455460271054873,zmap_r2__svc__d12,quantum,20,unsw_dos_m2_centroid
unsw_dos__natural_cur__ms123__q1000_id500_ood500,gpc,0.7831828426596911,0.026322436391946497,0.8950273702008716,15,0.8060381731785575,5,0.8130821862479408,zz_r2_full__gpc__d10,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms123__q1000_id500_ood500,svc,0.8014594847982646,0.034020362746137636,0.8984891071550197,15,0.8025326706566324,5,0.818192784257833,zz_r2_full__svc__d6,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms123__q2000_id1000_ood1000,gpc,0.7995218721387753,0.015440405976744162,0.9032110688551875,15,0.7973703254233176,5,0.8053178115328176,zz_r2_full__gpc__d6,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms123__q2000_id1000_ood1000,svc,0.8022037047984311,0.017988404477229887,0.9027140964374549,15,0.8077502491408115,5,0.8122257389614013,zz_r1_full__svc__d10,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms123__q4000_id1800_ood1800,gpc,0.8114739797629922,0.011988929505626985,0.9063706073013237,15,0.8158938556585665,5,0.8158938556585666,zz_r1_full__gpc__d12,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms123__q4000_id1800_ood1800,svc,0.8175880549645226,0.012950353251769868,0.9085038600583905,15,0.8247879366032942,5,0.8247879366032941,zz_r1_full__svc__d12,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms42__q1000_id500_ood500,gpc,0.7847748637446607,0.009847471705721965,0.8874506157551754,15,0.7918765504867664,5,0.8005636575861771,zz_r2_full__gpc__d6,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms42__q1000_id500_ood500,svc,0.7919190975406253,0.027863219273655957,0.8905978064415652,15,0.8016977734179982,5,0.8085979670458806,zz_r2_full__svc__d10,quantum,20,unsw_dos_natural_cur
unsw_dos__natural_cur__ms42__q2000_id1000_ood1000,gpc,0.8284151956050444,0.008651986226084651,0.9028348472721096,15,0.8270167573049931,5,0.8288204222369308,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_dos_natural_cur
