setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.8013992270618658,0.00877076737588599,0.7947436162941962,15,0.8027864983729728,5,0.8027864983729728,zz_r2_full__svc__d12,quantum,20,ember_m2
m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7601211877365915,0.020067043992531834,0.7759813757942319,15,0.7653093633743995,5,0.7653093633743996,laplacian_med__gpc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.758669933101028,0.02156568565494771,0.7713055009309436,15,0.7554237416915395,5,0.7616983604005679,laplacian_med__svc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7821301898594533,0.02255773614376012,0.7857621884710827,15,0.775339826357736,5,0.7753398263577361,laplacian_med__gpc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7595754284113693,0.026824497915766767,0.7880229232205328,15,0.7182114394097031,5,0.7595754284113693,laplacian_med__svc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7494486663879312,0.016584863059983853,0.7842497153222893,15,0.7461735773078986,5,0.7576003385047032,matern25_med__gpc__d10,classical_ext,35,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7515731037190946,0.0186503451617284,0.7855627273708827,15,0.7498599978803175,5,0.7513333569536766,laplacian_med__svc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7557274112899609,0.010693352255126609,0.7728243522262551,15,0.7673370900709923,5,0.7673370900709923,laplacian_med__gpc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.7564840924028631,0.008307379077863487,0.7763746822345005,15,0.7464939767460612,5,0.7562392368627352,laplacian_med__svc__d4,classical_ext,35,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.765214264867771,0.019698687007742004,0.778348988579197,15,0.7645555573582812,5,0.7645555573582811,laplacian_med__gpc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7508820446781057,0.016340399706496127,0.7818145325193261,15,0.7436164149510105,5,0.7527361281897168,laplacian_med__svc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7543692120429902,0.007049940786907454,0.7887811065173427,15,0.7585067932810503,5,0.7637135977517093,rbf_gscale__gpc__d10,classical_ext,35,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7502126134897159,0.014224659519712229,0.7937141736650944,15,0.7374066171056165,5,0.7502126134897159,laplacian_med__svc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7567601957281479,0.020568141330220162,0.7658386209019102,15,0.7663231727968458,5,0.7663231727968457,laplacian_med__gpc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7629443271886184,0.02686628484623034,0.7678658375532664,15,0.7673958571690997,5,0.7673958571690999,laplacian_med__svc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7614776673057332,0.010187395545964628,0.7856361755868747,15,0.7654642173946672,5,0.7677093700883287,matern25_med__gpc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7535289598235664,0.007433800212456497,0.7884736650719241,15,0.7404593304303331,5,0.7554850671821333,matern25_med__svc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7495275584491273,0.005649653683075115,0.7824408182640661,15,0.7585167347402255,5,0.7629243067355483,rbf_gscale__gpc__d12,classical_ext,35,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7501238008458446,0.010892114959375747,0.7875209868705977,15,0.7494431386331992,5,0.7631964437763621,rbf_gscale__svc__d12,classical_ext,35,ember_m1
m2_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7647877816726588,0.02233907350437049,0.7613516198173571,15,0.7622561341623523,5,0.766534792190449,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7616252382857737,0.023030383231240233,0.7633267643277476,15,0.7573167482907353,5,0.7615569176409182,laplacian_med__svc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7713998322494927,0.020569620927498772,0.7779230866355795,15,0.7703410814902782,5,0.7715423115498592,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.771226489765101,0.020375678324740527,0.777258431605515,15,0.7753073296273678,5,0.7753073296273676,laplacian_med__svc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7794821702322294,0.009948920750968895,0.7778294606714168,15,0.7795858433950605,5,0.7795858433950605,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7847808300714633,0.010172285766306402,0.7798340886518635,15,0.7850326448441312,5,0.7850326448441312,laplacian_med__svc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7602501296140206,0.02316618443065931,0.7673636413334893,15,0.7574300006670917,5,0.7619964933577903,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7582448715638626,0.015647442720317713,0.763734192402016,15,0.7623488483398589,5,0.7623488483398588,laplacian_med__svc__d10,classical_ext,35,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7669583577623916,0.012779671026575106,0.7611351627780285,15,0.7671158128805652,5,0.7671158128805652,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7648549213450333,0.013473765013193091,0.7711675590806352,15,0.7670367930323879,5,0.7670367930323879,laplacian_med__svc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7827406979310013,0.006688492109367553,0.7893526630887943,15,0.7816140723486613,5,0.7829502423172918,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7826251505269103,0.007534635936847776,0.7886718792869865,15,0.782469873859427,5,0.7833724778286619,laplacian_med__svc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7640504164454563,0.020597258494649225,0.763566637574975,15,0.764548739136244,5,0.7665250237212242,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.7702631840958343,0.013009908498956453,0.7722687438586952,15,0.7646798771284286,5,0.7685477049972812,laplacian_med__svc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7756632417564016,0.016120937590351,0.7667330200857044,15,0.7759339189298271,5,0.7759339189298271,laplacian_med__gpc__d12,classical_ext,35,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7761609348725571,0.017280098335522815,0.7696560828763633,15,0.7751152562482919,5,0.7764152293578325,laplacian_med__svc__d10,classical_ext,35,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7856539349719217,0.013102457263768446,0.7772082188688031,15,0.7856539349719217,5,0.7856539349719217,laplacian_med__gpc__d12,classical_ext,35,ember_m2
