setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7522599614749113,0.020266143938351806,0.7710458786384524,15,0.7139183969656624,5,0.7520480970681316,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7446563123557202,0.01844951412502595,0.7701292756520638,15,0.7453897253572376,5,0.756217779191434,rbf_gscale_x3__gpc__d10,classical_orig,30,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7411083156152022,0.009235763959398855,0.7718457817624517,15,0.7400747214644152,5,0.7483132473448435,rbf_gscale_x3__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7551613158922057,0.013590493820090104,0.7598191305688792,15,0.7530890174812346,5,0.7530890174812346,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.7542664651185108,0.02146181607152395,0.7518863683539099,15,0.749155958928868,5,0.7542664651185108,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7338713324922767,0.05415390729649423,0.765744631019703,15,0.7334270725678137,5,0.7532691298240586,rbf_gscale__gpc__d10,classical_orig,30,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7278240708069401,0.04831059742028317,0.7669114156627884,15,0.7199931776969976,5,0.7305150268267153,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7520444821042225,0.010021641562080467,0.7759446016521852,15,0.7392963671954919,5,0.7637135977517093,rbf_gscale__gpc__d10,classical_orig,30,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7393022511692778,0.003955312707283359,0.7818347495461663,15,0.7484005872533925,5,0.7533704714232766,rbf_gscale_x3__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7436505007933876,0.027662344485938628,0.761694858232865,15,0.7541049218961074,5,0.7541049218961073,rbf_gscale_x3__gpc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7531659597259416,0.021136049888607143,0.7495048113870731,15,0.7447492022232469,5,0.7546113341346654,rbf_gscale_x3__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7556439672196067,0.014919484522888628,0.7727827433226615,15,0.7676628444954656,5,0.7676628444954656,rbf_gscale_x3__gpc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7535582189924913,0.01836586082113114,0.7701192003147568,15,0.7420020407663965,5,0.7536842429370408,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7560296960039354,0.01185894978060647,0.7674319552802555,15,0.7573194196073663,5,0.7641596466178593,rbf_gscale_x3__gpc__d12,classical_orig,30,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7400753962830139,0.009875888429504523,0.767244389864518,15,0.7631231904866516,5,0.7631231904866514,rbf_gscale__svc__d12,classical_orig,30,ember_m1
m2_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7564724668472917,0.024390532732510496,0.7482433031804298,15,0.7528743264032873,5,0.7580286018539257,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7475208642578044,0.019988555039773797,0.7432809241724407,15,0.7454438057551594,5,0.7470536375709409,rbf_gscale_x10__svc__d10,classical_orig,30,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7672773557092794,0.01790458776870166,0.7703876545255922,15,0.7669555899827633,5,0.7674017892637084,rbf_gscale_x10__gpc__d10,classical_orig,30,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7692777949971049,0.01599284483963648,0.7668535658838284,15,0.7678943957876188,5,0.7713301810915933,rbf_gscale_x10__svc__d10,classical_orig,30,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.771807357125321,0.009162075387894016,0.752504540573778,15,0.7745722101538305,5,0.7745722101538303,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.758315515400228,0.016049372809485464,0.7549305459638027,15,0.7688017303593333,5,0.7688017303593333,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7569379171479367,0.018576126343916727,0.7636674842214997,15,0.7534349074701308,5,0.7565685273302886,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7459856220264879,0.014941010770998773,0.7488953471077173,15,0.7455878884251366,5,0.7478811721508406,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7582936659532556,0.016171178860223966,0.7505827474732768,15,0.7594399439950812,5,0.7594399439950812,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7589492065936151,0.013263263202182731,0.7456055950177917,15,0.7595468926604088,5,0.7607366254108852,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7728977109497152,0.008553623750632955,0.7625674130489085,15,0.7723000341354449,5,0.7739216223398283,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7604998189857878,0.023668855835571916,0.7613441109521024,15,0.7771863922115837,5,0.7771863922115838,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7531444997081774,0.022021378019337946,0.7540141532989467,15,0.7457638172980888,5,0.7569433483736098,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.748317216277779,0.03282199293849442,0.7513823155799243,15,0.7529098345890974,5,0.7555097321300809,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7677448199645763,0.01780823836799058,0.743539983146695,15,0.7696689805054501,5,0.7696689805054501,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.760498554938432,0.03689831222393166,0.7430043313789979,15,0.7699026522511876,5,0.7711368039374602,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7681498964874891,0.02738361573543038,0.749779858111732,15,0.7784879228118745,5,0.7784879228118745,rbf_gscale_x10__gpc__d12,classical_orig,30,ember_m2
m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7508563266066616,0.018632128001024973,0.7527828996383295,15,0.7760528600519441,5,0.7760528600519441,rbf_gscale_x10__svc__d12,classical_orig,30,ember_m2
