variant_name,master_seed,size_tag,family,dim,cfg,n_runs,drop_bal_acc_mean,drop_bal_acc_std
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,8,zmap_r2__d8,15,0.04245663136242288,0.0760665960699818
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,12,zz_r2_full__d12,15,0.046446848031598154,0.010982002803649674
m1_hist_byteent,42,size_q2000_id1000_ood1000,quantum,10,pauli_xz_r1_full__d10,15,0.05229353089004181,0.07431963075894683
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,4,linear,15,-0.03642221913677342,0.024559105801106623
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,10,rbf_gscale,15,-0.033336989683565056,0.020088802553899582
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,12,rbf_gscale,15,-0.02951102595827728,0.021245411820350682
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,12,linear,15,-0.02342989492429298,0.017476089749467787
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,6,linear,15,-0.02059908400816192,0.016701574333976347
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,10,linear,15,-0.014394614202703004,0.016068688884157044
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,8,linear,15,-0.013502474070500824,0.015150812208074725
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,8,rbf_gscale,15,-0.010905595840125315,0.013935030216197375
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,6,rbf_gscale,15,-0.010311914260464228,0.01095278873949195
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,4,rbf_gscale,15,0.016489907729447296,0.05602453090053126
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,4,zmap_r2__d4,15,-0.009925605297462402,0.011258117847140595
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,6,zmap_r2__d6,15,-0.009881119422899693,0.019129923623591928
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,6,pauli_xz_r1_full__d6,15,-0.009620302728808872,0.012706319131065152
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,8,pauli_xz_r1_full__d8,15,0.005306287048560199,0.019948610365432645
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,8,zmap_r2__d8,15,0.010228310380456306,0.01193270882651179
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,4,pauli_xz_r1_full__d4,15,0.013741998926779771,0.056452248444295014
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,10,pauli_xz_r1_full__d10,15,0.02658765733216845,0.019095975597774144
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,12,pauli_xz_r1_full__d12,15,0.02898646728703924,0.017123288889389472
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,4,zz_r2_full__d4,15,0.03351789652274136,0.02368460421038798
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,10,zmap_r2__d10,15,0.03417632731414082,0.011633612836377373
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,6,zz_r1_full__d6,15,0.03532454087328831,0.012871471077925021
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,4,zz_r1_full__d4,15,0.038120044290186075,0.037012949062247315
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,12,zmap_r2__d12,15,0.03839512738836341,0.00886583052471506
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,10,zz_r1_full__d10,15,0.04018750085268734,0.01472444799430818
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,8,zz_r1_full__d8,15,0.04260112943954138,0.0161336089515948
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,8,zz_r2_full__d8,15,0.042676693535260456,0.015286273124456585
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,12,zz_r1_full__d12,15,0.044983469153162245,0.012940412189748562
m1_hist_byteent,42,size_q4000_id1800_ood1800,quantum,6,zz_r2_full__d6,15,0.04656811406454871,0.011182573886250758
