variant,model,scope,stratum,effect,ci_lo,ci_hi,ci_method,bca_lo,bca_hi,bca_method,jackknife_min,jackknife_max,unit_of_resampling,n_independent_clusters,n_lower_level_obs,n_settings,method,assumptions
full,gpc,toniot_scanning_m2_centroid,q2000,0.0033238487687099333,-0.004597209168519321,0.011244906705939188,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,toniot_scanning_m2_centroid,q4000,0.0020402517381073555,-0.0044815926175189235,0.008562096093733634,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,toniot_scanning_natural_cur,all,-0.009771712695938625,-0.01997173807078191,0.0004283126789046618,cluster_t,-0.01767129726901568,-0.0042436393620946845,bca,-0.011441713667180392,-0.0067760544544649085,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,toniot_scanning_natural_cur,q1000,-0.014710287293622355,-0.03653979014871002,0.00711921556146531,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,toniot_scanning_natural_cur,q2000,-0.00667667528659852,-0.012706473209400472,-0.000646877363796569,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,toniot_scanning_natural_cur,q4000,-0.007928175507595,-0.013842737015171233,-0.0020136140000187657,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_m2_centroid,all,-0.014236959811828648,-0.020489047821388936,-0.00798487180226836,cluster_t,-0.01892265967861179,-0.010929738714993411,bca,-0.01545166155117958,-0.012395568274628708,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_m2_centroid,q1000,-0.009996848004267566,-0.04560828502611962,0.025614589017584483,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_m2_centroid,q2000,-0.02130947144814196,-0.039903449006044214,-0.0027154938902397042,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_m2_centroid,q4000,-0.011404559983076408,-0.024305273381851834,0.001496153415699017,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_natural_cur,all,-0.007884183154764907,-0.01615980802995762,0.000391441720427807,cluster_t,-0.012484798583353645,-0.0014351262686921034,bca,-0.01041923153896508,-0.006163710906362738,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_natural_cur,q1000,-0.004525889263008767,-0.014241366597504725,0.005189588071487192,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_natural_cur,q2000,-0.011906755886163092,-0.031867847206613106,0.008054335434286922,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_dos_natural_cur,q4000,-0.007219904315122863,-0.017667522980232005,0.003227714349986279,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_m2_centroid,all,-0.010204078569793103,-0.030740277214511665,0.010332120074925458,cluster_t,-0.023370296966202273,0.00204349365322231,bca,-0.01491671777983003,-0.006088104762489248,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_m2_centroid,q1000,-0.00878234291316363,-0.0490319178485385,0.031467232022211244,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_m2_centroid,q2000,-0.0136503927223311,-0.0327590814824136,0.005458296037751395,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_m2_centroid,q4000,-0.008179500073884582,-0.023401188143096153,0.007042187995326989,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_natural_cur,all,0.00289915008496941,-0.006845114319850453,0.012643414489789272,cluster_t,-0.004583990009770875,0.007671900137719021,bca,0.0007921660895835892,0.0059720050611744135,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_natural_cur,q1000,0.01323294203796511,0.002448555514148961,0.024017328561781258,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_natural_cur,q2000,-0.00273581068488602,-0.02417527695027692,0.018703655580504876,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,unsw_recon_natural_cur,q4000,-0.0017996810981708582,-0.008053918157569744,0.004454555961228028,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,gpc,dataset_equal_mean,all,-0.0029273780341101795,,,descriptive,,,,-0.004336031757875929,-0.0007128081197381133,none (descriptive),3,8,72,dataset-equal-weighted mean of case-study effects; jackknife columns hold the leave-one-dataset-out range,descriptive summary of fixed case studies; no population inference
full,gpc,heterogeneity,all,0.02137758120197218,-0.014236959811828648,0.007140621390143533,range,,,,,0.007499487844062978,none (descriptive),8,8,72,"between-case heterogeneity: effect=range, ci=[min,max], jackknife_max=SD of case effects","descriptive; case studies are fixed, not sampled"
full,svc,ember_m1,all,-0.0023759169873962564,-0.03639009170134173,0.03163825772654922,cluster_t,-0.024145171003420778,0.017716258197375472,bca,-0.010177482880280916,0.0063773663658325715,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,ember_m1,q1000,-0.021209853733297653,-0.05912576196011152,0.016706054493516212,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,ember_m1,q2000,0.01395803002404881,-0.02429316326226133,0.052209223310358946,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,ember_m1,q4000,0.00012407274706007082,-0.04213793084282304,0.042386076336943176,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,ember_m2,all,-0.005271049654085151,-0.010385925728790983,-0.00015617357937932046,cluster_t,-0.008098735647921218,-0.0018239255788174563,bca,-0.006778034662936975,-0.004204225929245808,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,ember_m2,q1000,0.00700319520561328,-0.007299782214442392,0.021306172625668952,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,ember_m2,q2000,-0.014642226705806652,-0.028065482240228798,-0.0012189711713845065,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,ember_m2,q4000,-0.008174117462062083,-0.016480630467191545,0.00013239554306737795,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_m2_centroid,all,-0.0010910757179839498,-0.004641338755712655,0.002459187319744755,cluster_t,-0.003226897643193131,0.0012308999675304665,bca,-0.001982123147917562,-0.0003158083358946715,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_m2_centroid,q1000,-0.004969959500518132,-0.011268020624427805,0.0013281016233915406,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_m2_centroid,q2000,0.0020623794539805394,-0.003443325657499792,0.007568084565460871,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_m2_centroid,q4000,-0.0003656471074142575,-0.0054084500806420915,0.004677155865813577,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_natural_cur,all,-0.008965192760435779,-0.025247708583516708,0.007317323062645152,cluster_t,-0.01926015998580968,0.0014745006560163058,bca,-0.012434423236601298,-0.00579989923298368,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_natural_cur,q1000,0.003319102297577506,-0.019534251970915743,0.026172456566070753,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_natural_cur,q2000,-0.008418194168507013,-0.0433137488147706,0.026477360477756576,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,toniot_scanning_natural_cur,q4000,-0.021796486410377833,-0.0671578133551387,0.023564840534383034,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_m2_centroid,all,-0.0021754030308200624,-0.011659702313595803,0.007308896251955677,cluster_t,-0.0069151699553125995,0.005168218969241035,bca,-0.005328500484780991,-0.0002530182615397533,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_m2_centroid,q1000,0.006526984201329421,-0.016847767467178032,0.029901735869836875,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_m2_centroid,q2000,-0.009551745513937743,-0.02082137375039996,0.0017178827225244747,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_m2_centroid,q4000,-0.0035014477798518662,-0.015553930278217613,0.00855103471851388,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_natural_cur,all,-0.004052889923990162,-0.01856312931378122,0.010457349465800899,cluster_t,-0.01390321850393753,0.0044177968315703255,bca,-0.007602364180571792,-0.0002793279580517844,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_natural_cur,q1000,-0.004809136716991605,-0.030418361902823987,0.02080008846884078,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_natural_cur,q2000,-0.002017515514406467,-0.011579049787949349,0.007544018759136414,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_dos_natural_cur,q4000,-0.005332017540572412,-0.027818168222031925,0.017154133140887103,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_recon_m2_centroid,all,-0.009012140845524536,-0.01414079683263045,-0.003883484858418622,cluster_t,-0.01211867360915064,-0.005843200550754116,bca,-0.010170356073962163,-0.00811255458964128,qsplit_seed,5,135,9,"t-interval on 5 qsplit-cluster nested means (Ibragimov-Muller, conditional sensitivity)","qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_recon_m2_centroid,q1000,-0.01467490493396718,-0.028656495909891354,-0.000693313958043007,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
full,svc,unsw_recon_m2_centroid,q2000,-0.011445429833367729,-0.02039961716207507,-0.0024912425046603875,cluster_t,,,,,,qsplit_seed,5,45,3,t-interval on qsplit-cluster means within size stratum,"qsplit clusters ~independent given fixed benchmark pools (audited overlap <=1.2% EMBER, <=7.8% netflow OOD); cluster means approx normal; master seed and size are fixed strata inside clusters; CONDITIONAL pipeline-realization uncertainty -- not inference about a population of datasets or shifts"
