group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta,n_classical,n_quantum
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,123,svc,0.7425981969864374,0.7485068293542136,-0.005908632367776279,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,999,svc,0.7425981969864374,0.7485068293542136,-0.005908632367776279,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,42,svc,0.7240423877114525,0.710577483958779,0.013464903752673507,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,123,svc,0.7240423877114525,0.710577483958779,0.013464903752673507,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,999,svc,0.7240423877114525,0.710577483958779,0.013464903752673507,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,42,svc,0.6064051574828404,0.6022676246070948,0.0041375328757455865,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,123,svc,0.6064051574828404,0.6022676246070948,0.0041375328757455865,115,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,999,svc,0.6064051574828404,0.6022676246070948,0.0041375328757455865,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,42,svc,0.723301185186969,0.7237205960852306,-0.0004194108982616962,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,123,svc,0.723301185186969,0.7237205960852306,-0.0004194108982616962,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,999,svc,0.723301185186969,0.7237205960852306,-0.0004194108982616962,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,42,svc,0.7434150517674545,0.6415043766302347,0.10191067513721974,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,123,svc,0.7434150517674545,0.6415043766302347,0.10191067513721974,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,999,svc,0.7434150517674545,0.6415043766302347,0.10191067513721974,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,123,42,svc,0.7237256034925527,0.7558423215202876,-0.03211671802773497,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,123,123,svc,0.7237256034925527,0.7558423215202876,-0.03211671802773497,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,123,999,svc,0.7237256034925527,0.7558423215202876,-0.03211671802773497,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,999,42,svc,0.7270885386635915,0.7375552565827408,-0.010466717919149326,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,999,123,svc,0.7270885386635915,0.736522198731501,-0.009433660067909577,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,999,999,svc,0.7270885386635915,0.736522198731501,-0.009433660067909577,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,42,svc,0.7492113817232711,0.6319834750444349,0.1172279066788362,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,123,svc,0.7492113817232711,0.6319834750444349,0.1172279066788362,115,60
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,999,svc,0.7492113817232711,0.637463771596932,0.11174761012633905,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,7,42,svc,0.660144738453015,0.6517744187398208,0.00837031971319424,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,7,123,svc,0.660144738453015,0.6517744187398208,0.00837031971319424,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,7,999,svc,0.660144738453015,0.6523080366693832,0.007836701783631828,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,42,42,svc,0.7330874409704002,0.6180159881477824,0.11507145282261788,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,42,123,svc,0.7330874409704002,0.6180159881477824,0.11507145282261788,115,60
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,42,999,svc,0.7330874409704002,0.617463501959937,0.1156239390104632,115,60
