group,model,scheme,budget,B,n_settings,q_p1_ood,c_p1_ood_median,delta_median,delta_p2.5,delta_p97.5,frac_resamples_delta_lt0,delta_full_pool,select_col,seed
toniot_scanning_natural_cur,gpc,kernel_stratified,60,5000,9,0.9792618455837212,0.9888363204133357,-0.009574474829614254,-0.010046215894157539,-0.008779572193599242,1.0,-0.009771712695938795,id_val,20260715
toniot_scanning_natural_cur,gpc,kernel_blocked,60,5000,9,0.9792618455837212,0.9887826276737819,-0.009520782090060513,-0.009869863849490228,-0.0036359283480662807,0.999,-0.009771712695938795,id_val,20260715
unsw_dos_m2_centroid,gpc,uniform,60,5000,9,0.8915446503407377,0.9027969399299554,-0.011252289589217646,-0.017874830930057112,-0.0016378476944449382,0.9912,-0.014236959811828487,id_val,20260715
unsw_dos_m2_centroid,gpc,kernel_stratified,60,5000,9,0.8915446503407377,0.9027470480460151,-0.011202397705277384,-0.017475572726315912,-0.0022609798490081058,0.9944,-0.014236959811828487,id_val,20260715
unsw_dos_m2_centroid,gpc,kernel_blocked,60,5000,9,0.8915446503407377,0.9031018996991637,-0.011557249358426003,-0.018296525846216535,-0.0003620191005001426,0.9782,-0.014236959811828487,id_val,20260715
unsw_dos_natural_cur,gpc,uniform,60,5000,9,0.8022951592880716,0.8095043734892156,-0.007209214201143849,-0.010357076735435813,-0.00041509161343246425,0.9796,-0.007884183154765023,id_val,20260715
unsw_dos_natural_cur,gpc,kernel_stratified,60,5000,9,0.8022951592880716,0.8093484268438265,-0.007053267555754873,-0.010198233793951714,-0.00037942663438487583,0.9808,-0.007884183154765023,id_val,20260715
unsw_dos_natural_cur,gpc,kernel_blocked,60,5000,9,0.8022951592880716,0.8095362327642617,-0.00724107347619,-0.010622709269040178,0.005530430829199711,0.924,-0.007884183154765023,id_val,20260715
unsw_recon_m2_centroid,gpc,uniform,60,5000,9,0.9019740429554661,0.909586951281703,-0.007612908326236734,-0.01338339070073345,0.00025167761492678035,0.9718,-0.010204078569793218,id_val,20260715
unsw_recon_m2_centroid,gpc,kernel_stratified,60,5000,9,0.9019740429554661,0.9096588220649685,-0.007684779109502191,-0.013141104555622793,-0.0007063543317956153,0.9846,-0.010204078569793218,id_val,20260715
unsw_recon_m2_centroid,gpc,kernel_blocked,60,5000,9,0.9019740429554661,0.9101881516552404,-0.008214108699774125,-0.014307473517528504,0.002649250933590103,0.9322,-0.010204078569793218,id_val,20260715
unsw_recon_natural_cur,gpc,uniform,60,5000,9,0.7905080727921957,0.7858252313818278,0.004682841410368035,0.00047154901075425603,0.011067245136298207,0.014,0.0028991500849694374,id_val,20260715
unsw_recon_natural_cur,gpc,kernel_stratified,60,5000,9,0.7905080727921957,0.785597574477591,0.004910498314604796,0.0007597829859942606,0.011098953895183065,0.0096,0.0028991500849694374,id_val,20260715
unsw_recon_natural_cur,gpc,kernel_blocked,60,5000,9,0.7905080727921957,0.7858733851655325,0.004634687626663155,0.0003902741430539184,0.011828691966153326,0.0188,0.0028991500849694374,id_val,20260715
