group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,7,42,svc,0.660144738453015,0.6517744187398208,0.00837031971319424
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,7,123,svc,0.660144738453015,0.6517744187398208,0.00837031971319424
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,7,999,svc,0.660144738453015,0.6523080366693832,0.007836701783631828
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,42,42,svc,0.7330874409704002,0.6180159881477824,0.11507145282261788
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,42,123,svc,0.7330874409704002,0.6180159881477824,0.11507145282261788
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,42,999,svc,0.7330874409704002,0.617463501959937,0.1156239390104632
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,123,42,svc,0.6115545114525054,0.746783716113876,-0.13522920466137056
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,123,123,svc,0.6115545114525054,0.746783716113876,-0.13522920466137056
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,123,999,svc,0.6115545114525054,0.746783716113876,-0.13522920466137056
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,999,42,svc,0.7095714298061809,0.7432573260943919,-0.03368589628821095
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,999,123,svc,0.7095714298061809,0.7438061735148089,-0.034234743708628
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,999,999,svc,0.7095714298061809,0.7432573260943919,-0.03368589628821095
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,42,svc,0.745915057915058,0.7434903474903475,0.0024247104247104856
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,123,svc,0.745915057915058,0.7429189189189189,0.0029961389961390417
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,999,svc,0.745915057915058,0.6288957528957528,0.11701930501930513
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,42,svc,0.7286329231409323,0.8071562304971915,-0.07852330735625923
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,123,svc,0.7286329231409323,0.8071562304971915,-0.07852330735625923
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,999,svc,0.7286329231409323,0.8071562304971915,-0.07852330735625923
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,42,svc,0.7349513319672132,0.7498078893442623,-0.014856557377049162
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,123,svc,0.7349513319672132,0.7498078893442623,-0.014856557377049162
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,999,svc,0.7349513319672132,0.7498078893442623,-0.014856557377049162
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,42,svc,0.7045443627804198,0.7509007061536244,-0.0463563433732046
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,123,svc,0.7045443627804198,0.7509007061536244,-0.0463563433732046
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,999,svc,0.7045443627804198,0.7509007061536244,-0.0463563433732046
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,42,svc,0.7303778598742627,0.751490699332426,-0.021112839458163224
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,123,svc,0.7303778598742627,0.751490699332426,-0.021112839458163224
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,999,svc,0.7321764210253419,0.751490699332426,-0.0193142783070841
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,42,svc,0.7189043556353839,0.7332413881583167,-0.014337032522932835
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,123,svc,0.7189043556353839,0.7332413881583167,-0.014337032522932835
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,999,svc,0.7189043556353839,0.7332413881583167,-0.014337032522932835
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,0.7568761313057124,0.7410549087129101,0.015821222592802275
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,0.7568761313057124,0.7410549087129101,0.015821222592802275
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,0.7568761313057124,0.7401097291287893,0.016766402176923156
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,0.7509601382599094,0.7553647725272439,-0.004404634267334506
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,0.7509601382599094,0.7553647725272439,-0.004404634267334506
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,0.7509601382599094,0.7553647725272439,-0.004404634267334506
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,0.6933262711864407,0.6991204417051875,-0.005794170518746755
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,123,svc,0.6933262711864407,0.6991204417051875,-0.005794170518746755
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,0.6933262711864407,0.7001797637390859,-0.006853492552645113
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,0.763597924274457,0.7763149465052214,-0.012717022230764319
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,0.763597924274457,0.7763149465052214,-0.012717022230764319
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,0.763597924274457,0.7763149465052214,-0.012717022230764319
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,0.7188315639461338,0.7479944276312629,-0.029162863685129103
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,0.7188315639461338,0.7479944276312629,-0.029162863685129103
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,0.7188315639461338,0.7479944276312629,-0.029162863685129103
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,0.7435103279493366,0.7365126986227339,0.006997629326602639
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,0.7435103279493366,0.7339052052172128,0.009605122732123772
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,0.7435103279493366,0.7339052052172128,0.009605122732123772
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,0.7329145961295102,0.7497422759961727,-0.01682767986666256
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,0.7329145961295102,0.7491897898083275,-0.016275193678817357
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,0.7329145961295102,0.7491897898083275,-0.016275193678817357
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,0.7269852554789651,0.7428085685141108,-0.015823313035145725
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,0.7269852554789651,0.7428085685141108,-0.015823313035145725
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,0.7269852554789651,0.7428085685141108,-0.015823313035145725
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,0.7450995766034185,0.740668050412469,0.004431526190949553
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,0.7450995766034185,0.7401056207161811,0.004993955887237389
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,0.7450995766034185,0.7401056207161811,0.004993955887237389
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,0.7397374517374518,0.7313359073359074,0.008401544401544392
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,0.7397374517374518,0.7313359073359074,0.008401544401544392
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,0.7397374517374518,0.7313359073359074,0.008401544401544392
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,42,svc,0.7318653886159607,0.7302731593349443,0.001592229281016433
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,123,svc,0.7318653886159607,0.7302731593349443,0.001592229281016433
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,999,svc,0.7318653886159607,0.7302731593349443,0.001592229281016433
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,42,svc,0.7764472336065573,0.7280353483606558,0.048411885245901565
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,123,svc,0.7764472336065573,0.7280353483606558,0.048411885245901565
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,999,svc,0.7764472336065573,0.7280353483606558,0.048411885245901565
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,0.7381547132952235,0.7527421498454789,-0.014587436550255406
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,0.7381547132952235,0.7527421498454789,-0.014587436550255406
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,999,svc,0.7381547132952235,0.7527421498454789,-0.014587436550255406
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,42,svc,0.7983991185430035,0.7812722794737184,0.017126839069285138
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,123,svc,0.7983991185430035,0.7812722794737184,0.017126839069285138
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,999,svc,0.7983991185430035,0.7812722794737184,0.017126839069285138
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,42,svc,0.7571685162614664,0.7770062223362628,-0.019837706074796402
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,123,svc,0.7571685162614664,0.7770062223362628,-0.019837706074796402
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,999,svc,0.7571685162614664,0.7770062223362628,-0.019837706074796402
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,42,svc,0.7204094574147433,0.7838388338370278,-0.06342937642228452
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,123,svc,0.7204094574147433,0.7838388338370278,-0.06342937642228452
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,999,svc,0.7204094574147433,0.7838388338370278,-0.06342937642228452
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,42,svc,0.7691707605895248,0.7702549167080059,-0.0010841561184811166
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,123,svc,0.7691707605895248,0.7702549167080059,-0.0010841561184811166
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,999,svc,0.7691707605895248,0.7702549167080059,-0.0010841561184811166
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,42,svc,0.8032871083718541,0.7916506163328196,0.011636492039034496
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,123,svc,0.8032871083718541,0.79070364663585,0.012583461736004109
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,999,svc,0.8032871083718541,0.7916506163328196,0.011636492039034496
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,42,svc,0.7742007816003588,0.7913943878531617,-0.017193606252802973
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,123,svc,0.7742007816003588,0.7913943878531617,-0.017193606252802973
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,999,svc,0.7742007816003588,0.7913943878531617,-0.017193606252802973
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,svc,0.7889945717442475,0.7920049318665834,-0.003010360122335909
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,svc,0.7889945717442475,0.7920049318665834,-0.003010360122335909
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,svc,0.7889945717442475,0.7920049318665834,-0.003010360122335909
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,42,svc,0.8088095806369036,0.7990059742948267,0.009803606342076887
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,123,svc,0.8088095806369036,0.7995853485706088,0.009224232066294746
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,999,svc,0.8088095806369036,0.7995853485706088,0.009224232066294746
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,42,svc,0.8072502237723387,0.8289700299391957,-0.02171980616685698
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,123,svc,0.7944813111515787,0.8289700299391957,-0.034488718787616945
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,999,svc,0.8072502237723387,0.8289638569091639,-0.021713633136825172
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,42,svc,0.8128465889771568,0.7949398782108745,0.017906710766282252
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,123,svc,0.8128465889771568,0.7954746375691633,0.017371951407993524
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,999,svc,0.8128465889771568,0.7954746375691633,0.017371951407993524
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,42,svc,0.8241329877673085,0.8153514290406345,0.008781558726673966
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,123,svc,0.8241329877673085,0.8147889993443465,0.009343988422962024
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,999,svc,0.8241329877673085,0.8147889993443465,0.009343988422962024
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,svc,0.7979305019305019,0.7991814671814672,-0.0012509652509653524
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,svc,0.7979305019305019,0.7991814671814672,-0.0012509652509653524
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,svc,0.7979305019305019,0.7991814671814672,-0.0012509652509653524
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,42,svc,0.747819686034789,0.7329295418540269,0.014890144180762066
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,123,svc,0.747819686034789,0.7329295418540269,0.014890144180762066
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,999,svc,0.747819686034789,0.7329295418540269,0.014890144180762066
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,42,svc,0.7241290983606558,0.7357517930327868,-0.011622694672131062
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,123,svc,0.7241290983606558,0.7357517930327868,-0.011622694672131062
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,999,svc,0.7241290983606558,0.7357517930327868,-0.011622694672131062
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,42,svc,0.7784422987622296,0.7801636483002674,-0.0017213495380378196
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,123,svc,0.7784422987622296,0.7801636483002674,-0.0017213495380378196
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,999,svc,0.7784422987622296,0.7801636483002674,-0.0017213495380378196
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,42,svc,0.7511828375137728,0.7223248428284399,0.0288579946853329
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,123,svc,0.7511828375137728,0.7223248428284399,0.0288579946853329
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,999,999,svc,0.7511828375137728,0.7223248428284399,0.0288579946853329
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,2024,42,svc,0.7794919494515364,0.755452562704471,0.024039386747065405
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,2024,123,svc,0.7794919494515364,0.755452562704471,0.024039386747065405
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,2024,999,svc,0.7794919494515364,0.757360959651036,0.022130989800500434
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,7,42,svc,0.7584494238618713,0.7823257438021505,-0.023876319940279167
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,7,123,svc,0.7584494238618713,0.7823257438021505,-0.023876319940279167
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,7,999,svc,0.7584494238618713,0.7823257438021505,-0.023876319940279167
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,42,42,svc,0.7546846745931415,0.7819926069353987,-0.027307932342257257
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,42,123,svc,0.7546846745931415,0.7819926069353987,-0.027307932342257257
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,42,999,svc,0.7546846745931415,0.7819926069353987,-0.027307932342257257
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,123,42,svc,0.7969793271700052,0.8014894709809963,-0.00451014381099113
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,123,123,svc,0.7969793271700052,0.8014894709809963,-0.00451014381099113
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,123,999,svc,0.7969793271700052,0.8014894709809963,-0.00451014381099113
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,999,42,svc,0.7663447370106989,0.7745451342174386,-0.008200397206739707
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,999,123,svc,0.7673777948619386,0.7745451342174386,-0.007167339355500069
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,999,999,svc,0.7663447370106989,0.7745451342174386,-0.008200397206739707
