group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,uniform,60,-0.006434210907365068,-0.010927043988540714,0.0004690190256351201,0.963
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,uniform,60,0.0019072306134321204,0.00021145509462849876,0.0042609867406128155,0.0086
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,uniform,60,0.0007532211663879851,-0.0015917413466241036,0.0031911731416210953,0.2432
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,uniform,60,0.005023765290053994,0.000137619382088916,0.0109148940735579,0.0246
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,uniform,60,0.0012027067383448276,-0.0017554923811428425,0.004607916194577344,0.2702
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,uniform,60,-0.004777168658219866,-0.0066261848101273335,-0.0025446268218007884,1.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,uniform,60,-0.008461844334512247,-0.012627785659947618,-0.0028013077546781284,0.998
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.001083067877890087,-0.003449315683546783,0.0011905206453857176,0.7988
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,uniform,60,0.004030393941764854,0.00018019757040704532,0.00574701932213216,0.0196
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_stratified,60,-0.007554084493165858,-0.010461482762800345,-0.004300876022663915,1.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,0.0013920694395276323,-7.36328611539161e-06,0.0032650415727231152,0.0274
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.00047575934807986275,-0.0012081246093802456,0.0018275731742249945,0.6968
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_stratified,60,0.0035792864778049216,0.0007300240099700206,0.007620505119254828,0.0042
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,0.0035323386498589127,-0.00014448814963796686,0.004862832372860115,0.0408
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.005080551784182985,-0.00639393454559462,-0.0032894184845413776,1.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_stratified,60,-0.009986317020037272,-0.01269852936362581,-0.006607631529787827,1.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.0007513332890006774,-0.003132319920619464,0.001257071514638497,0.674
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,0.004543618629494706,0.0011401136900195397,0.005800075767364965,0.0078
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_blocked,60,-0.007241754932497901,-0.011708014831296576,0.0012893663284071488,0.9106
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_blocked,60,0.0008437445815725475,-0.00159019025649898,0.002503030997324185,0.187
