setting,qs,seed,group,stratum,budget,quantum_ood,classical_expected_ood,delta,ms,size,dataset
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,123,ember_m1,all_quantum_maps,60,0.7492113817232711,0.6483638708747658,0.1008475108485053,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,999,ember_m1,all_quantum_maps,60,0.7492113817232711,0.6665209916574595,0.08269039006581158,42,2000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,42,ember_m1,all_quantum_maps,60,0.660144738453015,0.6482591152206632,0.011885623232351872,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,123,ember_m1,all_quantum_maps,60,0.660144738453015,0.650555371980545,0.009589366472469996,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,999,ember_m1,all_quantum_maps,60,0.660144738453015,0.6485456680488382,0.011599070404176848,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,42,ember_m1,all_quantum_maps,60,0.7330874409704002,0.6531669249050897,0.07992051606531059,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,123,ember_m1,all_quantum_maps,60,0.7330874409704002,0.6361360202475386,0.09695142072286167,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,999,ember_m1,all_quantum_maps,60,0.7330874409704002,0.622372217661039,0.11071522330936123,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,42,ember_m1,all_quantum_maps,60,0.6115545114525054,0.7307463045964576,-0.11919179314395223,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,123,ember_m1,all_quantum_maps,60,0.6115545114525054,0.7317278532348305,-0.12017334178232508,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,999,ember_m1,all_quantum_maps,60,0.6115545114525054,0.7317909084726901,-0.12023639702018474,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,42,ember_m1,all_quantum_maps,60,0.7095714298061809,0.7437299938632809,-0.03415856405709994,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,123,ember_m1,all_quantum_maps,60,0.7095714298061809,0.7440007822156149,-0.03442935240943401,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,999,ember_m1,all_quantum_maps,60,0.7095714298061809,0.743885991364142,-0.03431456155796109,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,42,ember_m1,all_quantum_maps,60,0.745915057915058,0.6586638980694981,0.08725115984555987,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,123,ember_m1,all_quantum_maps,60,0.745915057915058,0.6588498409266409,0.08706521698841707,42,4000,ember
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,999,ember_m1,all_quantum_maps,60,0.745915057915058,0.6293400123552124,0.11657504555984555,42,4000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,7,42,ember_m1,all_quantum_maps,60,0.7286329231409323,0.7772981549343106,-0.04866523179337834,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,7,123,ember_m1,all_quantum_maps,60,0.7286329231409323,0.7772981549343106,-0.04866523179337834,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,7,999,ember_m1,all_quantum_maps,60,0.7286329231409323,0.7772981549343106,-0.04866523179337834,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,42,42,ember_m1,all_quantum_maps,60,0.7349513319672132,0.7357081582991805,-0.0007568263319672752,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,42,123,ember_m1,all_quantum_maps,60,0.7349513319672132,0.7357081582991805,-0.0007568263319672752,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,42,999,ember_m1,all_quantum_maps,60,0.7349513319672132,0.7357081582991805,-0.0007568263319672752,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,123,42,ember_m1,all_quantum_maps,60,0.7045443627804198,0.7412736401338649,-0.03672927735344511,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,123,123,ember_m1,all_quantum_maps,60,0.7045443627804198,0.7412736401338649,-0.03672927735344511,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,123,999,ember_m1,all_quantum_maps,60,0.7045443627804198,0.7412736401338649,-0.03672927735344511,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,999,42,ember_m1,all_quantum_maps,60,0.7303778598742627,0.7269775422904918,0.0034003175837709065,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,999,123,ember_m1,all_quantum_maps,60,0.7303778598742627,0.7242948149588437,0.006083044915419,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,999,999,ember_m1,all_quantum_maps,60,0.7321764210253419,0.7242948149588437,0.007881606066498126,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,2024,42,ember_m1,all_quantum_maps,60,0.7189043556353839,0.7366065655269741,-0.017702209891590215,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,2024,123,ember_m1,all_quantum_maps,60,0.7189043556353839,0.7366065655269741,-0.017702209891590215,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,2024,999,ember_m1,all_quantum_maps,60,0.7189043556353839,0.7366065655269741,-0.017702209891590215,999,1000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,ember_m1,all_quantum_maps,60,0.7568761313057124,0.7415966194277549,0.015279511877957508,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,ember_m1,all_quantum_maps,60,0.7568761313057124,0.7415966194277549,0.015279511877957508,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,ember_m1,all_quantum_maps,60,0.7568761313057124,0.7411058821876794,0.015770249118033042,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,ember_m1,all_quantum_maps,60,0.7509601382599094,0.7585792226080557,-0.007619084348146288,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,ember_m1,all_quantum_maps,60,0.7509601382599094,0.7585792226080557,-0.007619084348146288,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,ember_m1,all_quantum_maps,60,0.7509601382599094,0.7585792226080557,-0.007619084348146288,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,ember_m1,all_quantum_maps,60,0.6933262711864407,0.727665925141243,-0.03433965395480221,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,123,ember_m1,all_quantum_maps,60,0.6933262711864407,0.727665925141243,-0.03433965395480221,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,ember_m1,all_quantum_maps,60,0.6933262711864407,0.7277284251412428,-0.03440215395480206,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,ember_m1,all_quantum_maps,60,0.763597924274457,0.704392095906208,0.05920582836824906,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,ember_m1,all_quantum_maps,60,0.763597924274457,0.704392095906208,0.05920582836824906,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,ember_m1,all_quantum_maps,60,0.763597924274457,0.704392095906208,0.05920582836824906,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,ember_m1,all_quantum_maps,60,0.7188315639461338,0.7338996429200494,-0.0150680789739156,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,ember_m1,all_quantum_maps,60,0.7188315639461338,0.7338996429200494,-0.0150680789739156,999,2000,ember
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,ember_m1,all_quantum_maps,60,0.7188315639461338,0.7338996429200494,-0.0150680789739156,999,2000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,ember_m1,all_quantum_maps,60,0.7435103279493366,0.7349030001323225,0.008607327817014121,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,ember_m1,all_quantum_maps,60,0.7435103279493366,0.732002406289148,0.011507921660188547,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,ember_m1,all_quantum_maps,60,0.7435103279493366,0.734052331904169,0.009457996045167616,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,ember_m1,all_quantum_maps,60,0.7329145961295102,0.7468742880953118,-0.013959691965801602,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,ember_m1,all_quantum_maps,60,0.7329145961295102,0.7458045445847094,-0.012889948455199196,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,ember_m1,all_quantum_maps,60,0.7329145961295102,0.7458281008673108,-0.012913504737800618,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,ember_m1,all_quantum_maps,60,0.7269852554789651,0.7411119668634665,-0.01412671138450139,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,ember_m1,all_quantum_maps,60,0.7269852554789651,0.7426205291953881,-0.015635273716423037,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,ember_m1,all_quantum_maps,60,0.7269852554789651,0.7410627887855089,-0.014077533306543821,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,ember_m1,all_quantum_maps,60,0.7450995766034185,0.7375172572692958,0.007582319334122678,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,ember_m1,all_quantum_maps,60,0.7450995766034185,0.7365812336163798,0.008518342987038685,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,ember_m1,all_quantum_maps,60,0.7450995766034185,0.7376470683892287,0.007452508214189857,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,ember_m1,all_quantum_maps,60,0.7397374517374518,0.7362262239382239,0.003511227799227856,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,ember_m1,all_quantum_maps,60,0.7397374517374518,0.736687688030888,0.003049763706563735,999,4000,ember
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,ember_m1,all_quantum_maps,60,0.7397374517374518,0.7365402594594596,0.0031971922779922,999,4000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,7,42,ember_m2,all_quantum_maps,60,0.7318653886159607,0.7424078811348832,-0.010542492518922475,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,7,123,ember_m2,all_quantum_maps,60,0.7318653886159607,0.7424078811348832,-0.010542492518922475,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,7,999,ember_m2,all_quantum_maps,60,0.7318653886159607,0.7424078811348832,-0.010542492518922475,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,42,42,ember_m2,all_quantum_maps,60,0.7764472336065573,0.7504421106557378,0.02600512295081947,123,1000,ember
