setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
unsw_dos__natural_cur__ms123__q1000_id500_ood500,7,123,unsw_dos_natural_cur,0.7869534600857819,0.7644884162345561,0.02246504385122583,0.77285385058575,0.8035872959477626,-0.030733445362012612,-0.030733445362012612,-0.05319848921323844,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,7,999,unsw_dos_natural_cur,0.7869534600857819,0.7644884162345561,0.02246504385122583,0.77285385058575,0.8035872959477626,-0.030733445362012612,-0.030733445362012612,-0.05319848921323844,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,42,42,unsw_dos_natural_cur,0.823210968031264,0.8353085655711447,-0.012097597539880711,0.8252770837337433,0.8507360048689858,-0.025458921135242507,-0.025458921135242507,-0.013361323595361796,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,42,123,unsw_dos_natural_cur,0.823210968031264,0.8353085655711447,-0.012097597539880711,0.8252770837337433,0.8507360048689858,-0.025458921135242507,-0.025458921135242507,-0.013361323595361796,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,42,999,unsw_dos_natural_cur,0.823210968031264,0.8353085655711447,-0.012097597539880711,0.8252770837337433,0.8507360048689858,-0.025458921135242507,-0.025458921135242507,-0.013361323595361796,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,123,42,unsw_dos_natural_cur,0.8648525387655823,0.800910942375702,0.06394159638988028,0.8225344449600742,0.7950558800467266,0.02747856491334766,0.02747856491334766,-0.036463031476532626,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,123,123,unsw_dos_natural_cur,0.8648525387655823,0.800910942375702,0.06394159638988028,0.8225344449600742,0.7950558800467266,0.02747856491334766,0.02747856491334766,-0.036463031476532626,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,123,999,unsw_dos_natural_cur,0.8648525387655823,0.800910942375702,0.06394159638988028,0.8225344449600742,0.7950558800467266,0.02747856491334766,0.02747856491334766,-0.036463031476532626,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,999,42,unsw_dos_natural_cur,0.851154566257541,0.8356117168872317,0.015542849370309364,0.8214622905698421,0.8207276039749726,0.0007346865948695269,0.0007346865948695269,-0.014808162775439837,123,1000,unsw
unsw_dos__natural_cur__ms123__q1000_id500_ood500,999,123,unsw_dos_natural_cur,0.851154566257541,0.8356117168872317,0.015542849370309364,0.8214622905698421,0.8206221375878128,0.0008401529820293296,0.0008401529820293296,-0.014702696388280034,123,1000,unsw
