setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,2024,123,toniot_scanning_m2_centroid,0.9454405737704918,0.9632026447233606,-0.017762070952868747,0.940061475409836,0.9460129610655739,-0.005951485655737887,-0.005951485655737887,0.01181058529713086,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,2024,999,toniot_scanning_m2_centroid,0.9434874487704918,0.9634387102971311,-0.019951261526639286,0.940061475409836,0.9460129610655739,-0.005951485655737887,-0.005951485655737887,0.013999775870901399,42,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,7,42,toniot_scanning_m2_centroid,0.9529111239637555,0.9523793586530428,0.0005317653107127507,0.9301780091253776,0.9368719940877837,-0.00669398496240603,-0.00669398496240603,-0.007225750273118781,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,7,123,toniot_scanning_m2_centroid,0.9529111239637555,0.9521789827131932,0.0007321412505623126,0.9301780091253776,0.9368719940877837,-0.00669398496240603,-0.00669398496240603,-0.0074261262129683425,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,7,999,toniot_scanning_m2_centroid,0.9529111239637555,0.9523793586530428,0.0005317653107127507,0.9301780091253776,0.9368719940877837,-0.00669398496240603,-0.00669398496240603,-0.007225750273118781,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,42,42,toniot_scanning_m2_centroid,0.9516676269124896,0.9519152423020292,-0.0002476153895395461,0.9141380193329492,0.8399593719992318,0.07417864733371748,0.07417864733371748,0.07442626272325703,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,42,123,toniot_scanning_m2_centroid,0.9516676269124896,0.9519152423020292,-0.0002476153895395461,0.9141380193329492,0.8399593719992318,0.07417864733371748,0.07417864733371748,0.07442626272325703,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,42,999,toniot_scanning_m2_centroid,0.9516676269124896,0.9519152423020292,-0.0002476153895395461,0.9141380193329492,0.8399593719992318,0.07417864733371748,0.07417864733371748,0.07442626272325703,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,123,42,toniot_scanning_m2_centroid,0.957623049219688,0.9588969507803122,-0.0012739015606242354,0.797078831532613,0.9399579351740697,-0.14287910364145662,-0.14287910364145662,-0.14160520208083238,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,123,123,toniot_scanning_m2_centroid,0.957623049219688,0.9588969507803122,-0.0012739015606242354,0.797078831532613,0.9399579351740697,-0.14287910364145662,-0.14287910364145662,-0.14160520208083238,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,123,999,toniot_scanning_m2_centroid,0.957623049219688,0.9588969507803122,-0.0012739015606242354,0.797078831532613,0.9399579351740697,-0.14287910364145662,-0.14287910364145662,-0.14160520208083238,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,999,42,toniot_scanning_m2_centroid,0.930357975277684,0.957456506084133,-0.027098530806448973,0.9397212711578338,0.939501477230715,0.0002197939271187943,0.0002197939271187943,0.027318324733567767,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,999,123,toniot_scanning_m2_centroid,0.930357975277684,0.957456506084133,-0.027098530806448973,0.9397212711578338,0.939501477230715,0.0002197939271187943,0.0002197939271187943,0.027318324733567767,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,999,999,toniot_scanning_m2_centroid,0.930357975277684,0.957456506084133,-0.027098530806448973,0.9397212711578338,0.939501477230715,0.0002197939271187943,0.0002197939271187943,0.027318324733567767,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,2024,42,toniot_scanning_m2_centroid,0.9416970744510594,0.9478102074130976,-0.0061131329620381925,0.92950195249984,0.9376188208181294,-0.008116868318289394,-0.008116868318289394,-0.0020037353562512017,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,2024,123,toniot_scanning_m2_centroid,0.9397285705140516,0.9478102074130976,-0.008081636899046063,0.92950195249984,0.9376188208181294,-0.008116868318289394,-0.008116868318289394,-3.5231419243331175e-05,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,2024,999,toniot_scanning_m2_centroid,0.9416970744510594,0.9478102074130976,-0.0061131329620381925,0.92950195249984,0.9376188208181294,-0.008116868318289394,-0.008116868318289394,-0.0020037353562512017,999,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,7,42,toniot_scanning_natural_cur,0.9740253504897254,0.9864057198642853,-0.012380369374559885,0.5938800332885219,0.5929320017924589,0.0009480314960630398,0.0009480314960630398,0.013328400870622925,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,7,123,toniot_scanning_natural_cur,0.9740253504897254,0.9864057198642853,-0.012380369374559885,0.5938800332885219,0.5929320017924589,0.0009480314960630398,0.0009480314960630398,0.013328400870622925,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,7,999,toniot_scanning_natural_cur,0.9740253504897254,0.9864057198642853,-0.012380369374559885,0.5938800332885219,0.5929320017924589,0.0009480314960630398,0.0009480314960630398,0.013328400870622925,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,42,42,toniot_scanning_natural_cur,0.9846153846153848,0.9811088782051284,0.0035065064102564047,0.5927884615384615,0.806136923076923,-0.21334846153846143,-0.21334846153846143,-0.21685496794871784,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,42,123,toniot_scanning_natural_cur,0.9846153846153848,0.9811088782051284,0.0035065064102564047,0.5927884615384615,0.806136923076923,-0.21334846153846143,-0.21334846153846143,-0.21685496794871784,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,42,999,toniot_scanning_natural_cur,0.9942307692307693,0.9811151282051284,0.01311564102564089,0.5927884615384615,0.806136923076923,-0.21334846153846143,-0.21334846153846143,-0.22646410256410232,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,123,42,toniot_scanning_natural_cur,0.9900873979821349,0.9885215795900006,0.0015658183921342106,0.5889402994666152,0.5874750144592248,0.0014652850073904045,0.0014652850073904045,-0.00010053338474380613,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,123,123,toniot_scanning_natural_cur,0.9900873979821349,0.9885215795900006,0.0015658183921342106,0.5889402994666152,0.5874750144592248,0.0014652850073904045,0.0014652850073904045,-0.00010053338474380613,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,123,999,toniot_scanning_natural_cur,0.9900873979821349,0.9885215795900006,0.0015658183921342106,0.5889402994666152,0.5874750144592248,0.0014652850073904045,0.0014652850073904045,-0.00010053338474380613,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,999,42,toniot_scanning_natural_cur,0.9738762381782976,0.9868527499959995,-0.012976511817701875,0.9644268774703556,0.984219866860828,-0.01979298939047236,-0.01979298939047236,-0.006816477572770485,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,999,123,toniot_scanning_natural_cur,0.9738762381782976,0.9868527499959995,-0.012976511817701875,0.9644268774703556,0.984219866860828,-0.01979298939047236,-0.01979298939047236,-0.006816477572770485,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,999,999,toniot_scanning_natural_cur,0.9738762381782976,0.9868527499959995,-0.012976511817701875,0.9644268774703556,0.984219866860828,-0.01979298939047236,-0.01979298939047236,-0.006816477572770485,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,2024,42,toniot_scanning_natural_cur,0.9707050327456724,0.995902880658436,-0.025197847912763582,0.9835390946502058,0.9835308641975312,8.230452674617972e-06,8.230452674617972e-06,0.0252060783654382,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,2024,123,toniot_scanning_natural_cur,0.9707050327456724,0.995902880658436,-0.025197847912763582,0.9835390946502058,0.9835308641975312,8.230452674617972e-06,8.230452674617972e-06,0.0252060783654382,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,2024,999,toniot_scanning_natural_cur,0.9707050327456724,0.995902880658436,-0.025197847912763582,0.9835390946502058,0.9835308641975312,8.230452674617972e-06,8.230452674617972e-06,0.0252060783654382,123,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,7,42,toniot_scanning_natural_cur,0.9762743340163936,0.978074449282787,-0.0018001152663933428,0.6305712090163935,0.9118532658811477,-0.28128205686475416,-0.28128205686475416,-0.2794819415983608,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,7,123,toniot_scanning_natural_cur,0.9762743340163936,0.978074449282787,-0.0018001152663933428,0.6305712090163935,0.9118532658811477,-0.28128205686475416,-0.28128205686475416,-0.2794819415983608,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,7,999,toniot_scanning_natural_cur,0.9762743340163936,0.978074449282787,-0.0018001152663933428,0.6305712090163935,0.9118532658811477,-0.28128205686475416,-0.28128205686475416,-0.2794819415983608,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,42,42,toniot_scanning_natural_cur,0.9762572293692624,0.983701459491501,-0.007444230122238604,0.5977346641247057,0.598014413880389,-0.00027974975568334504,-0.00027974975568334504,0.007164480366555259,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,42,123,toniot_scanning_natural_cur,0.9762572293692624,0.983701459491501,-0.007444230122238604,0.5977346641247057,0.598014413880389,-0.00027974975568334504,-0.00027974975568334504,0.007164480366555259,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,42,999,toniot_scanning_natural_cur,0.9762572293692624,0.983701459491501,-0.007444230122238604,0.5977346641247057,0.598014413880389,-0.00027974975568334504,-0.00027974975568334504,0.007164480366555259,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,123,42,toniot_scanning_natural_cur,0.9780263747519364,0.9537271973625248,0.024299177389411675,0.5742910185007362,0.8794868126240318,-0.30519579412329567,-0.30519579412329567,-0.32949497151270735,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,123,123,toniot_scanning_natural_cur,0.9780263747519364,0.9537271973625248,0.024299177389411675,0.5742910185007362,0.8794868126240318,-0.30519579412329567,-0.30519579412329567,-0.32949497151270735,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,123,999,toniot_scanning_natural_cur,0.9780263747519364,0.9537271973625248,0.024299177389411675,0.5742910185007362,0.8794868126240318,-0.30519579412329567,-0.30519579412329567,-0.32949497151270735,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,999,42,toniot_scanning_natural_cur,0.9835466764927344,0.9864753248209679,-0.002928648328233474,0.9688796680497924,0.9714558467774236,-0.002576178727631162,-0.002576178727631162,0.00035246960060231203,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,999,123,toniot_scanning_natural_cur,0.9835466764927344,0.9864753248209679,-0.002928648328233474,0.9688796680497924,0.9714558467774236,-0.002576178727631162,-0.002576178727631162,0.00035246960060231203,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,999,999,toniot_scanning_natural_cur,0.9835466764927344,0.9864753248209679,-0.002928648328233474,0.9688796680497924,0.9714558467774236,-0.002576178727631162,-0.002576178727631162,0.00035246960060231203,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,2024,42,toniot_scanning_natural_cur,0.990272373540856,0.9808597412371298,0.009412632303726132,0.6141775151718948,0.6206545579734513,-0.006477042801556476,-0.006477042801556476,-0.015889675105282608,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,2024,123,toniot_scanning_natural_cur,0.990272373540856,0.9808597412371298,0.009412632303726132,0.6141775151718948,0.6206545579734513,-0.006477042801556476,-0.006477042801556476,-0.015889675105282608,42,1000,toniot
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,2024,999,toniot_scanning_natural_cur,0.990272373540856,0.9808597412371298,0.009412632303726132,0.6141775151718948,0.6206545579734513,-0.006477042801556476,-0.006477042801556476,-0.015889675105282608,42,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,7,42,toniot_scanning_natural_cur,0.981060606060606,0.9558270480225987,0.02523355803800731,0.5742809450436569,0.5879305662557782,-0.013649621212121321,-0.013649621212121321,-0.03888317925012863,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,7,123,toniot_scanning_natural_cur,0.9551874678993324,0.9558270480225987,-0.000639580123266259,0.5742809450436569,0.5879305662557782,-0.013649621212121321,-0.013649621212121321,-0.013010041088855062,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,7,999,toniot_scanning_natural_cur,0.981060606060606,0.9558270480225987,0.02523355803800731,0.5742809450436569,0.5879305662557782,-0.013649621212121321,-0.013649621212121321,-0.03888317925012863,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,42,42,toniot_scanning_natural_cur,0.988593155893536,0.9920334600760456,-0.0034403041825096237,0.5811875310840513,0.8731048354751246,-0.29191730439107333,-0.29191730439107333,-0.2884770002085637,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,42,123,toniot_scanning_natural_cur,0.988593155893536,0.9920334600760456,-0.0034403041825096237,0.5811875310840513,0.8731048354751246,-0.29191730439107333,-0.29191730439107333,-0.2884770002085637,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,42,999,toniot_scanning_natural_cur,0.988593155893536,0.9920334600760456,-0.0034403041825096237,0.5811875310840513,0.8731048354751246,-0.29191730439107333,-0.29191730439107333,-0.2884770002085637,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,123,42,toniot_scanning_natural_cur,0.9315394603953252,0.9390115295211529,-0.007472069125827652,0.5185318777152568,0.591933928084772,-0.07340205036951519,-0.07340205036951519,-0.06592998124368754,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,123,123,toniot_scanning_natural_cur,0.9315394603953252,0.9390115295211529,-0.007472069125827652,0.5185318777152568,0.591933928084772,-0.07340205036951519,-0.07340205036951519,-0.06592998124368754,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,123,999,toniot_scanning_natural_cur,0.9315394603953252,0.9390115295211529,-0.007472069125827652,0.5185318777152568,0.591933928084772,-0.07340205036951519,-0.07340205036951519,-0.06592998124368754,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,999,42,toniot_scanning_natural_cur,0.989451476793249,0.9573019974009721,0.03214947939227686,0.5957067911633056,0.5929439219649935,0.0027628691983121456,0.0027628691983121456,-0.029386610193964713,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,999,123,toniot_scanning_natural_cur,0.989451476793249,0.9573019974009721,0.03214947939227686,0.5957067911633056,0.5929439219649935,0.0027628691983121456,0.0027628691983121456,-0.029386610193964713,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,999,999,toniot_scanning_natural_cur,0.989451476793249,0.9573019974009721,0.03214947939227686,0.5957067911633056,0.5929439219649935,0.0027628691983121456,0.0027628691983121456,-0.029386610193964713,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,2024,42,toniot_scanning_natural_cur,0.941025641025641,0.9690809615384615,-0.028055320512820447,0.5703525641025641,0.5695425641025641,0.0008099999999999774,0.0008099999999999774,0.028865320512820425,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,2024,123,toniot_scanning_natural_cur,0.941025641025641,0.9690809615384615,-0.028055320512820447,0.5703525641025641,0.5695425641025641,0.0008099999999999774,0.0008099999999999774,0.028865320512820425,999,1000,toniot
toniot_scanning__natural_cur__ms999__q1000_id500_ood500,2024,999,toniot_scanning_natural_cur,0.941025641025641,0.9690809615384615,-0.028055320512820447,0.5703525641025641,0.5695425641025641,0.0008099999999999774,0.0008099999999999774,0.028865320512820425,999,1000,toniot
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,7,42,unsw_dos_m2_centroid,0.8786409320786122,0.892822380129313,-0.014181448050700873,0.8869630625440112,0.8994466263363418,-0.01248356379233051,-0.01248356379233051,0.0016978842583703635,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,7,123,unsw_dos_m2_centroid,0.8786409320786122,0.8930586870238781,-0.014417754945265981,0.8869630625440112,0.8994466263363418,-0.01248356379233051,-0.01248356379233051,0.0019341911529354716,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,7,999,unsw_dos_m2_centroid,0.8786409320786122,0.892822380129313,-0.014181448050700873,0.8869630625440112,0.8994466263363418,-0.01248356379233051,-0.01248356379233051,0.0016978842583703635,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,42,42,unsw_dos_m2_centroid,0.9025857654889912,0.9039086917562725,-0.0013229262672813658,0.8965373783922171,0.9040166922683053,-0.007479313876088134,-0.007479313876088134,-0.006156387608806768,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,42,123,unsw_dos_m2_centroid,0.9025857654889912,0.9039086917562725,-0.0013229262672813658,0.8965373783922171,0.9040000256016385,-0.007462647209421358,-0.007462647209421358,-0.006139720942139992,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,42,999,unsw_dos_m2_centroid,0.9025857654889912,0.9039086917562725,-0.0013229262672813658,0.8965373783922171,0.9040000256016385,-0.007462647209421358,-0.007462647209421358,-0.006139720942139992,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,123,42,unsw_dos_m2_centroid,0.8962785114045618,0.9137794397759103,-0.017500928371348423,0.9024809923969588,0.9277608163265307,-0.025279823929571954,-0.025279823929571954,-0.007778895558223531,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,123,123,unsw_dos_m2_centroid,0.8962785114045618,0.9113314605842338,-0.015052949179671926,0.9024809923969588,0.9275753261304522,-0.025094333733493457,-0.025094333733493457,-0.01004138455382153,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,123,999,unsw_dos_m2_centroid,0.8962785114045618,0.9113314605842338,-0.015052949179671926,0.9024809923969588,0.9275819367747099,-0.025100944377751122,-0.025100944377751122,-0.010047995198079196,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,999,42,unsw_dos_m2_centroid,0.9053671166403412,0.8369014867043363,0.06846562993600491,0.91827197081956,0.7757633876667047,0.1425085831528553,0.1425085831528553,0.0740429532168504,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,999,123,unsw_dos_m2_centroid,0.9053671166403412,0.8369014867043363,0.06846562993600491,0.91827197081956,0.7757633876667047,0.1425085831528553,0.1425085831528553,0.0740429532168504,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,999,999,unsw_dos_m2_centroid,0.9053671166403412,0.8368063343700638,0.0685607822702774,0.91827197081956,0.7757633876667047,0.1425085831528553,0.1425085831528553,0.07394780088257791,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,2024,42,unsw_dos_m2_centroid,0.8827721878224974,0.8942214460784315,-0.011449258255934014,0.8849651702786377,0.8895086042311661,-0.00454343395252832,-0.00454343395252832,0.006905824303405694,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,2024,123,unsw_dos_m2_centroid,0.8827721878224974,0.8942214460784315,-0.011449258255934014,0.8849651702786377,0.8895086042311661,-0.00454343395252832,-0.00454343395252832,0.006905824303405694,123,1000,unsw
unsw_dos__m2_centroid__ms123__q1000_id500_ood500,2024,999,unsw_dos_m2_centroid,0.8827721878224974,0.8942214460784315,-0.011449258255934014,0.8849651702786377,0.8895086042311661,-0.00454343395252832,-0.00454343395252832,0.006905824303405694,123,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,7,42,unsw_dos_m2_centroid,0.9133253301320527,0.9112301160464186,0.0020952140856341783,0.9236494597839136,0.9111309163665464,0.012518543417367134,0.012518543417367134,0.010423329331732956,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,7,123,unsw_dos_m2_centroid,0.9133253301320527,0.9112301160464186,0.0020952140856341783,0.9236494597839136,0.9111309163665464,0.012518543417367134,0.012518543417367134,0.010423329331732956,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,7,999,unsw_dos_m2_centroid,0.9133253301320527,0.9112301160464186,0.0020952140856341783,0.9236494597839136,0.9111309163665464,0.012518543417367134,0.012518543417367134,0.010423329331732956,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,42,42,unsw_dos_m2_centroid,0.9004416282642089,0.8957382680491551,0.004703360215053798,0.8603750640040962,0.9034095302099334,-0.043034466205837174,-0.043034466205837174,-0.04773782642089097,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,42,123,unsw_dos_m2_centroid,0.9004416282642089,0.8957382680491551,0.004703360215053798,0.8603750640040962,0.9034095302099334,-0.043034466205837174,-0.043034466205837174,-0.04773782642089097,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,42,999,unsw_dos_m2_centroid,0.9004416282642089,0.8957382680491551,0.004703360215053798,0.8603750640040962,0.9034095302099334,-0.043034466205837174,-0.043034466205837174,-0.04773782642089097,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,123,42,unsw_dos_m2_centroid,0.9137643912827658,0.9206483483050711,-0.006883957022305376,0.9015308001473156,0.9218747658164003,-0.020343965669084696,-0.020343965669084696,-0.01346000864677932,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,123,123,unsw_dos_m2_centroid,0.9137643912827658,0.9206483483050711,-0.006883957022305376,0.9015308001473156,0.9218747658164003,-0.020343965669084696,-0.020343965669084696,-0.01346000864677932,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,123,999,unsw_dos_m2_centroid,0.9137643912827658,0.9206483483050711,-0.006883957022305376,0.9015308001473156,0.9218747658164003,-0.020343965669084696,-0.020343965669084696,-0.01346000864677932,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,999,42,unsw_dos_m2_centroid,0.907394755677012,0.898573114711432,0.008821640965580024,0.869022057388249,0.9167163738694775,-0.04769431648122846,-0.04769431648122846,-0.056515957446808485,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,999,123,unsw_dos_m2_centroid,0.907394755677012,0.8985486466263257,0.00884610905068628,0.869022057388249,0.9167163738694775,-0.04769431648122846,-0.04769431648122846,-0.05654042553191474,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,999,999,unsw_dos_m2_centroid,0.907394755677012,0.8985486466263257,0.00884610905068628,0.869022057388249,0.9167163738694775,-0.04769431648122846,-0.04769431648122846,-0.05654042553191474,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,2024,42,unsw_dos_m2_centroid,0.8646046504133164,0.8860117629997262,-0.021407112586409816,0.9018434070803588,0.8877129409110687,0.014130466169290146,0.014130466169290146,0.03553757875569996,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,2024,123,unsw_dos_m2_centroid,0.8646046504133164,0.8860117629997262,-0.021407112586409816,0.9018434070803588,0.887713814273514,0.014129592806844782,0.014129592806844782,0.0355367053932546,42,1000,unsw
unsw_dos__m2_centroid__ms42__q1000_id500_ood500,2024,999,unsw_dos_m2_centroid,0.8646046504133164,0.8860117629997262,-0.021407112586409816,0.9018434070803588,0.887713814273514,0.014129592806844782,0.014129592806844782,0.0355367053932546,42,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,7,42,unsw_dos_m2_centroid,0.919915498367582,0.9050399046155817,0.014875593752000316,0.9218199859163946,0.8908825907432303,0.030937395173164295,0.030937395173164295,0.01606180142116398,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,7,123,unsw_dos_m2_centroid,0.919915498367582,0.9050399046155817,0.014875593752000316,0.9218199859163946,0.8908825907432303,0.030937395173164295,0.030937395173164295,0.01606180142116398,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,7,999,unsw_dos_m2_centroid,0.919915498367582,0.9050399046155817,0.014875593752000316,0.9218199859163946,0.8908825907432303,0.030937395173164295,0.030937395173164295,0.01606180142116398,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,42,42,unsw_dos_m2_centroid,0.8420374725995616,0.8675424326789228,-0.025504960079361205,0.8420534728555658,0.8590339957439319,-0.016980522888366156,-0.016980522888366156,0.008524437190995049,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,42,123,unsw_dos_m2_centroid,0.8420374725995616,0.8675424326789228,-0.025504960079361205,0.8420534728555658,0.8590339957439319,-0.016980522888366156,-0.016980522888366156,0.008524437190995049,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,42,999,unsw_dos_m2_centroid,0.8420374725995616,0.8675424326789228,-0.025504960079361205,0.8420534728555658,0.8590339957439319,-0.016980522888366156,-0.016980522888366156,0.008524437190995049,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,123,42,unsw_dos_m2_centroid,0.9355995134754496,0.9358685871583126,-0.00026907368286299693,0.9010466679469944,0.9204689104410729,-0.019422242494078534,-0.019422242494078534,-0.019153168811215537,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,123,123,unsw_dos_m2_centroid,0.9355995134754496,0.9358685871583126,-0.00026907368286299693,0.9010466679469944,0.9204689104410729,-0.019422242494078534,-0.019422242494078534,-0.019153168811215537,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,123,999,unsw_dos_m2_centroid,0.9355995134754496,0.9358685871583126,-0.00026907368286299693,0.9010466679469944,0.9204689104410729,-0.019422242494078534,-0.019422242494078534,-0.019153168811215537,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,999,42,unsw_dos_m2_centroid,0.8934533124673969,0.9069334376630152,-0.013480125195618253,0.8214332290036515,0.8838131390193011,-0.06237991001564969,-0.06237991001564969,-0.04889978482003143,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,999,123,unsw_dos_m2_centroid,0.8934533124673969,0.9069341418883672,-0.013480829420970286,0.8214332290036515,0.8838117501304121,-0.06237852112676068,-0.06237852112676068,-0.04889769170579039,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,999,999,unsw_dos_m2_centroid,0.8934533124673969,0.9069341418883672,-0.013480829420970286,0.8214332290036515,0.8838131390193011,-0.06237991001564969,-0.06237991001564969,-0.0488990805946794,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,2024,42,unsw_dos_m2_centroid,0.9152173913043478,0.88213884057971,0.03307855072463772,0.8838969404186796,0.8125274718196458,0.07136946859903381,0.07136946859903381,0.03829091787439609,999,1000,unsw
unsw_dos__m2_centroid__ms999__q1000_id500_ood500,2024,123,unsw_dos_m2_centroid,0.9152173913043478,0.88213884057971,0.03307855072463772,0.8838969404186796,0.8125274718196458,0.07136946859903381,0.07136946859903381,0.03829091787439609,999,1000,unsw
