setting,qs,seed,group,regularization,selection,reference,budget_mode,quantum_ood,classical_ood,delta,ms,size,dataset
m1_hist_byteent__ms42__q1000_id500_ood500,2024,123,ember_m1,fixed_c1,ood_test,customary,native,0.7739592020014112,0.7737667586118417,0.00019244338956947438,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,2024,999,ember_m1,fixed_c1,ood_test,customary,native,0.7739592020014112,0.7737667586118417,0.00019244338956947438,42,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,7,42,ember_m1,fixed_c1,ood_test,customary,native,0.7621417484117713,0.7513881999007856,0.010753548510985644,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,7,123,ember_m1,fixed_c1,ood_test,customary,native,0.7621417484117713,0.7513881999007856,0.010753548510985644,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,7,999,ember_m1,fixed_c1,ood_test,customary,native,0.7621417484117713,0.7513881999007856,0.010753548510985644,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,42,42,ember_m1,fixed_c1,ood_test,customary,native,0.7922003073770492,0.7860527663934427,0.006147540983606481,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,42,123,ember_m1,fixed_c1,ood_test,customary,native,0.7922003073770492,0.7840035860655737,0.008196721311475419,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,42,999,ember_m1,fixed_c1,ood_test,customary,native,0.7922003073770492,0.7860527663934427,0.006147540983606481,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,123,42,ember_m1,fixed_c1,ood_test,customary,native,0.7614930105202479,0.7805719684232438,-0.019078957902995963,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,123,123,ember_m1,fixed_c1,ood_test,customary,native,0.7614930105202479,0.7805719684232438,-0.019078957902995963,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,123,999,ember_m1,fixed_c1,ood_test,customary,native,0.7614930105202479,0.7805719684232438,-0.019078957902995963,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,999,42,ember_m1,fixed_c1,ood_test,customary,native,0.7600622204938752,0.7480232030591742,0.012039017434700927,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,999,123,ember_m1,fixed_c1,ood_test,customary,native,0.7600622204938752,0.7480232030591742,0.012039017434700927,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,999,999,ember_m1,fixed_c1,ood_test,customary,native,0.7600622204938752,0.7480232030591742,0.012039017434700927,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,2024,42,ember_m1,fixed_c1,ood_test,customary,native,0.7892103406247994,0.7678170504843158,0.021393290140483634,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,2024,123,ember_m1,fixed_c1,ood_test,customary,native,0.7892103406247994,0.7678170504843158,0.021393290140483634,999,1000,ember
m1_hist_byteent__ms999__q1000_id500_ood500,2024,999,ember_m1,fixed_c1,ood_test,customary,native,0.7892103406247994,0.7678170504843158,0.021393290140483634,999,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,7,42,ember_m2,fixed_c1,ood_test,customary,native,0.761989726520619,0.7242482917540126,0.03774143476660641,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,7,123,ember_m2,fixed_c1,ood_test,customary,native,0.761989726520619,0.7242482917540126,0.03774143476660641,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,7,999,ember_m2,fixed_c1,ood_test,customary,native,0.761989726520619,0.7242482917540126,0.03774143476660641,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,42,42,ember_m2,fixed_c1,ood_test,customary,native,0.7813140368852459,0.7615906762295082,0.019723360655737765,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,42,123,ember_m2,fixed_c1,ood_test,customary,native,0.7813140368852459,0.7615906762295082,0.019723360655737765,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,42,999,ember_m2,fixed_c1,ood_test,customary,native,0.7813140368852459,0.7615906762295082,0.019723360655737765,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,ember_m2,fixed_c1,ood_test,customary,native,0.7769851563625882,0.7672575299034443,0.009727626459143934,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,ember_m2,fixed_c1,ood_test,customary,native,0.7769851563625882,0.7672575299034443,0.009727626459143934,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,123,999,ember_m2,fixed_c1,ood_test,customary,native,0.7769851563625882,0.7672575299034443,0.009727626459143934,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,999,42,ember_m2,fixed_c1,ood_test,customary,native,0.8158986324453951,0.7592358545595956,0.05666277788579943,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,999,123,ember_m2,fixed_c1,ood_test,customary,native,0.8158986324453951,0.7592358545595956,0.05666277788579943,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,999,999,ember_m2,fixed_c1,ood_test,customary,native,0.8158986324453951,0.7592358545595956,0.05666277788579943,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,2024,42,ember_m2,fixed_c1,ood_test,customary,native,0.7729809481044326,0.7443710308550902,0.028609917249342476,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,2024,123,ember_m2,fixed_c1,ood_test,customary,native,0.7729809481044326,0.7443710308550902,0.028609917249342476,123,1000,ember
m2_hist_byteent__ms123__q1000_id500_ood500,2024,999,ember_m2,fixed_c1,ood_test,customary,native,0.7729809481044326,0.7443710308550902,0.028609917249342476,123,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,7,42,ember_m2,fixed_c1,ood_test,customary,native,0.7898977452753198,0.7602054695876206,0.029692275687699166,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,7,123,ember_m2,fixed_c1,ood_test,customary,native,0.7898977452753198,0.7602054695876206,0.029692275687699166,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,7,999,ember_m2,fixed_c1,ood_test,customary,native,0.7898977452753198,0.7602054695876206,0.029692275687699166,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,42,42,ember_m2,fixed_c1,ood_test,customary,native,0.7631595799180328,0.7435322745901639,0.019627305327868938,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,42,123,ember_m2,fixed_c1,ood_test,customary,native,0.7631595799180328,0.7435322745901639,0.019627305327868938,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,42,999,ember_m2,fixed_c1,ood_test,customary,native,0.7631595799180328,0.7435322745901639,0.019627305327868938,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,123,42,ember_m2,fixed_c1,ood_test,customary,native,0.7903396262669933,0.7605242510127941,0.029815375254199195,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,123,123,ember_m2,fixed_c1,ood_test,customary,native,0.7903396262669933,0.7605242510127941,0.029815375254199195,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,123,999,ember_m2,fixed_c1,ood_test,customary,native,0.7903396262669933,0.7605242510127941,0.029815375254199195,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,999,42,ember_m2,fixed_c1,ood_test,customary,native,0.7493356666018536,0.7336185105969278,0.015717156004925736,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,999,123,ember_m2,fixed_c1,ood_test,customary,native,0.7493356666018536,0.7336185105969278,0.015717156004925736,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,999,999,ember_m2,fixed_c1,ood_test,customary,native,0.7493356666018536,0.7336185105969278,0.015717156004925736,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,2024,42,ember_m2,fixed_c1,ood_test,customary,native,0.7670793508242992,0.7625088203220219,0.004570530502277292,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,2024,123,ember_m2,fixed_c1,ood_test,customary,native,0.7670793508242992,0.7625088203220219,0.004570530502277292,42,1000,ember
m2_hist_byteent__ms42__q1000_id500_ood500,2024,999,ember_m2,fixed_c1,ood_test,customary,native,0.7670793508242992,0.7625088203220219,0.004570530502277292,42,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,7,42,ember_m2,fixed_c1,ood_test,customary,native,0.7883535229072987,0.7645901009745404,0.023763421932758266,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,7,123,ember_m2,fixed_c1,ood_test,customary,native,0.7883535229072987,0.7645901009745404,0.023763421932758266,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,7,999,ember_m2,fixed_c1,ood_test,customary,native,0.7883535229072987,0.7645901009745404,0.023763421932758266,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,42,42,ember_m2,fixed_c1,ood_test,customary,native,0.7710040983606558,0.7356237192622951,0.03538037909836067,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,42,123,ember_m2,fixed_c1,ood_test,customary,native,0.7710040983606558,0.7356237192622951,0.03538037909836067,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,42,999,ember_m2,fixed_c1,ood_test,customary,native,0.7710040983606558,0.7356237192622951,0.03538037909836067,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,123,42,ember_m2,fixed_c1,ood_test,customary,native,0.7760484219628189,0.7357928616034972,0.04025556035932165,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,123,123,ember_m2,fixed_c1,ood_test,customary,native,0.7760484219628189,0.7357928616034972,0.04025556035932165,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,123,999,ember_m2,fixed_c1,ood_test,customary,native,0.7760484219628189,0.7357928616034972,0.04025556035932165,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,999,42,ember_m2,fixed_c1,ood_test,customary,native,0.8145699656491023,0.7889526216864347,0.025617343962667682,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,999,123,ember_m2,fixed_c1,ood_test,customary,native,0.8145699656491023,0.7889526216864347,0.025617343962667682,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,999,999,ember_m2,fixed_c1,ood_test,customary,native,0.8145699656491023,0.7889526216864347,0.025617343962667682,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,2024,42,ember_m2,fixed_c1,ood_test,customary,native,0.7861793572390788,0.7623324138815832,0.023846943357495598,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,2024,123,ember_m2,fixed_c1,ood_test,customary,native,0.7861793572390788,0.7623324138815832,0.023846943357495598,999,1000,ember
m2_hist_byteent__ms999__q1000_id500_ood500,2024,999,ember_m2,fixed_c1,ood_test,customary,native,0.7861793572390788,0.7623324138815832,0.023846943357495598,999,1000,ember
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,7,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9573406491152074,0.944890985224046,0.012449663891161422,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,7,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9556480723877364,0.944890985224046,0.010757087163690393,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,7,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.955439508430797,0.944890985224046,0.010548523206750926,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,42,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9639514232227716,0.9559992959887358,0.007952127234035822,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,42,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9639514232227716,0.9559992959887358,0.007952127234035822,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,42,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9639514232227716,0.9559992959887358,0.007952127234035822,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,123,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9599897573778888,0.9367518084629664,0.02323794891492248,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,123,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9599897573778888,0.9367518084629664,0.02323794891492248,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,123,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9599897573778888,0.9367518084629664,0.02323794891492248,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,999,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.967353620955316,0.9595531587057012,0.007800462249614726,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,999,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.967353620955316,0.9595531587057012,0.007800462249614726,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,999,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.967353620955316,0.9595531587057012,0.007800462249614726,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,2024,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.974153383266116,0.970152359003905,0.00400102426221105,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,2024,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.974153383266116,0.970152359003905,0.00400102426221105,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,2024,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.976121887203124,0.970152359003905,0.005969528199219032,123,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,7,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9577278201525492,0.9468887996788438,0.01083902047370544,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,7,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9577278201525492,0.9468887996788438,0.01083902047370544,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,7,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9577278201525492,0.9468887996788438,0.01083902047370544,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,42,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9662153511298892,0.944113693105435,0.022101658024454185,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,42,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9662153511298892,0.944113693105435,0.022101658024454185,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,42,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9662153511298892,0.944113693105435,0.022101658024454185,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,123,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9500128131206356,0.9441988596322636,0.005813953488371992,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,123,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9500128131206356,0.9441988596322636,0.005813953488371992,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,123,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9500128131206356,0.9441988596322636,0.005813953488371992,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,999,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9636290646326776,0.9492573263749498,0.014371738257727862,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,999,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9636290646326776,0.9492573263749498,0.014371738257727862,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,999,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9636290646326776,0.9492573263749498,0.014371738257727862,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,2024,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.970030737704918,0.9638831967213116,0.00614754098360637,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,2024,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.970030737704918,0.9638831967213116,0.00614754098360637,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,2024,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.970030737704918,0.9638831967213116,0.00614754098360637,42,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,7,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9604299209562368,0.9493284493284492,0.011101471627787629,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,7,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9604299209562368,0.9493284493284492,0.011101471627787629,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,7,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9604299209562368,0.9493284493284492,0.011101471627787629,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,42,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9679918059023108,0.948114717367646,0.019877088534664855,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,42,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9679918059023108,0.948114717367646,0.019877088534664855,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,42,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9679918059023108,0.948114717367646,0.019877088534664855,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,123,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9621848739495796,0.956062424969988,0.006122448979591688,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,123,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9621848739495796,0.956062424969988,0.006122448979591688,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,123,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9621848739495796,0.956062424969988,0.006122448979591688,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,999,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9641060262654516,0.944013116651396,0.020092909614055632,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,999,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9641060262654516,0.944013116651396,0.020092909614055632,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,999,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9641060262654516,0.944013116651396,0.020092909614055632,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,2024,42,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9577651878880994,0.944113693105435,0.013651494782664364,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,2024,123,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9577651878880994,0.944113693105435,0.013651494782664364,999,1000,toniot
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,2024,999,toniot_scanning_m2_centroid,fixed_c1,ood_test,customary,native,0.9577651878880994,0.944113693105435,0.013651494782664364,999,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,7,42,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9881889763779528,0.9881889763779528,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,7,123,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9881889763779528,0.9881889763779528,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,7,999,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9881889763779528,0.9881889763779528,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,42,42,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9942307692307693,0.9942307692307693,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,42,123,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9942307692307693,0.9942307692307693,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,42,999,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9942307692307693,0.9942307692307693,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,123,42,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9957264957264956,0.9914529914529916,0.004273504273504036,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,123,123,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9957264957264956,0.9914529914529916,0.004273504273504036,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,123,999,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9957264957264956,0.9914529914529916,0.004273504273504036,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,999,42,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9901185770750988,0.9901185770750988,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,999,123,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9901185770750988,0.9901185770750988,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,999,999,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9901185770750988,0.9901185770750988,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,2024,42,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9979423868312758,0.9979423868312758,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,2024,123,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9979423868312758,0.9979423868312758,0.0,123,1000,toniot
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,2024,999,toniot_scanning_natural_cur,fixed_c1,ood_test,customary,native,0.9979423868312758,0.9979423868312758,0.0,123,1000,toniot
