regularization,selection,reference,budget_mode,group,effect,ci_lo,ci_hi,ci_method,n_qsplit_clusters,simultaneous
fixed_c1,ood_test,customary,native,toniot_scanning_m2_centroid,0.012334587566241178,0.008353364831759968,0.016315810300722388,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,native,toniot_scanning_natural_cur,0.0022956791614043254,0.0008214766628874056,0.0037698816599212454,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,native,unsw_dos_m2_centroid,0.005440376523643502,0.0016107813608817446,0.00926997168640526,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,native,unsw_dos_natural_cur,0.02548621051654314,0.01542736400016389,0.03554505703292239,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,native,unsw_recon_m2_centroid,0.0038975586142163455,-0.001694612422654836,0.009489729651087526,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,native,unsw_recon_natural_cur,0.012501596576993101,0.007387773877923004,0.0176154192760632,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,ember_m1,0.00023430332107739898,-0.008815588369559832,0.00928419501171463,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,ember_m2,0.00024815798703141156,-0.005448734049455462,0.005945050023518284,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,toniot_scanning_m2_centroid,0.0021121137768626208,-0.0024278227765682035,0.006652050330293445,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,toniot_scanning_natural_cur,0.000572129038876068,-0.0002572750752099604,0.0014015331529620965,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,unsw_dos_m2_centroid,0.0015100838738792088,-0.0016622078726469397,0.004682375620405357,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,unsw_dos_natural_cur,0.013401933420207086,0.002806877154064578,0.02399698968634959,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,unsw_recon_m2_centroid,0.0006351006232011791,-0.002251853038791902,0.00352205428519426,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,equal_count,unsw_recon_natural_cur,0.0029450613154116075,-0.00011365525918950303,0.006003777890012718,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,ember_m1,-0.004154315023707127,-0.014218735511921658,0.005910105464507404,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,ember_m2,-0.003373934453084264,-0.009265231344542598,0.0025173624383740692,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,toniot_scanning_m2_centroid,-0.0007225956361846814,-0.00562717677569067,0.0041819855033213066,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,toniot_scanning_natural_cur,0.00014245804465034723,-0.000584166203460504,0.0008690822927611985,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,unsw_dos_m2_centroid,-0.0016677714099070228,-0.004735487610421102,0.001399944790607056,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,unsw_dos_natural_cur,0.008500780700755831,-0.003794744521418203,0.020796305922929866,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,unsw_recon_m2_centroid,-0.0018288656862946856,-0.004588803091529609,0.0009310717189402382,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,extended,native,unsw_recon_natural_cur,-0.000562205052551601,-0.004949811706148387,0.003825401601045186,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,ember_m1,-0.02178069944966868,-0.057437337358993576,0.01387593845965621,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,ember_m2,0.010699770325647177,-0.002964482354282984,0.024364023005577336,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,toniot_scanning_m2_centroid,-0.001507612105189319,-0.008211617359104533,0.005196393148725896,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,toniot_scanning_natural_cur,-0.022863518176218504,-0.04211302217985971,-0.003614014172577302,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,unsw_dos_m2_centroid,-0.008853455865928356,-0.02550669093245701,0.0077997792006002965,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,unsw_dos_natural_cur,-0.007501471599434903,-0.01817110015085087,0.0031681569519810644,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,unsw_recon_m2_centroid,-0.009443588261232105,-0.03066778084309095,0.01178060432062674,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,equal_count,unsw_recon_natural_cur,-0.004659732534172384,-0.01617288928727751,0.006853424218932743,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,ember_m1,-0.032460831757673905,-0.07955050814172822,0.014628844626380408,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,ember_m2,0.011980281175237906,-0.0036606242890478286,0.02762118663952364,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,toniot_scanning_m2_centroid,-0.002227725203429529,-0.009456653464354623,0.005001203057495564,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,toniot_scanning_natural_cur,-0.006809877473975594,-0.021140824467334188,0.007521069519382998,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,unsw_dos_m2_centroid,-0.008603385030445752,-0.020050420202065086,0.002843650141173581,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,unsw_dos_natural_cur,-0.0060159970713792085,-0.0204545583531194,0.008422564210360984,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,unsw_recon_m2_centroid,-0.009786670758764273,-0.03445048970066412,0.014877148183135574,pointwise_conditional_cluster_t,5,False
train_cv,id_val,customary,native,unsw_recon_natural_cur,-0.005913654549649185,-0.029336247521854035,0.017508938422555666,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,ember_m1,-0.01821146254802103,-0.047749910745831764,0.011326985649789706,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,ember_m2,0.0024580280488891468,-0.006917237392704816,0.01183329349048311,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,toniot_scanning_m2_centroid,-0.002958561253265119,-0.00961388427048255,0.00369676176395231,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,toniot_scanning_natural_cur,-0.0007635017653411312,-0.011198051541726473,0.009671048011044212,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,unsw_dos_m2_centroid,0.001317357385515256,-0.013102554836848131,0.01573726960787864,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,unsw_dos_natural_cur,-0.0019814427158380663,-0.0209180765607628,0.01695519112908667,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,unsw_recon_m2_centroid,-0.013719192681144387,-0.02819767264384563,0.0007592872815568533,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,equal_count,unsw_recon_natural_cur,-0.0027067905896258327,-0.027285490393882183,0.02187190921463052,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,ember_m1,-0.021209853733297653,-0.05912576196011153,0.016706054493516226,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,ember_m2,0.00700319520561329,-0.0072997822144424,0.02130617262566898,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,toniot_scanning_m2_centroid,-0.004969959500518156,-0.011268020624427834,0.0013281016233915224,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,toniot_scanning_natural_cur,0.003319102297577505,-0.019534251970915743,0.026172456566070753,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,unsw_dos_m2_centroid,0.006526984201329409,-0.01684776746717806,0.029901735869836875,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,unsw_dos_natural_cur,-0.004809136716991629,-0.030418361902824036,0.02080008846884078,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,unsw_recon_m2_centroid,-0.014674904933967201,-0.02865649590989138,-0.0006933139580430191,pointwise_conditional_cluster_t,5,False
train_cv,id_val,extended,native,unsw_recon_natural_cur,-0.0038210607031194813,-0.031627500668909216,0.02398537926267025,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,ember_m1,-0.012264298352879097,-0.02255022815274478,-0.0019783685530134123,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,ember_m2,0.007327375470549553,0.00031266370242567613,0.01434208723867343,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,toniot_scanning_m2_centroid,0.0040744830390603975,-0.000985165717172807,0.009134131795293602,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,toniot_scanning_natural_cur,-0.0002238840261492743,-0.0032446453391245266,0.002796877286825978,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,unsw_dos_m2_centroid,-0.004685321204044615,-0.006712396770827904,-0.002658245637261326,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,unsw_dos_natural_cur,-0.001124414735197796,-0.004769773467781929,0.0025209439973863366,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,unsw_recon_m2_centroid,-0.002469538876031578,-0.01343579233624195,0.008496714584178795,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,equal_count,unsw_recon_natural_cur,-0.004327958887428778,-0.013600706259412815,0.004944788484555259,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,ember_m1,-0.007659348226293531,-0.01874146850520171,0.0034227720526146515,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,ember_m2,0.009559504536570663,0.0030553333188139227,0.016063675754327402,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,toniot_scanning_m2_centroid,0.005684281138030811,0.0006883352427924953,0.010680227033269128,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,toniot_scanning_natural_cur,0.0010644539246596584,-0.0013119274618303642,0.0034408353111496813,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,unsw_dos_m2_centroid,-0.0011942573569382552,-0.004076818891681563,0.0016883041778050526,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,unsw_dos_natural_cur,0.0037291701720220567,-0.0012851232330936546,0.008743463577137768,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,unsw_recon_m2_centroid,0.0015458947005280534,-0.011318078578101609,0.014409867979157715,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,customary,native,unsw_recon_natural_cur,2.3598139648398944e-05,-0.010262321305469578,0.010309517584766375,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,ember_m1,-0.01523899688935677,-0.022498511337388834,-0.007979482441324705,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,ember_m2,-0.0038774193297000147,-0.007561166336938676,-0.0001936723224613534,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,toniot_scanning_m2_centroid,0.0010007637062885333,-0.0027443298468999896,0.004745857259477056,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,toniot_scanning_natural_cur,-0.0007082868842951098,-0.0019311487668002194,0.0005145749982099997,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,unsw_dos_m2_centroid,-0.005117716009919818,-0.007458573877489426,-0.00277685814235021,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,unsw_dos_natural_cur,-0.0020533805944636645,-0.006387982231445418,0.002281221042518089,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,unsw_recon_m2_centroid,-0.0037282597266903653,-0.014360685374969403,0.006904165921588672,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,equal_count,unsw_recon_natural_cur,0.0005669038005944437,-0.006449143971229837,0.0075829515724187245,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,ember_m1,-0.01951844977005346,-0.02681422981777794,-0.012222669722328976,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,ember_m2,-0.006440445837204394,-0.010300172129009608,-0.0025807195453991802,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,toniot_scanning_m2_centroid,-0.001278473309338161,-0.005631330054471336,0.0030743834357950133,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,toniot_scanning_natural_cur,-0.001343605437235566,-0.0026698973354674555,-1.7313539003676465e-05,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,unsw_dos_m2_centroid,-0.007735973124119118,-0.011012232981534547,-0.004459713266703689,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,unsw_dos_natural_cur,-0.005227037827240795,-0.010641439978601785,0.00018736432412019485,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,unsw_recon_m2_centroid,-0.005764110793809468,-0.015882344824789247,0.004354123237170312,pointwise_conditional_cluster_t,5,False
train_cv,ood_test,extended,native,unsw_recon_natural_cur,-0.0027326138610964668,-0.010002249492185766,0.004537021769992831,pointwise_conditional_cluster_t,5,False
