regularization,selection,reference,budget_mode,group,qs,cluster_effect
fixed_c1,id_val,extended,equal_count,unsw_recon_m2_centroid,42,-0.021545674938069987
fixed_c1,id_val,extended,equal_count,unsw_recon_m2_centroid,123,-0.010297327315792864
fixed_c1,id_val,extended,equal_count,unsw_recon_m2_centroid,999,-0.009339078544446969
fixed_c1,id_val,extended,equal_count,unsw_recon_m2_centroid,2024,-0.01772035120484324
fixed_c1,id_val,extended,equal_count,unsw_recon_natural_cur,7,0.013275400881615274
fixed_c1,id_val,extended,equal_count,unsw_recon_natural_cur,42,0.005502198004348073
fixed_c1,id_val,extended,equal_count,unsw_recon_natural_cur,123,-0.0034499637204853995
fixed_c1,id_val,extended,equal_count,unsw_recon_natural_cur,999,0.002193206677421733
fixed_c1,id_val,extended,equal_count,unsw_recon_natural_cur,2024,0.009241162306202545
fixed_c1,id_val,extended,native,ember_m1,7,-0.033756860987982286
fixed_c1,id_val,extended,native,ember_m1,42,0.007300204918032775
fixed_c1,id_val,extended,native,ember_m1,123,-0.04321254530218358
fixed_c1,id_val,extended,native,ember_m1,999,-0.03558234493486293
fixed_c1,id_val,extended,native,ember_m1,2024,-0.059930078901789696
fixed_c1,id_val,extended,native,ember_m2,7,0.007310386028921497
fixed_c1,id_val,extended,native,ember_m2,42,0.0029314663023678965
fixed_c1,id_val,extended,native,ember_m2,123,0.00046169530245040075
fixed_c1,id_val,extended,native,ember_m2,999,0.006407486623313968
fixed_c1,id_val,extended,native,ember_m2,2024,-0.006297175358693119
fixed_c1,id_val,extended,native,toniot_scanning_m2_centroid,7,0.0004818974357012988
fixed_c1,id_val,extended,native,toniot_scanning_m2_centroid,42,-6.716578881930484e-05
fixed_c1,id_val,extended,native,toniot_scanning_m2_centroid,123,-0.011133541537513066
fixed_c1,id_val,extended,native,toniot_scanning_m2_centroid,999,-0.007087487489293591
fixed_c1,id_val,extended,native,toniot_scanning_m2_centroid,2024,-0.0038894226047552338
fixed_c1,id_val,extended,native,toniot_scanning_natural_cur,7,-0.011109704367477677
fixed_c1,id_val,extended,native,toniot_scanning_natural_cur,42,-0.009167196926533018
fixed_c1,id_val,extended,native,toniot_scanning_natural_cur,123,-0.02675878002503555
fixed_c1,id_val,extended,native,toniot_scanning_natural_cur,999,-0.01192011962171032
fixed_c1,id_val,extended,native,toniot_scanning_natural_cur,2024,-0.013995777818014421
fixed_c1,id_val,extended,native,unsw_dos_m2_centroid,7,-0.002019861782495432
fixed_c1,id_val,extended,native,unsw_dos_m2_centroid,42,-0.02009908451417967
fixed_c1,id_val,extended,native,unsw_dos_m2_centroid,123,-0.017131157309388783
fixed_c1,id_val,extended,native,unsw_dos_m2_centroid,999,0.1263837664812473
fixed_c1,id_val,extended,native,unsw_dos_m2_centroid,2024,-0.013088185750304385
fixed_c1,id_val,extended,native,unsw_dos_natural_cur,7,-0.002776953122746161
fixed_c1,id_val,extended,native,unsw_dos_natural_cur,42,-0.032372735547110294
fixed_c1,id_val,extended,native,unsw_dos_natural_cur,123,-0.0057143050344040285
fixed_c1,id_val,extended,native,unsw_dos_natural_cur,999,-0.007739247393791874
fixed_c1,id_val,extended,native,unsw_dos_natural_cur,2024,-0.007989214352064048
fixed_c1,id_val,extended,native,unsw_recon_m2_centroid,7,0.06141804474076514
fixed_c1,id_val,extended,native,unsw_recon_m2_centroid,42,-0.02028019545086916
fixed_c1,id_val,extended,native,unsw_recon_m2_centroid,123,-0.010343981392569819
fixed_c1,id_val,extended,native,unsw_recon_m2_centroid,999,-0.011447818732386317
fixed_c1,id_val,extended,native,unsw_recon_m2_centroid,2024,-0.018877665434249884
fixed_c1,id_val,extended,native,unsw_recon_natural_cur,7,0.0032564463612850445
fixed_c1,id_val,extended,native,unsw_recon_natural_cur,42,0.009040944720184982
fixed_c1,id_val,extended,native,unsw_recon_natural_cur,123,-0.007104991233134498
fixed_c1,id_val,extended,native,unsw_recon_natural_cur,999,-0.001549683744011136
fixed_c1,id_val,extended,native,unsw_recon_natural_cur,2024,0.002326658007953064
fixed_c1,ood_test,customary,equal_count,ember_m1,7,0.015651815994836647
fixed_c1,ood_test,customary,equal_count,ember_m1,42,0.007401444387522845
fixed_c1,ood_test,customary,equal_count,ember_m1,123,0.001118463897918204
fixed_c1,ood_test,customary,equal_count,ember_m1,999,0.0025298842007475245
fixed_c1,ood_test,customary,equal_count,ember_m1,2024,0.009107133591350033
fixed_c1,ood_test,customary,equal_count,ember_m2,7,0.027875420993956495
fixed_c1,ood_test,customary,equal_count,ember_m2,42,0.021110713370901684
fixed_c1,ood_test,customary,equal_count,ember_m2,123,0.023750694144208977
fixed_c1,ood_test,customary,equal_count,ember_m2,999,0.03045737248039404
fixed_c1,ood_test,customary,equal_count,ember_m2,2024,0.017128272072187627
fixed_c1,ood_test,customary,equal_count,toniot_scanning_m2_centroid,7,0.009420308647644192
fixed_c1,ood_test,customary,equal_count,toniot_scanning_m2_centroid,42,0.015032956562949304
fixed_c1,ood_test,customary,equal_count,toniot_scanning_m2_centroid,123,0.010837545896701162
fixed_c1,ood_test,customary,equal_count,toniot_scanning_m2_centroid,999,0.011661721297566005
fixed_c1,ood_test,customary,equal_count,toniot_scanning_m2_centroid,2024,0.00628632473096169
fixed_c1,ood_test,customary,equal_count,toniot_scanning_natural_cur,7,0.0016752910701299066
fixed_c1,ood_test,customary,equal_count,toniot_scanning_natural_cur,42,0.0028475316427595755
fixed_c1,ood_test,customary,equal_count,toniot_scanning_natural_cur,123,-0.0005926675704593931
fixed_c1,ood_test,customary,equal_count,toniot_scanning_natural_cur,999,0.002183656269348133
fixed_c1,ood_test,customary,equal_count,toniot_scanning_natural_cur,2024,0.0008441485930097784
fixed_c1,ood_test,customary,equal_count,unsw_dos_m2_centroid,7,0.005922863554742697
fixed_c1,ood_test,customary,equal_count,unsw_dos_m2_centroid,42,0.0005908119885780216
fixed_c1,ood_test,customary,equal_count,unsw_dos_m2_centroid,123,-0.002794393414604758
fixed_c1,ood_test,customary,equal_count,unsw_dos_m2_centroid,999,-4.688378285129987e-05
fixed_c1,ood_test,customary,equal_count,unsw_dos_m2_centroid,2024,0.002497902461402283
fixed_c1,ood_test,customary,equal_count,unsw_dos_natural_cur,7,0.017368167209072107
fixed_c1,ood_test,customary,equal_count,unsw_dos_natural_cur,42,0.01927691934537812
fixed_c1,ood_test,customary,equal_count,unsw_dos_natural_cur,123,0.025841610625775464
fixed_c1,ood_test,customary,equal_count,unsw_dos_natural_cur,999,0.01929671824635039
fixed_c1,ood_test,customary,equal_count,unsw_dos_natural_cur,2024,0.010293461949449195
fixed_c1,ood_test,customary,equal_count,unsw_recon_m2_centroid,7,-0.004650920267145679
fixed_c1,ood_test,customary,equal_count,unsw_recon_m2_centroid,42,0.00133263900384205
fixed_c1,ood_test,customary,equal_count,unsw_recon_m2_centroid,123,-0.003195749311823907
fixed_c1,ood_test,customary,equal_count,unsw_recon_m2_centroid,999,-0.00022408155712786795
fixed_c1,ood_test,customary,equal_count,unsw_recon_m2_centroid,2024,0.004398261616175107
fixed_c1,ood_test,customary,equal_count,unsw_recon_natural_cur,7,0.015547675576693343
fixed_c1,ood_test,customary,equal_count,unsw_recon_natural_cur,42,0.00403712515576693
fixed_c1,ood_test,customary,equal_count,unsw_recon_natural_cur,123,0.009037374890739561
fixed_c1,ood_test,customary,equal_count,unsw_recon_natural_cur,999,0.002219620671970457
fixed_c1,ood_test,customary,equal_count,unsw_recon_natural_cur,2024,0.006831573420444899
fixed_c1,ood_test,customary,native,ember_m1,7,0.023976785990516003
fixed_c1,ood_test,customary,native,ember_m1,42,0.014550603369763179
fixed_c1,ood_test,customary,native,ember_m1,123,0.0064343778855956435
fixed_c1,ood_test,customary,native,ember_m1,999,0.007772160649858491
fixed_c1,ood_test,customary,native,ember_m1,2024,0.014625697607287158
fixed_c1,ood_test,customary,native,ember_m2,7,0.03039904412902128
fixed_c1,ood_test,customary,native,ember_m2,42,0.024910348360655792
fixed_c1,ood_test,customary,native,ember_m2,123,0.02659952069088826
fixed_c1,ood_test,customary,native,ember_m2,999,0.03266575928446428
fixed_c1,ood_test,customary,native,ember_m2,2024,0.019009130369705123
fixed_c1,ood_test,customary,native,toniot_scanning_m2_centroid,7,0.011064083396231328
fixed_c1,ood_test,customary,native,toniot_scanning_m2_centroid,42,0.016643624597718287
fixed_c1,ood_test,customary,native,toniot_scanning_m2_centroid,123,0.011724783794295387
fixed_c1,ood_test,customary,native,toniot_scanning_m2_centroid,999,0.014088370040466073
fixed_c1,ood_test,customary,native,toniot_scanning_m2_centroid,2024,0.008152076002494815
fixed_c1,ood_test,customary,native,toniot_scanning_natural_cur,7,0.0026287464812055164
fixed_c1,ood_test,customary,native,toniot_scanning_natural_cur,42,0.003168567807351049
fixed_c1,ood_test,customary,native,toniot_scanning_natural_cur,123,0.0007095529798505362
fixed_c1,ood_test,customary,native,toniot_scanning_natural_cur,999,0.003529220846306802
fixed_c1,ood_test,customary,native,toniot_scanning_natural_cur,2024,0.0014423076923077243
fixed_c1,ood_test,customary,native,unsw_dos_m2_centroid,7,0.009050760692216183
fixed_c1,ood_test,customary,native,unsw_dos_m2_centroid,42,0.006733603385375653
fixed_c1,ood_test,customary,native,unsw_dos_m2_centroid,123,0.0012431495792501652
fixed_c1,ood_test,customary,native,unsw_dos_m2_centroid,999,0.0034323823995586755
fixed_c1,ood_test,customary,native,unsw_dos_m2_centroid,2024,0.00674198656181683
fixed_c1,ood_test,customary,native,unsw_dos_natural_cur,7,0.023221349923320218
fixed_c1,ood_test,customary,native,unsw_dos_natural_cur,42,0.023802893046464473
