stratum,budget,group,qs,cluster_effect
all_quantum_maps,60,unsw_recon_m2_centroid,999,-0.011117103002271254
all_quantum_maps,60,unsw_recon_m2_centroid,2024,-0.01123685438909486
all_quantum_maps,60,unsw_recon_natural_cur,7,0.0023444561980723393
all_quantum_maps,60,unsw_recon_natural_cur,42,0.0017885616776731992
all_quantum_maps,60,unsw_recon_natural_cur,123,-0.001029944258146316
all_quantum_maps,60,unsw_recon_natural_cur,999,0.02020581135145584
all_quantum_maps,60,unsw_recon_natural_cur,2024,0.0013779122859934629
entangling_zz,30,ember_m1,7,-0.016081565253782508
entangling_zz,30,ember_m1,42,0.013845559180327467
entangling_zz,30,ember_m1,123,-0.01959736044801753
entangling_zz,30,ember_m1,999,-0.02102657698077498
entangling_zz,30,ember_m1,2024,0.011339976923902005
entangling_zz,30,ember_m2,7,-0.010041937777071451
entangling_zz,30,ember_m2,42,-0.01096940348020206
entangling_zz,30,ember_m2,123,0.0018909218612962544
entangling_zz,30,ember_m2,999,0.0008883197365384554
entangling_zz,30,ember_m2,2024,-0.008291613947612944
entangling_zz,30,toniot_scanning_m2_centroid,7,0.00223667706442721
entangling_zz,30,toniot_scanning_m2_centroid,42,-0.003732292223891614
entangling_zz,30,toniot_scanning_m2_centroid,123,-0.0020667130815335047
entangling_zz,30,toniot_scanning_m2_centroid,999,0.0007835170747883761
entangling_zz,30,toniot_scanning_m2_centroid,2024,-0.0038288770142769087
entangling_zz,30,toniot_scanning_natural_cur,7,-0.030506698321632813
entangling_zz,30,toniot_scanning_natural_cur,42,-0.007564591099988762
entangling_zz,30,toniot_scanning_natural_cur,123,-0.015236744562984525
entangling_zz,30,toniot_scanning_natural_cur,999,-0.022188573481264563
entangling_zz,30,toniot_scanning_natural_cur,2024,-0.022496013799132464
entangling_zz,30,unsw_dos_m2_centroid,7,-0.0107194963189254
entangling_zz,30,unsw_dos_m2_centroid,42,-0.01476829898327941
entangling_zz,30,unsw_dos_m2_centroid,123,-0.03482412944321712
entangling_zz,30,unsw_dos_m2_centroid,999,-0.0021555756810624107
entangling_zz,30,unsw_dos_m2_centroid,2024,-0.01198174292423388
entangling_zz,30,unsw_dos_natural_cur,7,-0.01021881780829826
entangling_zz,30,unsw_dos_natural_cur,42,-0.017994726423764592
entangling_zz,30,unsw_dos_natural_cur,123,-0.014053128804474365
entangling_zz,30,unsw_dos_natural_cur,999,-0.006689541603240305
entangling_zz,30,unsw_dos_natural_cur,2024,-0.01543772813314429
entangling_zz,30,unsw_recon_m2_centroid,7,-0.005815900510814618
entangling_zz,30,unsw_recon_m2_centroid,42,-0.016349353377739167
entangling_zz,30,unsw_recon_m2_centroid,123,-0.015391120406334812
entangling_zz,30,unsw_recon_m2_centroid,999,-0.01652112268603237
entangling_zz,30,unsw_recon_m2_centroid,2024,-0.031653996756365786
entangling_zz,30,unsw_recon_natural_cur,7,-0.005215752238116195
entangling_zz,30,unsw_recon_natural_cur,42,-0.0036519430619989094
entangling_zz,30,unsw_recon_natural_cur,123,-0.0037544052178644627
entangling_zz,30,unsw_recon_natural_cur,999,0.005945302457809327
entangling_zz,30,unsw_recon_natural_cur,2024,-0.0004275447425119054
separable_product,30,ember_m1,7,0.009796214701500059
separable_product,30,ember_m1,42,0.008804559218564037
separable_product,30,ember_m1,123,-0.016160576687603134
separable_product,30,ember_m1,999,-0.0032322973493907115
separable_product,30,ember_m1,2024,0.018720306694805025
separable_product,30,ember_m2,7,-0.014917359441969208
separable_product,30,ember_m2,42,-0.012922131227826135
separable_product,30,ember_m2,123,-0.01619840850067234
separable_product,30,ember_m2,999,-0.009559931186754272
separable_product,30,ember_m2,2024,-0.013951914983019962
separable_product,30,toniot_scanning_m2_centroid,7,0.0007634720622504452
separable_product,30,toniot_scanning_m2_centroid,42,3.524843947851124e-05
separable_product,30,toniot_scanning_m2_centroid,123,-0.0003062700335810346
separable_product,30,toniot_scanning_m2_centroid,999,-0.004691369140684847
separable_product,30,toniot_scanning_m2_centroid,2024,-0.00022068432480982914
separable_product,30,toniot_scanning_natural_cur,7,-0.03718849284475367
separable_product,30,toniot_scanning_natural_cur,42,-0.01965973428924386
separable_product,30,toniot_scanning_natural_cur,123,-0.02320071792143719
separable_product,30,toniot_scanning_natural_cur,999,-0.02264852214597742
separable_product,30,toniot_scanning_natural_cur,2024,-0.00956763123771167
separable_product,30,unsw_dos_m2_centroid,7,0.0018107817695626395
separable_product,30,unsw_dos_m2_centroid,42,-0.0025533306608605598
separable_product,30,unsw_dos_m2_centroid,123,-0.007137545670922078
separable_product,30,unsw_dos_m2_centroid,999,0.004790580406517511
separable_product,30,unsw_dos_m2_centroid,2024,-0.00037469293671560117
separable_product,30,unsw_dos_natural_cur,7,0.0016493097883467517
separable_product,30,unsw_dos_natural_cur,42,-0.01116763726073707
separable_product,30,unsw_dos_natural_cur,123,0.0067892613212437595
separable_product,30,unsw_dos_natural_cur,999,0.0035942295299302013
separable_product,30,unsw_dos_natural_cur,2024,-0.009068919552966822
separable_product,30,unsw_recon_m2_centroid,7,-0.001736646784725717
separable_product,30,unsw_recon_m2_centroid,42,-0.0034894060238604974
separable_product,30,unsw_recon_m2_centroid,123,0.0027291294099895083
separable_product,30,unsw_recon_m2_centroid,999,-0.005181473134840598
separable_product,30,unsw_recon_m2_centroid,2024,-0.004955019546891852
separable_product,30,unsw_recon_natural_cur,7,0.002657769577712408
separable_product,30,unsw_recon_natural_cur,42,0.0026030884820725385
separable_product,30,unsw_recon_natural_cur,123,0.003209835260618153
separable_product,30,unsw_recon_natural_cur,999,0.017228800850652422
separable_product,30,unsw_recon_natural_cur,2024,0.0028487740108710537
