status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels,n_informative_counterexamples,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200,random_active_n_draws,random_active_n_reached,random_active_probability_reached,random_active_median_n_labels,random_active_q025_n_labels,random_active_q975_n_labels,random_active_min_n_labels,random_active_max_n_labels,random_active_median_n_informative_counterexamples,random_active_q025_n_informative_counterexamples,random_active_q975_n_informative_counterexamples,random_active_probability_by_25,random_active_probability_by_50,random_active_probability_by_100,random_active_probability_by_200,initial_coverage_n_draws,initial_coverage_n_reached,initial_coverage_probability_reached,initial_coverage_median_n_labels,initial_coverage_q025_n_labels,initial_coverage_q975_n_labels,initial_coverage_min_n_labels,initial_coverage_max_n_labels,initial_coverage_median_n_informative_counterexamples,initial_coverage_q025_n_informative_counterexamples,initial_coverage_q975_n_informative_counterexamples,initial_coverage_probability_by_25,initial_coverage_probability_by_50,initial_coverage_probability_by_100,initial_coverage_probability_by_200,oracle_min_n_labels
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.01,33,16,200,200,1.0,371.5,286.0,444.125,260.0,465.0,65.0,52.0,74.0,0.0,0.0,0.0,0.0,200,200,1.0,34.0,30.0,36.0,28.0,36.0,16.0,16.0,16.0,0.0,1.0,1.0,1.0,200,200,1.0,34.0,28.975,36.0,25.0,36.0,16.0,16.0,16.0,0.005,1.0,1.0,1.0,16
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.02,23,14,200,200,1.0,311.5,223.925,408.05,179.0,423.0,55.0,40.0,66.0,0.0,0.0,0.0,0.015,200,200,1.0,30.0,24.0,34.0,22.0,34.0,14.0,14.0,14.0,0.085,1.0,1.0,1.0,200,200,1.0,30.0,23.0,33.0,19.0,34.0,14.0,14.0,14.0,0.06,1.0,1.0,1.0,14
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,customary_30,500,30,0.027999999999999914,adaptive_bottleneck_cover,0.005,-1,-1,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,-1
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,customary_30,500,30,0.027999999999999914,adaptive_bottleneck_cover,0.01,-1,-1,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,-1
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,customary_30,500,30,0.027999999999999914,adaptive_bottleneck_cover,0.02,-1,-1,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,-1
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,full_115,500,115,-0.014000000000000012,adaptive_bottleneck_cover,0.005,4,3,200,200,1.0,192.5,45.825,380.2750000000001,9.0,443.0,8.0,3.0,13.0,0.01,0.035,0.16,0.51,200,200,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,200,200,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,full_115,500,115,-0.014000000000000012,adaptive_bottleneck_cover,0.01,3,2,200,200,1.0,112.0,17.750000000000007,304.15000000000003,5.0,390.0,4.0,2.0,10.0,0.055,0.18,0.455,0.88,200,200,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,200,200,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,full_115,500,115,-0.014000000000000012,adaptive_bottleneck_cover,0.02,0,0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.005,1,1,200,200,1.0,135.0,9.975000000000001,332.5000000000001,2.0,402.0,3.0,1.0,5.025000000000006,0.045,0.135,0.365,0.73,200,200,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,200,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.01,0,0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.02,0,0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.01200000000000001,adaptive_bottleneck_cover,0.005,1,1,200,200,1.0,60.0,4.9750000000000005,231.12500000000003,1.0,307.0,1.0,1.0,4.0,0.22,0.44,0.72,0.95,200,200,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.01200000000000001,adaptive_bottleneck_cover,0.01,0,0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.01200000000000001,adaptive_bottleneck_cover,0.02,0,0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,customary_30,500,30,-0.052000000000000046,adaptive_bottleneck_cover,0.005,22,18,200,200,1.0,277.5,186.775,349.07500000000005,164.0,376.0,27.0,22.975,30.0,0.0,0.0,0.0,0.05,200,200,1.0,22.0,19.0,25.0,19.0,25.0,18.0,18.0,18.0,1.0,1.0,1.0,1.0,200,200,1.0,22.0,20.0,25.0,18.0,25.0,18.0,18.0,18.0,1.0,1.0,1.0,1.0,18
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,customary_30,500,30,-0.052000000000000046,adaptive_bottleneck_cover,0.01,21,17,200,200,1.0,261.0,176.95,331.0,159.0,371.0,25.0,21.0,29.0,0.0,0.0,0.0,0.105,200,200,1.0,21.0,18.0,24.0,18.0,24.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0,200,200,1.0,21.0,18.0,24.0,17.0,24.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0,17
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,customary_30,500,30,-0.052000000000000046,adaptive_bottleneck_cover,0.02,18,14,200,200,1.0,218.0,139.8,293.05,103.0,359.0,21.0,16.0,25.0,0.0,0.0,0.0,0.29,200,200,1.0,17.0,15.0,20.0,14.0,21.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,200,200,1.0,17.0,14.975000000000001,20.025000000000006,14.0,21.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,14
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,full_115,500,115,-0.052000000000000046,adaptive_bottleneck_cover,0.005,24,16,200,200,1.0,264.5,174.775,329.05,135.0,362.0,27.0,21.975,31.0,0.0,0.0,0.0,0.1,200,200,1.0,24.0,20.0,27.0,19.0,27.0,16.0,16.0,16.0,0.835,1.0,1.0,1.0,200,200,1.0,24.0,20.0,27.0,19.0,27.0,16.0,16.0,16.0,0.845,1.0,1.0,1.0,16
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,full_115,500,115,-0.052000000000000046,adaptive_bottleneck_cover,0.01,22,14,200,200,1.0,244.5,158.9,316.05,124.0,359.0,25.0,19.975,29.025000000000006,0.0,0.0,0.0,0.16,200,200,1.0,21.0,17.0,24.0,16.0,25.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,200,200,1.0,21.0,17.0,24.0,16.0,25.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,14
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,full_115,500,115,-0.052000000000000046,adaptive_bottleneck_cover,0.02,20,12,200,200,1.0,196.5,116.875,278.025,90.0,321.0,20.0,15.0,25.0,0.0,0.0,0.005,0.53,200,200,1.0,18.0,14.0,21.0,14.0,22.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,200,200,1.0,18.0,14.0,22.0,13.0,23.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,12
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.02199999999999991,adaptive_bottleneck_cover,0.005,11,6,200,200,1.0,342.0,205.57500000000002,435.05,129.0,451.0,55.0,32.975,67.0,0.0,0.0,0.0,0.025,200,200,1.0,13.0,9.975000000000001,14.0,6.0,14.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,200,200,1.0,13.0,9.0,14.0,8.0,14.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.02199999999999991,adaptive_bottleneck_cover,0.01,9,5,200,200,1.0,298.5,155.975,403.07500000000005,73.0,436.0,49.0,28.950000000000003,62.0,0.0,0.0,0.01,0.06,200,200,1.0,11.0,7.0,13.0,5.0,13.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,200,200,1.0,11.0,7.0,13.0,6.0,13.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.02199999999999991,adaptive_bottleneck_cover,0.02,4,2,200,200,1.0,130.0,25.0,296.0,13.0,341.0,21.0,4.9750000000000005,45.025000000000006,0.03,0.13,0.33,0.805,200,200,1.0,4.0,2.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,200,200,1.0,4.0,2.0,8.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.005,14,6,200,200,1.0,283.5,169.95,368.025,129.0,409.0,47.0,32.0,58.0,0.0,0.0,0.0,0.055,200,200,1.0,13.0,9.975000000000001,14.0,6.0,14.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,200,200,1.0,13.0,9.0,14.0,8.0,14.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.01,12,5,200,200,1.0,246.5,135.85,340.07500000000005,73.0,360.0,40.0,22.975,53.025000000000006,0.0,0.0,0.01,0.18,200,200,1.0,11.0,7.0,13.0,5.0,13.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,200,200,1.0,11.0,7.0,13.0,6.0,13.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.02,5,2,200,200,1.0,126.0,25.0,251.0,13.0,296.0,21.0,4.9750000000000005,39.025000000000006,0.03,0.13,0.34,0.865,200,200,1.0,4.0,2.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,200,200,1.0,4.0,2.0,8.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.062000000000000055,adaptive_bottleneck_cover,0.005,24,21,200,200,1.0,287.5,223.9,350.025,164.0,397.0,33.0,27.975,37.0,0.0,0.0,0.0,0.015,200,200,1.0,26.0,22.975,28.0,22.0,29.0,21.0,21.0,21.0,0.42,1.0,1.0,1.0,200,200,1.0,26.0,22.0,28.0,22.0,29.0,21.0,21.0,21.0,0.46,1.0,1.0,1.0,21
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.062000000000000055,adaptive_bottleneck_cover,0.01,23,20,200,200,1.0,271.0,202.925,342.025,158.0,378.0,31.0,26.0,36.0,0.0,0.0,0.0,0.025,200,200,1.0,25.0,21.0,27.0,21.0,27.0,20.0,20.0,20.0,0.735,1.0,1.0,1.0,200,200,1.0,24.0,21.0,27.0,21.0,28.0,20.0,20.0,20.0,0.755,1.0,1.0,1.0,20
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.062000000000000055,adaptive_bottleneck_cover,0.02,20,17,200,200,1.0,232.0,171.775,305.05,127.0,353.0,26.5,21.975,31.025000000000006,0.0,0.0,0.0,0.15,200,200,1.0,21.0,18.0,24.0,17.0,24.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0,200,200,1.0,21.0,18.0,24.0,17.0,25.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0,17
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.06600000000000006,adaptive_bottleneck_cover,0.005,23,21,200,200,1.0,280.0,219.975,342.125,164.0,378.0,32.0,28.0,37.0,0.0,0.0,0.0,0.015,200,200,1.0,26.0,22.975,28.0,22.0,29.0,21.0,21.0,21.0,0.42,1.0,1.0,1.0,200,200,1.0,26.0,22.0,28.0,22.0,29.0,21.0,21.0,21.0,0.46,1.0,1.0,1.0,21
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.06600000000000006,adaptive_bottleneck_cover,0.01,22,20,200,200,1.0,260.0,190.85,319.5000000000001,158.0,367.0,30.0,25.975,34.025000000000006,0.0,0.0,0.0,0.04,200,200,1.0,25.0,21.0,27.0,21.0,27.0,20.0,20.0,20.0,0.735,1.0,1.0,1.0,200,200,1.0,24.0,21.0,27.0,21.0,28.0,20.0,20.0,20.0,0.755,1.0,1.0,1.0,20
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.06600000000000006,adaptive_bottleneck_cover,0.02,19,17,200,200,1.0,225.5,171.775,296.225,127.0,337.0,26.0,21.975,31.0,0.0,0.0,0.0,0.195,200,200,1.0,21.0,18.0,24.0,17.0,24.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0,200,200,1.0,21.0,18.0,24.0,17.0,25.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0,17
