status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.062000000000000055,retrospective_label_oracle,0.005,21
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.062000000000000055,retrospective_label_oracle,0.01,20
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.062000000000000055,retrospective_label_oracle,0.02,17
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.06600000000000006,retrospective_label_oracle,0.005,21
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.06600000000000006,retrospective_label_oracle,0.01,20
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.06600000000000006,retrospective_label_oracle,0.02,17
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,0.0020000000000000018,retrospective_label_oracle,0.005,14
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,0.0020000000000000018,retrospective_label_oracle,0.01,5
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,0.0020000000000000018,retrospective_label_oracle,0.02,3
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,0.0020000000000000018,retrospective_label_oracle,0.005,14
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,0.0020000000000000018,retrospective_label_oracle,0.01,5
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,0.0020000000000000018,retrospective_label_oracle,0.02,3
