case,group,model,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,100,-0.244,-0.28204999999999997,-0.204,0.012,0.0,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,150,-0.176,-0.216,-0.136,0.008,-0.006,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,200,-0.104,-0.15209999999999999,-0.072,0.004,-0.008,0.012050000000000012
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,300,-0.018,-0.04,-0.014,-0.002,-0.01005,0.012
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,400,-0.014,-0.018,-0.014,-0.008,-0.014,0.002
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,500,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,0,-0.54,-0.54,-0.54,0.006,0.006,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,5,-0.528,-0.536,-0.52,0.006,0.006,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,10,-0.52,-0.528,-0.504,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,20,-0.496,-0.512,-0.48,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,30,-0.476,-0.496,-0.456,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,40,-0.456,-0.48,-0.432,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,50,-0.436,-0.46,-0.408,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,75,-0.38,-0.416,-0.352,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,100,-0.328,-0.3641,-0.296,0.006,-0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,150,-0.224,-0.268,-0.192,0.002,-0.006,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,200,-0.116,-0.16,-0.084,0.002,-0.006,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,300,-0.012,-0.02,-0.01,-0.002,-0.01,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,400,-0.01,-0.014,-0.01,-0.006,-0.01,0.002
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,500,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,0,-0.54,-0.54,-0.54,0.006,0.006,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,5,-0.528,-0.536,-0.52,0.006,0.003950000000000001,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,10,-0.52,-0.528,-0.504,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,20,-0.496,-0.512,-0.48,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,30,-0.476,-0.496,-0.456,0.006,0.002,0.006
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,40,-0.456,-0.48,-0.432,0.006,0.0,0.006
