run,group,dataset,shots,projection_condition,n_measurement_replicates,selected_c_median,selected_c_q025,selected_c_q975,id_val_bacc_median,id_val_bacc_q025,id_val_bacc_q975,id_test_bacc_median,id_test_bacc_q025,id_test_bacc_q975,ood_test_bacc_median,ood_test_bacc_q025,ood_test_bacc_q975,ood_difference_from_exact_median,ood_difference_from_exact_q025,ood_difference_from_exact_q975,absolute_ood_difference_median,absolute_ood_difference_q025,absolute_ood_difference_q975,train_effective_rank_ratio_median,train_effective_rank_ratio_q025,train_effective_rank_ratio_q975,kta_ood_difference_median,kta_ood_difference_q025,kta_ood_difference_q975,train_min_eig_before_psd_median,train_min_eig_before_psd_q025,train_min_eig_before_psd_q975,train_frac_negative_eig_median,train_frac_negative_eig_q025,train_frac_negative_eig_q975,train_fro_change_sampling_median,train_fro_change_sampling_q025,train_fro_change_sampling_q975,train_fro_change_projection_median,train_fro_change_projection_q025,train_fro_change_projection_q975,ood_fro_change_sampling_median,ood_fro_change_sampling_q025,ood_fro_change_sampling_q975,ood_fro_change_projection_median,ood_fro_change_projection_q025,ood_fro_change_projection_q975,condition_train_fro_change_from_sampled_median,condition_train_fro_change_from_sampled_q025,condition_train_fro_change_from_sampled_q975,condition_id_val_fro_change_from_sampled_median,condition_id_val_fro_change_from_sampled_q025,condition_id_val_fro_change_from_sampled_q975,condition_id_test_fro_change_from_sampled_median,condition_id_test_fro_change_from_sampled_q025,condition_id_test_fro_change_from_sampled_q975,condition_ood_test_fro_change_from_sampled_median,condition_ood_test_fro_change_from_sampled_q025,condition_ood_test_fro_change_from_sampled_q975,condition_ood_square_fro_change_from_sampled_median,condition_ood_square_fro_change_from_sampled_q025,condition_ood_square_fro_change_from_sampled_q975
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,toniot,2048,pre_psd,30,10.0,1.0,10.0,0.9873949579831932,0.9835781640900636,0.9915966386554622,0.9881647315414716,0.980531143755212,0.9919815254346014,0.9631665706420844,0.9581492862172716,0.966151334741694,-0.0009522437744062,-0.005969528199219,0.0020325203252032,0.0019044875488124,0.0,0.005969528199219,1.2246908894885975,1.2239226248742905,1.2254264137848576,-4.449893064323307e-05,-0.00010137711061547978,2.189119814477724e-05,-0.22943254807311356,-0.23380026624077402,-0.22512286879844262,0.41,0.40872499999999995,0.411,3.543136934030045,3.528665884820075,3.554147292107825,2.1144024958473113,2.1033949089923363,2.121806093507254,1.8155120343894424,1.808128173413517,1.8267618802986907,1.0373599282482742,1.029272907087166,1.04520558850618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,toniot,8192,independent_square_psd,30,10.0,1.0,10.0,0.9915966386554622,0.9835781640900636,0.9915966386554622,0.9919815254346014,0.980531143755212,0.9919815254346014,0.9641188144164906,0.962132705972729,0.9641364189232443,0.0,-0.0019861084437615348,1.7604506753740498e-05,0.0,0.0,0.0019861084437615348,1.1186304463468533,1.1179615815987434,1.1190806898257166,-4.653734304027601e-06,-3.0494995439500627e-05,2.6612478127863153e-05,-0.11404235286121585,-0.1164243521954635,-0.11172829595228656,0.401,0.399725,0.402,1.7712247000342227,1.7651918317682898,1.776691615223955,1.0360239561636018,1.0306743403238408,1.0415003973888084,0.9083726580255673,0.9026471822801002,0.91276674089428,0.5067416248139429,0.5009856492191467,0.5100947253404374,1.0360239561636018,1.0306743403238408,1.0415003973888084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067416248139429,0.5009856492191467,0.5100947253404374
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,toniot,8192,nystrom_psd,30,10.0,1.0,10.0,0.9915966386554622,0.9835781640900636,0.9915966386554622,0.9919815254346014,0.980531143755212,0.9919815254346014,0.9641188144164906,0.9621503104794829,0.9641364189232443,0.0,-0.0019685039370078,1.7604506753740498e-05,0.0,0.0,0.0019685039370078,1.1186304463468533,1.1179615815987434,1.1190806898257166,-0.00421750806742395,-0.11572709078162116,0.00015694490054622844,-0.11404235286121585,-0.1164243521954635,-0.11172829595228656,0.401,0.399725,0.402,1.7712247000342227,1.7651918317682898,1.776691615223955,1.0360239561636018,1.0306743403238408,1.0415003973888084,0.9083726580255673,0.9026471822801002,0.91276674089428,0.5067416248139429,0.5009856492191467,0.5100947253404374,1.0360239561636015,1.0306743403238408,1.0415003973888084,0.6099672677323645,0.6064953998893017,0.6137560473177068,0.6215890947439937,0.616975742224963,0.6255746685331732,0.9054882481885884,0.9024393845380537,0.9094369315161211,20.583448168874007,9.979305911156514,188.68901939083406
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,toniot,8192,pre_psd,30,10.0,7.525,10.0,0.9915966386554622,0.9863453396625825,0.9915966386554622,0.9919815254346014,0.9888326704727693,0.9919815254346014,0.9641188144164906,0.9601465975289674,0.9641364189232443,0.0,-0.003972216887523142,1.7604506753740498e-05,0.0,0.0,0.003972216887523142,1.1186304463468533,1.1179615815987434,1.1190806898257166,-1.4152021633490053e-05,-4.071083771198941e-05,1.7490177391198116e-05,-0.11404235286121585,-0.1164243521954635,-0.11172829595228656,0.401,0.399725,0.402,1.7712247000342227,1.7651918317682898,1.776691615223955,1.0360239561636018,1.0306743403238408,1.0415003973888084,0.9083726580255673,0.9026471822801002,0.91276674089428,0.5067416248139429,0.5009856492191467,0.5100947253404374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,128,independent_square_psd,30,10.0,10.0,10.0,0.9682181864363728,0.9461082359664721,0.98002921005842,0.971835075493612,0.9587688734030198,0.9769913859852885,0.976113042503084,0.9667921626427851,0.9820883865489675,-0.0001441868661785,-0.009465066726477457,0.005831157179704842,0.0023630625290375,0.0001441868661785,0.009465066726477452,1.6439659107804887,1.639747737383813,1.648658180963031,-0.00044865306843815003,-0.00061795619124097,-0.00027930195328273,-0.7250191105766887,-0.7590093463525621,-0.7014816057241483,0.445,0.442725,0.44627500000000003,9.069992397724508,9.006721394493319,9.137033429792472,5.970839088534261,5.931676914353584,6.020830064882346,7.473752789653448,7.389234624888891,7.547383908034548,4.982822974347108,4.911584108665378,5.0365994853252625,5.970839088534261,5.931676914353584,6.020830064882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.982822974347108,4.911584108665378,5.0365994853252625
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,128,nystrom_psd,30,10.0,10.0,10.0,0.975996951993904,0.9681229362458724,0.98002921005842,0.9798683701122726,0.9747120596205961,0.9838366240805264,0.9762572293692624,0.97225203864208,0.9841234239574488,0.0,-0.0040051907271824,0.0078661945881863,0.0019305019305019,0.0,0.0078661945881863,1.6439659107804887,1.639747737383813,1.648658180963031,-0.1219878873149539,-0.4950148377924434,-0.049454169664430406,-0.7250191105766887,-0.7590093463525621,-0.7014816057241483,0.445,0.442725,0.44627500000000003,9.069992397724508,9.006721394493319,9.137033429792472,5.970839088534261,5.931676914353584,6.020830064882346,7.473752789653448,7.389234624888891,7.547383908034548,4.982822974347108,4.911584108665378,5.0365994853252625,5.970839088534261,5.931676914353585,6.020830064882346,3.25925820538639,3.2173278450260856,3.2950696313449725,3.2078493731731497,3.1840175214929523,3.245112877094882,3.948427525409618,3.9012001436454558,4.015391573419973,121.040607032541,62.70468912537397,10372.96746761008
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,128,pre_psd,30,10.0,10.0,10.0,0.9740760731521463,0.9630341948183897,0.9783528067056134,0.97977158343012,0.9695823654665119,0.9838366240805264,0.9830139861260192,0.9755028516957978,0.9884360130729426,0.00675675675675675,-0.0007543776734647248,0.012178783703680017,0.00675675675675675,0.0001441868661785,0.012178783703680017,1.6439659107804887,1.639747737383813,1.648658180963031,-0.0008284470903521,-0.0009973822598225975,-0.00065633635058752,-0.7250191105766887,-0.7590093463525621,-0.7014816057241483,0.445,0.442725,0.44627500000000003,9.069992397724508,9.006721394493319,9.137033429792472,5.970839088534261,5.931676914353584,6.020830064882346,7.473752789653448,7.389234624888891,7.547383908034548,4.982822974347108,4.911584108665378,5.0365994853252625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,512,independent_square_psd,30,10.0,10.0,10.0,0.98002921005842,0.9749142748285498,0.9811380810261621,0.9838366240805264,0.9747386759581882,0.9838366240805264,0.9781877312997644,0.9718256860891716,0.982192922026947,0.0019305019305019,-0.004431543280090937,0.0059356926576844,0.0019305019305019,0.0,0.0059356926576844,1.3336771975327446,1.3313502100587655,1.3350475153965418,-0.000113779976162,-0.0002099494225966425,-1.6219666960384916e-05,-0.363422894454029,-0.3786664643106028,-0.35362648130220553,0.439,0.436725,0.440275,4.540756685328727,4.510574570321533,4.558609559519714,2.9579190673558236,2.934410457494203,2.9729645072606035,3.7315825548105184,3.707173915828033,3.7722542233996665,2.46853093143141,2.4452848702663363,2.4986225829539026,2.9579190673558236,2.934410457494203,2.9729645072606035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46853093143141,2.4452848702663363,2.4986225829539026
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,512,nystrom_psd,30,10.0,10.0,10.0,0.98002921005842,0.975996951993904,0.98002921005842,0.9838366240805264,0.97977158343012,0.9838366240805264,0.9781877312997644,0.9718653374773707,0.9820883865489675,0.0019305019305019,-0.004391891891891823,0.005831157179704842,0.0019305019305019,0.0,0.005831157179704842,1.3336771975327446,1.3313502100587655,1.3350475153965418,-0.0466161865738279,-0.40451017963860053,-0.02107907726851818,-0.363422894454029,-0.3786664643106028,-0.35362648130220553,0.439,0.436725,0.440275,4.540756685328727,4.510574570321533,4.558609559519714,2.9579190673558236,2.934410457494203,2.9729645072606035,3.7315825548105184,3.707173915828033,3.7722542233996665,2.46853093143141,2.4452848702663363,2.4986225829539026,2.9579190673558236,2.934410457494203,2.9729645072606035,1.6260326253183188,1.6123663850249954,1.6448103454631715,1.6049159240386879,1.5862840850969797,1.6208781939267312,1.9757391405664433,1.957232262360526,2.0017146743966148,72.49148672434919,36.35070632807177,762.4312305425717
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,512,pre_psd,30,10.0,10.0,10.0,0.975996951993904,0.9749404686309372,0.98002921005842,0.9838366240805264,0.97977158343012,0.9838366240805264,0.9801182332302664,0.9723962255082588,0.9880240792066518,0.0038610038610039,-0.0038610038610038,0.011766849837389287,0.0038610038610039,0.0,0.011766849837389287,1.3336771975327446,1.3313502100587655,1.3350475153965418,-0.00020624086999115,-0.00030222943456429497,-0.00011088525299435461,-0.363422894454029,-0.3786664643106028,-0.35362648130220553,0.439,0.436725,0.440275,4.540756685328727,4.510574570321533,4.558609559519714,2.9579190673558236,2.934410457494203,2.9729645072606035,3.7315825548105184,3.707173915828033,3.7722542233996665,2.46853093143141,2.4452848702663363,2.4986225829539026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,2048,independent_square_psd,30,10.0,10.0,10.0,0.98002921005842,0.975996951993904,0.98002921005842,0.9838366240805264,0.97977158343012,0.9838366240805264,0.9762572293692624,0.9737958394078726,0.9782273826879636,0.0,-0.002461389961389922,0.001970153318701042,0.0,0.0,0.0025659254393694776,1.1747911200865127,1.1736752089279896,1.175522906199537,-4.5570185223997584e-05,-7.97426645084781e-05,-1.7194526877928612e-06,-0.18089236799856406,-0.18989179070300732,-0.17521143079653725,0.433,0.42972499999999997,0.435,2.266771970287204,2.2528545133122986,2.276509681511235,1.462805890347281,1.455782683521067,1.4720986327600385,1.8681521570385604,1.847291565712793,1.8809535920422233,1.2248689367102141,1.2105271151623196,1.2384825324164435,1.462805890347281,1.455782683521067,1.4720986327600385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2248689367102141,1.2105271151623196,1.2384825324164435
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,2048,nystrom_psd,30,10.0,10.0,10.0,0.98002921005842,0.975996951993904,0.98002921005842,0.9838366240805264,0.97977158343012,0.9838366240805264,0.9762572293692624,0.9737958394078726,0.9781877312997644,0.0,-0.002461389961389922,0.0019305019305019,0.0,0.0,0.0024613899613899195,1.1747911200865127,1.1736752089279896,1.175522906199537,-0.022119313911698,-0.10242133745946226,-0.01197560858779314,-0.18089236799856406,-0.18989179070300732,-0.17521143079653725,0.433,0.42972499999999997,0.435,2.266771970287204,2.2528545133122986,2.276509681511235,1.462805890347281,1.455782683521067,1.4720986327600385,1.8681521570385604,1.847291565712793,1.8809535920422233,1.2248689367102141,1.2105271151623196,1.2384825324164435,1.462805890347281,1.455782683521067,1.4720986327600385,0.8153410559820384,0.8086982400094257,0.8232055309002785,0.8036652940508341,0.795079697509375,0.8143513736627997,0.9960610097237406,0.9823877370659715,1.0168093709695993,37.03525702849221,24.103785281185996,94.80165457616044
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,2048,pre_psd,30,10.0,10.0,10.0,0.98002921005842,0.975996951993904,0.98002921005842,0.97977158343012,0.97977158343012,0.9838366240805264,0.9762572293692624,0.9744312629167401,0.980262420096445,0.0,-0.0018259664525223426,0.0040051907271825,0.0008931575321616,0.0,0.0040051907271825,1.1747911200865127,1.1736752089279896,1.175522906199537,-6.855384641119011e-05,-0.0001031288481331975,-2.4855708034596276e-05,-0.18089236799856406,-0.18989179070300732,-0.17521143079653725,0.433,0.42972499999999997,0.435,2.266771970287204,2.2528545133122986,2.276509681511235,1.462805890347281,1.455782683521067,1.4720986327600385,1.8681521570385604,1.847291565712793,1.8809535920422233,1.2248689367102141,1.2105271151623196,1.2384825324164435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,8192,independent_square_psd,30,10.0,10.0,100.0,0.98002921005842,0.9749142748285498,0.983966217932436,0.9818041037553232,0.9668021680216801,0.9838366240805264,0.9762572293692624,0.9731604158990051,0.980262420096445,0.0,-0.003096813470257357,0.0040051907271825,0.0,0.0,0.004496427369871377,1.0924015024099614,1.0918397501162427,1.0932812080981293,-4.8058697019737195e-06,-3.0152793081048013e-05,1.795717063426405e-05,-0.08974442650588495,-0.09376312729955635,-0.0870349104888712,0.427,0.425,0.429,1.1345012718708194,1.1240292124885345,1.1413819812834634,0.7246427101480933,0.7191241471853071,0.7316923680274906,0.935098746952433,0.9281960807848108,0.9419127914624665,0.6085772274384263,0.6028298839057858,0.6143644021459145,0.7246427101480933,0.7191241471853071,0.7316923680274906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6085772274384263,0.6028298839057858,0.6143644021459145
