setting,model,dataset,n_cells,rho_eff_rank,rho_kta_ood
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024,gpc,ember,30,0.6880978865406007,0.8260289210233593
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024,svc,ember,30,0.6533926585094549,0.810901001112347
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42,gpc,ember,55,0.7930014430014433,0.7098124098124099
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42,svc,ember,55,0.8212842712842714,0.7625541125541127
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7,gpc,ember,30,0.8674082313681868,0.8798665183537263
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7,svc,ember,30,0.8006674082313682,0.7957730812013347
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999,gpc,ember,30,0.6738598442714127,0.889210233592881
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999,svc,ember,30,0.7793103448275861,0.7873192436040044
m1_hist_byteent__ms42__q1000_id500_ood500__qs123,gpc,ember,30,0.7833147942157953,0.889210233592881
m1_hist_byteent__ms42__q1000_id500_ood500__qs123,svc,ember,30,0.7219132369299222,0.8264738598442714
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024,gpc,ember,30,0.7566184649610679,0.7414905450500555
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024,svc,ember,30,0.8060066740823137,0.8300333704115684
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,gpc,ember,55,0.4543290043290044,0.5047619047619047
m1_hist_byteent__ms42__q1000_id500_ood500__qs42,svc,ember,55,0.48302608350636417,0.47483675488167637
m1_hist_byteent__ms42__q1000_id500_ood500__qs7,gpc,ember,30,0.5473356358265375,0.564245192055325
m1_hist_byteent__ms42__q1000_id500_ood500__qs7,svc,ember,30,0.4758620689655172,0.5345939933259177
m1_hist_byteent__ms42__q1000_id500_ood500__qs999,gpc,ember,30,0.37619577308120133,0.49321468298109006
m1_hist_byteent__ms42__q1000_id500_ood500__qs999,svc,ember,30,0.32858731924360396,0.4700778642936596
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123,gpc,ember,30,0.8149054505005562,0.5991101223581757
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123,svc,ember,30,0.6969966629588431,0.667630700778643
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024,gpc,ember,30,0.6703003337041158,0.8420467185761957
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024,svc,ember,30,0.7686318131256953,0.8157953281423804
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs42,gpc,ember,55,0.2634199134199135,0.40887445887445895
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs42,svc,ember,55,0.3765512265512266,0.28701298701298705
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs7,gpc,ember,30,0.6952169076751946,0.6938820912124583
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs7,svc,ember,30,0.7984427141268076,0.7971078976640712
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs999,gpc,ember,30,0.5768631813125694,0.6102335928809789
m1_hist_byteent__ms42__q2000_id1000_ood1000__qs999,svc,ember,30,0.5689175694343319,0.5620202504462739
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs123,gpc,ember,30,0.7014460511679643,0.7530589543937708
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs123,svc,ember,30,0.7815350389321468,0.8883203559510566
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs2024,gpc,ember,30,0.6008898776418242,0.8527252502780869
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs2024,svc,ember,30,0.695961735311142,0.8463677880829874
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs42,gpc,ember,55,0.4327561327561328,0.7377344877344879
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs42,svc,ember,55,0.5836940836940838,0.7804473304473306
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,gpc,ember,30,0.6235817575083425,0.5385984427141268
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,svc,ember,30,0.7526140155728587,0.7090100111234705
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs999,gpc,ember,30,0.6102335928809789,0.7757508342602891
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs999,svc,ember,30,0.8384872080088988,0.5870967741935484
m1_hist_byteent__ms999__q1000_id500_ood500__qs123,gpc,ember,30,0.7161290322580645,0.8113459399332592
m1_hist_byteent__ms999__q1000_id500_ood500__qs123,svc,ember,30,0.7500278164110805,0.850150188818374
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024,gpc,ember,30,0.6453837597330366,0.7672969966629588
m1_hist_byteent__ms999__q1000_id500_ood500__qs2024,svc,ember,30,0.49660696714017555,0.6443430899811596
m1_hist_byteent__ms999__q1000_id500_ood500__qs42,gpc,ember,55,0.7532017754459536,0.8290703133213649
m1_hist_byteent__ms999__q1000_id500_ood500__qs42,svc,ember,55,0.6311688311688313,0.7094516594516596
m1_hist_byteent__ms999__q1000_id500_ood500__qs7,gpc,ember,30,0.4046718576195773,0.3632925472747497
m1_hist_byteent__ms999__q1000_id500_ood500__qs7,svc,ember,30,0.4309232480533926,0.4318131256952169
m1_hist_byteent__ms999__q1000_id500_ood500__qs999,gpc,ember,30,0.6102335928809789,0.6249165739710789
m1_hist_byteent__ms999__q1000_id500_ood500__qs999,svc,ember,30,0.10344827586206896,0.22981090100111232
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs123,gpc,ember,30,0.6987764182424916,0.7147942157953281
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs123,svc,ember,30,0.7098998887652946,0.7490545050055617
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs2024,gpc,ember,30,0.3161290322580645,0.49454949944382637
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs2024,svc,ember,30,0.335706340378198,0.5946607341490544
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs42,gpc,ember,55,0.5156565656565658,0.7671717171717173
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs42,svc,ember,55,0.6433621933621935,0.8231601731601733
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs7,gpc,ember,30,0.8411568409343715,0.6729699666295884
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs7,svc,ember,30,0.832258064516129,0.6836484983314793
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs999,gpc,ember,30,0.8304783092324804,0.8878754171301446
m1_hist_byteent__ms999__q2000_id1000_ood1000__qs999,svc,ember,30,0.8055617352614016,0.9145717463848719
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs123,gpc,ember,30,0.5568409343715239,0.6840934371523915
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs123,svc,ember,30,0.7904338153503893,0.8745272525027808
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs2024,gpc,ember,30,0.6240266963292548,0.6880978865406007
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs2024,svc,ember,30,0.6854282536151279,0.8060066740823137
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs42,gpc,ember,55,0.6870851370851373,0.8556998556998558
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs42,svc,ember,55,0.6243145743145744,0.628860028860029
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs7,gpc,ember,30,0.7219132369299222,0.8206896551724139
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs7,svc,ember,30,0.7268075639599554,0.9150166852057842
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs999,gpc,ember,30,0.7618200069390507,0.7059739725518713
m1_hist_byteent__ms999__q4000_id1800_ood1800__qs999,svc,ember,30,0.6978865406006673,0.6587319243604004
m2_hist_byteent__ms123__q1000_id500_ood500__qs123,gpc,ember,30,0.8576195773081201,0.6266963292547274
m2_hist_byteent__ms123__q1000_id500_ood500__qs123,svc,ember,30,0.8996439920102145,0.6960391805609575
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024,gpc,ember,30,0.7717463848720801,0.3081201334816463
m2_hist_byteent__ms123__q1000_id500_ood500__qs2024,svc,ember,30,0.9332591768631814,0.5337041156840934
m2_hist_byteent__ms123__q1000_id500_ood500__qs42,gpc,ember,55,0.7603413189986444,0.7819169149349255
m2_hist_byteent__ms123__q1000_id500_ood500__qs42,svc,ember,55,0.8559111084613108,0.7801147232610066
m2_hist_byteent__ms123__q1000_id500_ood500__qs7,gpc,ember,30,0.9541713014460511,0.6947719688542825
m2_hist_byteent__ms123__q1000_id500_ood500__qs7,svc,ember,30,0.9231282735952456,0.5706975227215728
m2_hist_byteent__ms123__q1000_id500_ood500__qs999,gpc,ember,30,0.9381535038932147,0.8816462736373749
m2_hist_byteent__ms123__q1000_id500_ood500__qs999,svc,ember,30,0.970405008448317,0.8925233865824809
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs123,gpc,ember,30,0.9154616240266963,-0.2164627363737486
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs123,svc,ember,30,0.9675194660734149,-0.23470522803114574
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs2024,gpc,ember,30,0.7810901001112347,0.49632925472747497
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs2024,svc,ember,30,0.9132369299221357,0.4273637374860957
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs42,gpc,ember,55,0.8940836940836943,0.3385281385281386
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs42,svc,ember,55,0.9145021645021647,0.450937950937951
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs7,gpc,ember,30,0.9061179087875416,-0.4647385984427141
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs7,svc,ember,30,0.9283648498331479,-0.5181312569521691
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs999,gpc,ember,30,0.8558398220244716,0.7499443826473859
m2_hist_byteent__ms123__q2000_id1000_ood1000__qs999,svc,ember,30,0.8834260289210233,0.7806451612903226
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs123,gpc,ember,30,0.9274749721913237,0.13993325917686317
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs123,svc,ember,30,0.9096774193548388,0.08164627363737487
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs2024,gpc,ember,30,0.921245828698554,0.5221357063403782
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs2024,svc,ember,30,0.9480476196166163,0.5333185036895165
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs42,gpc,ember,55,0.895522927095263,-0.6798585811993003
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs42,svc,ember,55,0.9331697903716911,-0.7214055088747326
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs7,gpc,ember,30,0.8945494994438264,0.7090100111234705
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs7,svc,ember,30,0.9412680756395997,0.6298109010011124
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs999,gpc,ember,30,0.8941045606229142,0.14438264738598441
m2_hist_byteent__ms123__q4000_id1800_ood1800__qs999,svc,ember,30,0.9518300203520033,0.3497608209428118
m2_hist_byteent__ms42__q1000_id500_ood500__qs123,gpc,ember,30,0.7432703003337041,-0.40111234705228027
m2_hist_byteent__ms42__q1000_id500_ood500__qs123,svc,ember,30,0.9402338684541541,-0.21836397371058833
m2_hist_byteent__ms42__q1000_id500_ood500__qs2024,gpc,ember,30,0.8647385984427142,0.5141268075639599
m2_hist_byteent__ms42__q1000_id500_ood500__qs2024,svc,ember,30,0.8888641728158608,0.5586828380326976
m2_hist_byteent__ms42__q1000_id500_ood500__qs42,gpc,ember,55,0.8649506666390253,0.7323364419741497
m2_hist_byteent__ms42__q1000_id500_ood500__qs42,svc,ember,55,0.9343434343434346,0.7545454545454547
m2_hist_byteent__ms42__q1000_id500_ood500__qs7,gpc,ember,30,0.877961958931511,0.905106246561933
m2_hist_byteent__ms42__q1000_id500_ood500__qs7,svc,ember,30,0.9163515016685205,0.9052280311457174
m2_hist_byteent__ms42__q1000_id500_ood500__qs999,gpc,ember,30,0.7883845322018772,0.6682243156088731
m2_hist_byteent__ms42__q1000_id500_ood500__qs999,svc,ember,30,0.8614973910245339,0.6287684987178029
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs123,gpc,ember,30,0.7582601003645691,-0.33596618296669584
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs123,svc,ember,30,0.7722772325015902,-0.4941595313702195
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs2024,gpc,ember,30,0.9119021134593993,-0.8736373748609566
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs2024,svc,ember,30,0.9604004449388208,-0.9234705228031145
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs42,gpc,ember,55,0.8607969419318084,0.5913739929650547
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs42,svc,ember,55,0.8905443925128538,0.6173743645563082
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs7,gpc,ember,30,0.8815218655059927,-0.20536211051540412
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs7,svc,ember,30,0.9213483203080048,-0.13883635640478026
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs999,gpc,ember,30,0.9012235817575083,0.5234705228031146
m2_hist_byteent__ms42__q2000_id1000_ood1000__qs999,svc,ember,30,0.9426028921023359,0.48120133481646277
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs123,gpc,ember,30,0.8607341490545051,0.4407119021134594
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs123,svc,ember,30,0.9172413793103448,0.5332591768631813
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs2024,gpc,ember,30,0.8996439920102145,0.6964842184001908
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs2024,svc,ember,30,0.9337041156840934,0.6983314794215795
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,gpc,ember,55,0.9107832178804742,0.7432807826186885
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs42,svc,ember,55,0.9367221045815778,0.7440744620448696
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs7,gpc,ember,30,0.8829810901001112,0.38331479421579534
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs7,svc,ember,30,0.9176863181312569,0.41846496106785314
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs999,gpc,ember,30,0.9270300333704115,0.7632925472747497
m2_hist_byteent__ms42__q4000_id1800_ood1800__qs999,svc,ember,30,0.9430478309232482,0.771301446051168
m2_hist_byteent__ms999__q1000_id500_ood500__qs123,gpc,ember,30,0.9172413793103448,0.21557285873192436
m2_hist_byteent__ms999__q1000_id500_ood500__qs123,svc,ember,30,0.8922015852294373,0.3766826144123285
m2_hist_byteent__ms999__q1000_id500_ood500__qs2024,gpc,ember,30,0.8825361512791992,0.8562847608453837
m2_hist_byteent__ms999__q1000_id500_ood500__qs2024,svc,ember,30,0.8795194180578467,0.7851818938340858
m2_hist_byteent__ms999__q1000_id500_ood500__qs42,gpc,ember,55,0.827678266630325,0.8720529622957115
m2_hist_byteent__ms999__q1000_id500_ood500__qs42,svc,ember,55,0.8879067776920111,0.8990908458357079
m2_hist_byteent__ms999__q1000_id500_ood500__qs7,gpc,ember,30,0.7819799777530589,0.72146829810901
m2_hist_byteent__ms999__q1000_id500_ood500__qs7,svc,ember,30,0.8442714126807563,0.6529477196885429
m2_hist_byteent__ms999__q1000_id500_ood500__qs999,gpc,ember,30,0.8141061347517483,0.3711202603897011
m2_hist_byteent__ms999__q1000_id500_ood500__qs999,svc,ember,30,0.8669632925472748,0.4353726362625139
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs123,gpc,ember,30,0.8705228031145716,0.4634037819799778
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs123,svc,ember,30,0.8330181384286816,0.5775948417096307
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs2024,gpc,ember,30,0.8745272525027808,-0.46696329254727476
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs2024,svc,ember,30,0.8963292547274748,-0.3659621802002225
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs42,gpc,ember,55,0.939030990185014,0.6648869011145188
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs42,svc,ember,55,0.9309691734770891,0.6505167843191068
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs7,gpc,ember,30,0.8438264738598443,0.16885428253615126
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs7,svc,ember,30,0.9280231451351577,0.27478028871779425
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs999,gpc,ember,30,0.9167964404894325,0.6596218020022246
m2_hist_byteent__ms999__q2000_id1000_ood1000__qs999,svc,ember,30,0.9470522803114572,0.6444938820912125
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs123,gpc,ember,30,0.9208008898776417,0.8998887652947719
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs123,svc,ember,30,0.9372636262513905,0.8625139043381533
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs2024,gpc,ember,30,0.9332591768631814,-0.16796440489432704
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs2024,svc,ember,30,0.9595105672969966,-0.15773081201334815
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs42,gpc,ember,55,0.8085789535908686,0.655651358700774
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs42,svc,ember,55,0.8509840011017393,0.6766239164262812
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs7,gpc,ember,30,0.78317944638594,0.12771164835952542
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs7,svc,ember,30,0.9065628476084538,0.14260289210233593
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs999,gpc,ember,30,0.9150166852057842,0.6956618464961067
m2_hist_byteent__ms999__q4000_id1800_ood1800__qs999,svc,ember,30,0.9305895439377085,0.7779755283648498
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs123,gpc,toniot_scanning,40,0.8221993013968596,0.675361242891087
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs123,svc,toniot_scanning,40,0.6231327682119766,0.6480693709869952
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs2024,gpc,toniot_scanning,40,0.8050008133625899,0.8253936660942829
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs2024,svc,toniot_scanning,40,0.804298982435545,0.7787686611352219
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs42,gpc,toniot_scanning,40,0.8388602200708715,0.7725352431021054
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs42,svc,toniot_scanning,40,0.8952082801472651,0.7928099427253903
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs7,gpc,toniot_scanning,40,0.8281103542312772,0.7157065241418744
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs7,svc,toniot_scanning,40,0.8021639565632512,0.7636209796277147
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs999,gpc,toniot_scanning,40,0.8109224305543985,0.6635075800104316
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500__qs999,svc,toniot_scanning,40,0.7509553396338492,0.5299865192906309
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs123,gpc,toniot_scanning,40,0.8658189061666756,0.6055288121944086
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs123,svc,toniot_scanning,40,0.8045583159487163,0.5960318565168619
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs2024,gpc,toniot_scanning,40,0.93569116853253,0.6933721101487798
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs2024,svc,toniot_scanning,40,0.897597288952167,0.7251737586996174
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs42,gpc,toniot_scanning,40,0.9059524377901186,0.6959988750093083
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs42,svc,toniot_scanning,40,0.8616871881255543,0.7269400682139464
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs7,gpc,toniot_scanning,40,0.8982502317220922,0.5590843044528877
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs7,svc,toniot_scanning,40,0.8636321926961233,0.5925857057904067
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs999,gpc,toniot_scanning,40,0.8519652950869507,0.6938357285790233
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000__qs999,svc,toniot_scanning,40,0.6573157638860432,0.4639489655176254
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs123,gpc,toniot_scanning,40,0.8818838579011202,0.7427526067024648
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs123,svc,toniot_scanning,40,0.869644393488117,0.710997496675414
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs2024,gpc,toniot_scanning,40,0.8818727871538381,0.6547194710883585
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs2024,svc,toniot_scanning,40,0.8816822404188622,0.5901348073579672
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs42,gpc,toniot_scanning,40,0.934471599132999,0.7033162914064947
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs42,svc,toniot_scanning,40,0.8856875681887977,0.6781793332343172
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs7,gpc,toniot_scanning,40,0.9309940515331441,0.6671670563793396
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs7,svc,toniot_scanning,40,0.8783556865015556,0.5795007489271858
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999,gpc,toniot_scanning,40,0.8913594185019728,0.6280138877436275
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800__qs999,svc,toniot_scanning,40,0.8996716147777699,0.6536837885381982
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs123,gpc,toniot_scanning,40,0.8592335484850053,0.7854026932980089
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs123,svc,toniot_scanning,40,0.7956046706566745,0.6615636004055441
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs2024,gpc,toniot_scanning,40,0.8893414826739297,0.779855127747176
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs2024,svc,toniot_scanning,40,0.8771766780277085,0.8221712705023756
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42,gpc,toniot_scanning,40,0.8401745169282782,0.6487779770585196
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42,svc,toniot_scanning,40,0.8569569169131144,0.6164636866921877
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs7,gpc,toniot_scanning,40,0.9103448526326055,0.8116350211577033
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs7,svc,toniot_scanning,40,0.823816494487139,0.746023593936981
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs999,gpc,toniot_scanning,40,0.921488025031891,0.8558016973246412
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs999,svc,toniot_scanning,40,0.7847253375700238,0.7155815750354209
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs123,gpc,toniot_scanning,40,0.7991932088157834,0.5289178672735517
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs123,svc,toniot_scanning,40,0.9192267582843225,0.6214900847621704
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs2024,gpc,toniot_scanning,40,0.8983114446529082,0.7857410881801127
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs2024,svc,toniot_scanning,40,0.8519720852926539,0.7329631754102327
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs42,gpc,toniot_scanning,40,0.833263386805293,0.6248771076076208
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs42,svc,toniot_scanning,40,0.9039120454142124,0.7136098216788651
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs7,gpc,toniot_scanning,40,0.8294239215278145,0.6290110825704149
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs7,svc,toniot_scanning,40,0.7821986477578714,0.5601940682954518
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs999,gpc,toniot_scanning,40,0.845013607246318,0.6301716886725346
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000__qs999,svc,toniot_scanning,40,0.8330988375085843,0.620294886564138
toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800__qs123,gpc,toniot_scanning,40,0.8421151864138952,0.7170272051915058
toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800__qs123,svc,toniot_scanning,40,0.8800865204053285,0.6523678878857758
toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800__qs2024,gpc,toniot_scanning,40,0.80093808630394,0.6086303939962477
toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800__qs2024,svc,toniot_scanning,40,0.8297304915397208,0.6944524363431088
toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800__qs42,gpc,toniot_scanning,40,0.945526255661512,0.6462722630747155
