setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood,gd_vs_linear_lam1e-06,gd_vs_linear_lam0.0001,gd_vs_linear_lam0.01,gd_vs_rbf_gscale_lam1e-06,gd_vs_rbf_gscale_lam0.0001,gd_vs_rbf_gscale_lam0.01
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,6,pauli_xz_r1_full,quantum,4000,0.4485652431706819,0.826346709364406,0.9884044394316817,7.211986448867504,0.4137995898449687,0.8514645810674241,0.983404483089282,7.106901503637037,0.4164463556735813,0.2686228045268097,0.4192392732352836,0.270182301902928,0.3826423086579463,0.27474257317584716,0.9127062588986063,0.07004034144330651,0.08946683532827444,0.1155181222229811,-0.026051286894706663,214.5130503305737,21.621042103602115,3.087770561561084,13.969810092688673,6.075470710511782,1.9243767495361035
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,6,zmap_r2,quantum,4000,0.4309693901106257,0.7799098415396997,0.9792900392472498,8.539069067164418,0.3966172241751271,0.8112799489012422,0.9737072006216364,8.313101522585136,0.3999719326889492,0.2519597440036201,0.40085979674326594,0.2549663246372769,0.3712787145161128,0.2503678987302243,0.9262059142186847,0.05737778101909278,0.07104289137934433,0.11380552108517444,-0.04276262970583011,254.44862678266776,25.541436803535877,3.122960190227723,41.85016515661517,12.841045730479337,2.462108443584667
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,8,linear,classical,4000,0.9720697957334877,0.9961336012572153,0.9999999999999959,1.1885691613011753,0.9578233654211757,0.9972122075654407,0.9999999999999969,1.2593041535780458,0.9716671517188015,0.030824007427170792,0.971427032415116,0.030837183372764598,0.9636262435999383,0.036415004789943674,0.9919697634975385,0.04743857534348633,0.06009350140909551,0.15215537415505884,-0.09206187274596334,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,8,rbf_gscale,classical,4000,0.8120423568569791,0.956354002005886,0.9972235012213619,2.41170039194361,0.7433255560928967,0.956785236176699,0.9927738050063032,2.878552452846262,0.8007416652817606,0.1558103278319234,0.7998613674884352,0.15866674554648746,0.7590594149858108,0.17260150850571623,0.9489887195943185,0.049084795855162094,0.06120337300576291,0.15574768522463225,-0.09454431221886934,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,8,zz_r1_full,quantum,4000,0.1240921109544088,0.37134744631627975,0.6909924410163263,55.92520303688495,0.13103737747920327,0.4074040256145198,0.684404536858332,62.727753403634985,0.07386676084374882,0.18677693104101348,0.0746732577437394,0.18833958812688936,0.053392309406705675,0.14119663268577895,0.7150124558638542,0.087971135860672,0.09414507200374576,0.16177885293912894,-0.06763378093538318,269.95814974393653,27.205074465663248,3.07582771224377,139.42195165590573,19.64358997887671,2.6703055524183545
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,8,zz_r2_full,quantum,4000,0.0972262433082285,0.2983647397727579,0.5988238312189174,84.18682298537497,0.11947125097277218,0.34824961018233436,0.602192982175386,90.61142841470495,0.043664028544560765,0.16115997807218616,0.04433474689223472,0.16292015296747983,0.02625535828141127,0.1142389925088259,0.5922072442463842,0.08369761837845854,0.08806123027577163,0.15188975026496912,-0.06382851998919749,254.84480665321271,25.71186578750808,2.8251766194707457,155.74394084368856,20.61134927856955,2.5417736881708217
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,8,pauli_xz_r1_full,quantum,4000,0.38714475191097525,0.7297037678518741,0.9536211644566384,11.091288886023424,0.2940251291192896,0.7368337545323828,0.9349348726856612,12.66724642065913,0.32817821858452656,0.2801948782186821,0.32981968554943747,0.28213084671240285,0.26367942380429676,0.2720443177703968,0.7994653908090432,0.06928495816322434,0.08518470455967282,0.13731009680458706,-0.052125392244914234,228.394060467988,23.26164684117308,3.190170873036314,18.347736972357804,7.286543060095546,2.1265285707183486
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,8,zmap_r2,quantum,4000,0.36639240601750017,0.6851667952604311,0.935644112022964,13.06440035583899,0.29492077004077677,0.6983864371369268,0.9159962758226033,14.497047825049778,0.31667393787963155,0.2592893256040082,0.3173072815994794,0.2619437954224047,0.26402158955223376,0.24461071288625943,0.8320691167922663,0.06028475968377007,0.07148167387859417,0.13982713370771274,-0.06834545982911858,250.06778480691764,25.229712958031424,3.1969377106462855,45.03000499798578,13.058361095094398,2.4824396514571667
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,10,linear,classical,4000,0.9739296572582992,0.9951816109389753,0.999999999999996,1.1815975813669497,0.9556884022653871,0.9945971726274137,0.9999999999999971,1.2852572259925006,0.9736039194020926,0.02763955586385491,0.9734803379657518,0.02745860644038579,0.962930006523956,0.042874386295003515,0.9891622552296819,0.05103324307542822,0.0620295979504618,0.1525942382838407,-0.0905646403333789,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,10,rbf_gscale,classical,4000,0.8304958963042374,0.9559092402379129,0.9970716200452615,2.2838430390030666,0.7533069137737676,0.9426527968774222,0.9870218795132432,2.9894889466127905,0.82083005199964,0.14353171712349463,0.8205589482691592,0.1453825045754229,0.7703042155001724,0.17722703172196366,0.9387554874942363,0.053237464262224365,0.06287790599633405,0.15848456605129124,-0.09560666005495719,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,10,zz_r1_full,quantum,4000,0.1080951170572618,0.3274245588778061,0.6243262458722179,80.12021914021871,0.12604870705366047,0.3696987846379598,0.6148430420235751,91.55354870525922,0.05989821495760216,0.16829718056865525,0.060669258769426915,0.16992375554440795,0.03864369642446683,0.11844069480791632,0.6369567917638803,0.08528277320486705,0.09049016058441745,0.15940513693498246,-0.06891497635056501,246.37232493939604,25.117407093947094,2.888877843137142,147.87113747989136,19.72674918047462,2.55840957609816
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,10,zz_r2_full,quantum,4000,0.08282440806085158,0.24694236235119163,0.5172542091907523,130.21033835047308,0.11556340241189478,0.3202333083600899,0.5420132069854617,131.4819183749032,0.03222610569236969,0.13951418176941532,0.03292000347614746,0.14148705304688242,0.01611416859377362,0.08991119783632041,0.48949474156189904,0.08239405262838129,0.08536886474709462,0.14482297698138483,-0.0594541122342902,231.71869433950025,23.716703199786696,2.631527460713862,158.96220456664716,20.20898186476538,2.4220332201761416
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,10,pauli_xz_r1_full,quantum,4000,0.38002119852976685,0.7134827626676812,0.944936180778381,12.027161119235279,0.2777450736578609,0.6992947810891036,0.8999669457529722,15.827069391756806,0.317285765410967,0.2801385215433445,0.31946730581532445,0.28177597991525566,0.2443856029081701,0.26786701046003253,0.7649784452417266,0.0736872276798944,0.08734861521947371,0.14095556274226026,-0.05360694752278655,222.65288099887752,22.90155993808944,3.169580268659999,22.358659286392367,7.890753505970689,2.222346185520356
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,10,zmap_r2,quantum,4000,0.35718893323700635,0.6680318176513486,0.924058851351154,14.329395174841823,0.2716963869562757,0.6602841824994756,0.8767806319628161,18.696571967236103,0.302156641947783,0.2612487578640152,0.303537053055539,0.26321721673102244,0.2368083116190424,0.24348817425487573,0.7801627815623318,0.062268406788239375,0.07219850670272657,0.1377778915197639,-0.06557938481703735,247.45181145843816,25.09535901878439,3.2041016031294745,53.53595593061598,13.996526327152504,2.538851555620344
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,12,linear,classical,4000,0.9760418164808425,0.9952233629712756,0.9999999999999956,1.1697794023722887,0.9576609629929861,0.9933511094467538,0.9999999999999967,1.2804925656485193,0.9757663621291736,0.025345369703579118,0.9757048508781496,0.025018201793315088,0.9649131983353257,0.04581038591268998,0.9889396342212389,0.05083884030599614,0.061756965741853465,0.15014020964188127,-0.0883832439000278,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,12,rbf_gscale,classical,4000,0.83023974349247,0.9547453761067191,0.9960370004044441,2.3029071880533434,0.7509076913925644,0.9365418212718547,0.9820951288039462,3.108028197228841,0.8204881179978365,0.14377708541039697,0.8203787324454976,0.14526145310374936,0.7681532544865681,0.1802906171612279,0.9363397953976103,0.053214963084612786,0.06303699306547886,0.15791969362602803,-0.09488270056054918,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,12,zz_r1_full,quantum,4000,0.10099643676976988,0.3067596048740292,0.5927736718954013,99.09895066163193,0.12390978581171423,0.35345883727849764,0.5865716871367797,109.62834839576038,0.053809124424511884,0.1593714161013441,0.054478700620900926,0.16078309584530406,0.03346520815745421,0.10903858503572879,0.6142805862850403,0.08523963574139416,0.08992784636335847,0.15775658241121265,-0.06782873604785418,238.2568842029883,24.5056314449143,2.8191719304669514,148.70553956851649,19.668361822517312,2.5056477681987745
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,12,zz_r2_full,quantum,4000,0.07563084871725079,0.22629600014341583,0.4800935983870059,168.9133726842752,0.11408863570020994,0.31047535756720807,0.5176105002118928,156.06511190280787,0.027811571427306874,0.12933870083792948,0.02836579049964137,0.1311714724946242,0.012854121674262645,0.07996527003515834,0.4531557713656935,0.08023799391332559,0.08323888222903922,0.14124860092301433,-0.058009718693975115,222.36352556701758,22.994028180893007,2.5389777180256745,158.77455686563025,19.95268753968383,2.355952872666705
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,12,pauli_xz_r1_full,quantum,4000,0.37800216305663326,0.7094539491950156,0.939594593456748,12.451284858646488,0.27418081014918294,0.6922208080510562,0.8860024863467173,17.207701360957877,0.31494454628590424,0.27933941688490405,0.3171628821262955,0.2809395833925347,0.24109663999412942,0.26626563586827545,0.7601666322925007,0.07357733985275018,0.08743863029783584,0.14117534478125204,-0.0537367144834162,206.34527390024112,21.841792901530397,3.176623506530999,22.466286484039756,7.912847806347478,2.222931081366518
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,12,zmap_r2,quantum,4000,0.3554440513797683,0.6645770010118408,0.9192300971854049,14.82023605469057,0.2685907542998963,0.6544898015408087,0.8619422473127101,20.402251950271655,0.3000828591130589,0.2606168574834543,0.3014548026272961,0.2625577761445072,0.2332685984164385,0.24265681319745586,0.7738095276088214,0.06218144036773904,0.07211717103877867,0.1374047010452165,-0.06528753000643782,244.6557998777099,24.912580172255122,3.2174077646802153,53.63369079156964,14.00943074586501,2.536866713568291
