group,model,scheme,budget,B,n_settings,q_p1_ood,c_p1_ood_median,delta_median,delta_p2.5,delta_p97.5,frac_resamples_delta_lt0,delta_full_pool,select_col,seed
toniot_scanning_m2_centroid,gpc,kernel_stratified,60,5000,9,0.9641506571451104,0.9604344916237981,0.003716165521312234,0.00319977274030741,0.00547456680601529,0.0,0.002900472365565454,ood_test,20260715
toniot_scanning_m2_centroid,gpc,kernel_blocked,60,5000,9,0.9641506571451104,0.960137223871341,0.004013433273769363,0.002900472365565244,0.02028549270367688,0.0,0.002900472365565454,ood_test,20260715
toniot_scanning_natural_cur,gpc,uniform,60,5000,9,0.9924880009051863,0.9910370694729373,0.0014509314322486886,0.0013012327335362444,0.0019156726310519245,0.0,0.0012470159834120365,ood_test,20260715
toniot_scanning_natural_cur,gpc,kernel_stratified,60,5000,9,0.9924880009051863,0.9910429524161677,0.0014450484890185398,0.0013163017302982379,0.001799193804678878,0.0,0.0012470159834120365,ood_test,20260715
toniot_scanning_natural_cur,gpc,kernel_blocked,60,5000,9,0.9924880009051863,0.9910255339382373,0.0014624669669487883,0.001259293454252883,0.004854112971829459,0.0,0.0012470159834120365,ood_test,20260715
unsw_dos_m2_centroid,gpc,uniform,60,5000,9,0.9348145284940488,0.9358686080666623,-0.001054079572613578,-0.0019485133972500302,0.0019263166496334687,0.8228,-0.0021873697863918906,ood_test,20260715
unsw_dos_m2_centroid,gpc,kernel_stratified,60,5000,9,0.9348145284940488,0.9358580186302107,-0.0010434901361619261,-0.0019194523536801413,0.0016343919152510878,0.845,-0.0021873697863918906,ood_test,20260715
unsw_dos_m2_centroid,gpc,kernel_blocked,60,5000,9,0.9348145284940488,0.9357519472271552,-0.0009374187331065493,-0.002122104060388325,0.004038825788941571,0.7508,-0.0021873697863918906,ood_test,20260715
unsw_dos_natural_cur,gpc,uniform,60,5000,9,0.8276713289869593,0.8246023626240871,0.003068966362872177,0.0002586647873939838,0.009371565224328754,0.0,2.0217505539710245e-06,ood_test,20260715
unsw_dos_natural_cur,gpc,kernel_stratified,60,5000,9,0.8276713289869593,0.8245411788388557,0.0031301501481037866,0.00034878185355110186,0.009273928892922466,0.0,2.0217505539710245e-06,ood_test,20260715
unsw_dos_natural_cur,gpc,kernel_blocked,60,5000,9,0.8276713289869593,0.8242206048976052,0.003450724089354182,2.021750554156062e-06,0.017027422510760244,0.0,2.0217505539710245e-06,ood_test,20260715
unsw_recon_m2_centroid,gpc,uniform,60,5000,9,0.9379080876378169,0.9387036730630505,-0.0007955854252335273,-0.0018242381117671686,0.0024481544458356177,0.7854,-0.0021095844825518295,ood_test,20260715
unsw_recon_m2_centroid,gpc,kernel_stratified,60,5000,9,0.9379080876378169,0.9387052153377538,-0.0007971276999368085,-0.0017984261226039531,0.0024626583733227923,0.7928,-0.0021095844825518295,ood_test,20260715
unsw_recon_m2_centroid,gpc,kernel_blocked,60,5000,9,0.9379080876378169,0.9386372904811127,-0.0007292028432957817,-0.001903309585769391,0.0038110048305038083,0.712,-0.0021095844825518295,ood_test,20260715
unsw_recon_natural_cur,gpc,uniform,60,5000,9,0.8198551634999071,0.8116189375519696,0.008236225947937572,0.007061085785347435,0.012621741523155157,0.0,0.006475065232694588,ood_test,20260715
unsw_recon_natural_cur,gpc,kernel_stratified,60,5000,9,0.8198551634999071,0.8115886918107474,0.008266471689159574,0.007113805048014489,0.012340966945987986,0.0,0.006475065232694588,ood_test,20260715
unsw_recon_natural_cur,gpc,kernel_blocked,60,5000,9,0.8198551634999071,0.8116278111816234,0.008227352318283723,0.007002597194519949,0.014610050265241984,0.0,0.006475065232694588,ood_test,20260715
