group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,999,svc,0.7645096525096525,0.7666254826254826,-0.002115830115830053
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,42,svc,0.783872877694388,0.8093725496471492,-0.02549967195276126
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,123,svc,0.783872877694388,0.8093725496471492,-0.02549967195276126
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,7,999,svc,0.7818965931094077,0.8093725496471492,-0.027475956537741486
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,42,svc,0.7673219774590163,0.7983478483606558,-0.03102587090163944
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,123,svc,0.7673219774590163,0.7983478483606558,-0.03102587090163944
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,42,999,svc,0.7673219774590163,0.7983478483606558,-0.03102587090163944
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,42,svc,0.7557284911370514,0.7812444956846167,-0.025516004547565307
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,123,svc,0.7557284911370514,0.7812444956846167,-0.025516004547565307
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,123,999,svc,0.7557284911370514,0.7812444956846167,-0.025516004547565307
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,42,svc,0.7424978935770303,0.7555091062285307,-0.013011212651500403
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,123,svc,0.7424978935770303,0.7555091062285307,-0.013011212651500403
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,999,999,svc,0.7424978935770303,0.7555091062285307,-0.013011212651500403
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,42,svc,0.7649785104881648,0.7762364487779845,-0.011257938289819691
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,123,svc,0.7649785104881648,0.7762364487779845,-0.011257938289819691
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,2024,999,svc,0.7649785104881648,0.7762364487779845,-0.011257938289819691
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,0.7761008031016339,0.7741963966784262,0.0019044064232076607
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,0.7761008031016339,0.7741963966784262,0.0019044064232076607
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,0.7761008031016339,0.7741963966784262,0.0019044064232076607
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,0.7735633931286106,0.7723072122385624,0.0012561808900481974
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,0.7735633931286106,0.7723072122385624,0.0012561808900481974
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,0.7735633931286106,0.7723072122385624,0.0012561808900481974
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,0.7728877760657422,0.7664355418592707,0.006452234206471563
