group,model,family,budget,e_p1_ood,p2.5,p97.5
toniot_scanning_m2_centroid,svc,classical_ext,5,0.8945489326131176,0.7946549742069872,0.9489324213784524
toniot_scanning_m2_centroid,svc,classical_ext,10,0.9166264073353522,0.8070596039589965,0.9464111040243852
toniot_scanning_m2_centroid,svc,classical_ext,20,0.9336160753685737,0.9035679279964434,0.9420887054826947
toniot_scanning_m2_centroid,svc,classical_ext,30,0.9348696917243426,0.9306088410481772,0.9393485924275947
toniot_scanning_m2_centroid,svc,quantum,5,0.9555992818231381,0.9408837523242446,0.9592564136378045
toniot_scanning_m2_centroid,svc,quantum,10,0.9563009677895371,0.9540295945633402,0.9584373283387265
toniot_scanning_m2_centroid,svc,quantum,20,0.955882937684734,0.954776749921318,0.9566755095245754
toniot_scanning_natural_cur,svc,classical_ext,5,0.9828575445849724,0.9308252226622598,0.9902142917339218
toniot_scanning_natural_cur,svc,classical_ext,10,0.9878585369571198,0.9828588539483271,0.9899269642182016
toniot_scanning_natural_cur,svc,classical_ext,20,0.9886226715533335,0.9869559144122247,0.9898318159380911
toniot_scanning_natural_cur,svc,classical_ext,30,0.9888084311338253,0.9876313203914588,0.9898484234039095
toniot_scanning_natural_cur,svc,classical_ext,40,0.988929533871551,0.9878844852258489,0.9898876984800423
toniot_scanning_natural_cur,svc,classical_ext,50,0.9890580554567587,0.9879952762406288,0.9899678262141224
toniot_scanning_natural_cur,svc,classical_ext,60,0.9891714837646157,0.9881413702459484,0.989996425645163
toniot_scanning_natural_cur,svc,classical_ext,115,0.989125883143623,,
toniot_scanning_natural_cur,svc,quantum,5,0.9651869739799068,0.9355859215608622,0.9871869828001805
toniot_scanning_natural_cur,svc,quantum,10,0.9619477799930688,0.9410124499631585,0.9824442247036125
toniot_scanning_natural_cur,svc,quantum,20,0.9577235004770844,0.9433924847303786,0.974533568084789
toniot_scanning_natural_cur,svc,quantum,30,0.9553654197474801,0.9441210713152044,0.9688743899426074
toniot_scanning_natural_cur,svc,quantum,40,0.9536668840228519,0.9444597180398352,0.9632563526443816
toniot_scanning_natural_cur,svc,quantum,50,0.95241860283143,0.9456743909771568,0.9592407532808942
toniot_scanning_natural_cur,svc,quantum,60,0.9515731868559619,0.9486632473762823,0.9542961744971219
unsw_dos_m2_centroid,svc,classical_ext,5,0.8992771819492729,0.865871727408145,0.9257700869550097
unsw_dos_m2_centroid,svc,classical_ext,10,0.8974367832774273,0.8715317067510397,0.9220953949113405
unsw_dos_m2_centroid,svc,classical_ext,20,0.8963117832189361,0.8778061515064949,0.9139500597052153
unsw_dos_m2_centroid,svc,classical_ext,30,0.8966753739876835,0.8837580043440695,0.9049438749354676
unsw_dos_m2_centroid,svc,quantum,5,0.910250467420364,0.8939800357922492,0.9260047998817668
unsw_dos_m2_centroid,svc,quantum,10,0.9114442602497463,0.899322593572165,0.9207743696289662
unsw_dos_m2_centroid,svc,quantum,20,0.910703014100298,0.9106113168327743,0.9107904130584048
unsw_dos_natural_cur,svc,classical_ext,5,0.7971669486195881,0.7563861972693555,0.8211070929440325
unsw_dos_natural_cur,svc,classical_ext,10,0.8061296543213078,0.7832389402047542,0.8216820835619554
unsw_dos_natural_cur,svc,classical_ext,20,0.8123556765814209,0.7978424574017733,0.8227737761241254
unsw_dos_natural_cur,svc,classical_ext,30,0.8154205245055806,0.8030363121416064,0.8233497937257113
unsw_dos_natural_cur,svc,classical_ext,40,0.8174450847884498,0.8068900182373523,0.8235069791748383
unsw_dos_natural_cur,svc,classical_ext,50,0.8184298933826353,0.8089445431502422,0.8234458973102708
unsw_dos_natural_cur,svc,classical_ext,60,0.8192934861743132,0.8107692998425782,0.8233644861677349
unsw_dos_natural_cur,svc,classical_ext,115,0.8213273929383789,,
unsw_dos_natural_cur,svc,quantum,5,0.799540678996129,0.7813259908771907,0.815127381467519
unsw_dos_natural_cur,svc,quantum,10,0.8041058925555423,0.7919331008396668,0.8141811195428346
unsw_dos_natural_cur,svc,quantum,20,0.8074298463482431,0.8001704743441207,0.8134542807888988
unsw_dos_natural_cur,svc,quantum,30,0.8088077150209781,0.8033889254429173,0.8128566057750016
unsw_dos_natural_cur,svc,quantum,40,0.8097942069102502,0.8061946232013532,0.8124085120877674
unsw_dos_natural_cur,svc,quantum,50,0.8104425571646492,0.8082016160474847,0.8119159927505143
unsw_dos_natural_cur,svc,quantum,60,0.8109252390137351,0.8108358828052123,0.811013706105755
unsw_recon_m2_centroid,svc,classical_ext,5,0.9134754033934476,0.8902521018727505,0.9360117932320433
unsw_recon_m2_centroid,svc,classical_ext,10,0.9174115378199982,0.8979238635222494,0.9350816915575085
unsw_recon_m2_centroid,svc,classical_ext,20,0.9222957203712892,0.9042116747469892,0.9325831903759694
