group,model,family,n_pool,family_mean_ood,family_median_ood,expected_max_ood_k5,expected_max_ood_k10,expected_max_ood_k20,expected_max_ood_k30,expected_max_ood_k40,expected_max_ood_k50,expected_max_ood_k60,auc_b
unsw_recon_m2_centroid,svc,classical_ext,35,0.8743007184599932,0.9100248988952123,0.9236104238506041,0.9294552822039792,0.9349243478268643,0.9380989230084249,,,,0.9204462505756067
unsw_recon_m2_centroid,svc,quantum,20,0.8912741521292583,0.9055743185354728,0.928403951982185,0.9348091851873217,0.9370192096415249,,,,,0.9141314281929582
unsw_recon_natural_cur,svc,classical_ext,115,0.7660536561630561,0.7653137797285582,0.7898548472797452,0.7969298086100806,0.8022030608785141,0.8044014741912111,0.8055835550225874,0.8063088852788143,0.8068008559725123,0.7953474445335115
unsw_recon_natural_cur,svc,quantum,60,0.7750550853757612,0.7762125647185583,0.7923567633477968,0.7967407879174662,0.7996146481156275,0.8006336940702564,0.8010970964113053,0.801324498798754,0.8014324212760067,0.7928912082051827
ember_m1,gpc,classical_ext,115,0.7141120074995344,0.7182117805825105,0.7483847524938744,0.7533701681167547,0.7563523692874198,0.7577246310109051,0.758618610366683,0.7593068716610092,0.7598805604703621,0.7459404591526824
ember_m1,gpc,quantum,60,0.727706790427971,0.7372461967295978,0.7503967423505234,0.7532431257377481,0.7549990018710706,0.7557112146347051,0.7561214771330855,0.7564240850368393,0.7566893772189855,0.7451470628428098
ember_m2,gpc,classical_ext,115,0.725467534212859,0.7279468892039955,0.768474946538427,0.7747536218207066,0.7778948793814666,0.7793288649764473,0.7802396444453344,0.7808707983726644,0.7813309870445291,0.7757165072345734
ember_m2,gpc,quantum,60,0.750135505935893,0.7592127932993986,0.775803698606733,0.7799934072862503,0.7826050062107583,0.7837119100228547,0.784355429636486,0.7847752916202342,0.7850767226954384,0.7804114362810356
toniot_scanning_m2_centroid,gpc,classical_ext,35,0.8407099704755758,0.8578915762616554,0.9075587532782533,0.9159798587661979,0.9194539811783049,0.9201523111037769,,,,0.9088655706137518
toniot_scanning_m2_centroid,gpc,quantum,20,0.9278760698646712,0.9294292291785087,0.9548049065911853,0.9577632538774838,0.9586664975862075,,,,,0.9548584648089603
toniot_scanning_natural_cur,gpc,classical_ext,115,0.8566221536993393,0.9046013080025375,0.9776960823651449,0.9866660376617838,0.9888173188110934,0.9893070680797512,0.9895261411397801,0.9896510327714739,0.9897339290326117,0.9874359686437334
toniot_scanning_natural_cur,gpc,quantum,60,0.9532834508414034,0.9760345765377303,0.9859480257141595,0.9883051929507094,0.9892646114165007,0.989467692266438,0.9895693163402276,0.9896373561397422,0.9896830234933124,0.9795315666988965
unsw_dos_m2_centroid,gpc,classical_ext,35,0.8194795128187504,0.8708383984507819,0.8946630576960228,0.9009517290025673,0.9063659734838564,0.9096313196553546,,,,0.879180154844901
unsw_dos_m2_centroid,gpc,quantum,20,0.8794618468066373,0.8958389319139444,0.9169360125922191,0.9243090139747188,0.9276982313345045,,,,,0.9026654604233919
unsw_dos_natural_cur,gpc,classical_ext,115,0.7568707360110958,0.7522704674157915,0.7973101426850717,0.8070278209816625,0.8129815182798885,0.8155840682367622,0.8172212552812341,0.8183924350981507,0.8192704542211957,0.8075315511643507
unsw_dos_natural_cur,gpc,quantum,60,0.7907713677464161,0.7950858629683917,0.8056163095344746,0.8092983070261306,0.8128032284259354,0.8147525516334534,0.8159496925009924,0.8166764278393903,0.8170954344198685,0.803609101484666
unsw_recon_m2_centroid,gpc,classical_ext,35,0.8179171327256859,0.8711944346175552,0.8967526658401497,0.9028981703354331,0.9077228292952938,0.9105865802832352,,,,0.8990853729248539
unsw_recon_m2_centroid,gpc,quantum,20,0.878890813021757,0.8988941614092327,0.9207445292986843,0.928097713400889,0.9315637291734621,,,,,0.9041326452011366
unsw_recon_natural_cur,gpc,classical_ext,115,0.7678897267815753,0.7712158718890113,0.7860326334029127,0.7914951139767865,0.7962947595183097,0.7986892528023648,0.8001874484647639,0.8012446110703196,0.8020444917549112,0.788061327474936
unsw_recon_natural_cur,gpc,quantum,60,0.7769839574576897,0.7777690472270806,0.7921153846556046,0.7964855128586488,0.799377338519471,0.8005356879703184,0.8012638804239396,0.8017902653381604,0.8021701957468446,0.7913214061982886
