group,setting,model,q_p1_ood,c_p1_ood,delta
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7629821599524714,0.7623394543000082,0.0006427056524632713
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7798956910428626,0.7768716659300764,0.0030240251127862106
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.8000432073087069,0.7913550415531696,0.008688165755537325
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7558724057254695,0.760693414704781,-0.004821008979311481
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7841248666318131,0.777451987507327,0.0066728791244861085
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.795292355629419,0.7868247502120662,0.008467605417352808
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7752368835569384,0.7597484090105475,0.015488474546390907
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7785738553942386,0.779479583623575,-0.0009057282293363222
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7998601247848857,0.7953663315210646,0.004493793263821044
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,gpc,0.9847534546799425,0.9835860325091619,0.0011674221707805854
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,gpc,0.9883599028146663,0.9839385339765836,0.004421368838082751
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,gpc,0.9789993953173481,0.9901616122684604,-0.011162216951112303
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,gpc,0.980105903483966,0.9870596613586734,-0.0069537578747074225
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,gpc,0.9852076276511925,0.985528020891419,-0.00032039324022647975
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,gpc,0.9808813423420373,0.9890067971227066,-0.008125454780669283
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,gpc,0.980970190570532,0.9790816119738722,0.0018885785966598068
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,gpc,0.9779723532027373,0.9860553525851172,-0.008082999382379885
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,gpc,0.9778165115077997,0.9916637534412871,-0.013847241933487409
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q1000_id500_ood500,gpc,0.7926548280391985,0.7771880617444433,0.015466766294755185
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q2000_id1000_ood1000,gpc,0.8069032692098923,0.801285164901388,0.00561810430850429
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q4000_id1800_ood1800,gpc,0.8159760243512686,0.8220695358009136,-0.006093511449644984
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500,gpc,0.784266138916576,0.7718053311936822,0.012460807722893819
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q2000_id1000_ood1000,gpc,0.8260430210490542,0.8293684616583054,-0.003325440609251107
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q4000_id1800_ood1800,gpc,0.8337348561825002,0.8316476197449788,0.0020872364375214003
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q1000_id500_ood500,gpc,0.7711623839950352,0.7655779871598907,0.005584396835144556
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q2000_id1000_ood1000,gpc,0.7969463327277878,0.8075716805083393,-0.010625347780551464
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q4000_id1800_ood1800,gpc,0.8222796158873911,0.8238702346021349,-0.0015906187147438633
unsw_recon_natural_cur,unsw_recon__natural_cur__ms123__q1000_id500_ood500,gpc,0.7737715889724982,0.7505310583218077,0.02324053065069054
unsw_recon_natural_cur,unsw_recon__natural_cur__ms123__q2000_id1000_ood1000,gpc,0.7904957917771983,0.7956865386299306,-0.005190746852732242
unsw_recon_natural_cur,unsw_recon__natural_cur__ms123__q4000_id1800_ood1800,gpc,0.8162024207983862,0.8175649116360414,-0.0013624908376551614
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500,gpc,0.7640726156201452,0.7610176818196667,0.0030549338004784987
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q2000_id1000_ood1000,gpc,0.8196508779179804,0.8086438885026153,0.011006989415365154
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q4000_id1800_ood1800,gpc,0.8040735134405049,0.801118116197769,0.0029553972427359687
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q1000_id500_ood500,gpc,0.7787040862111367,0.7669590106254617,0.011745075585675058
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q2000_id1000_ood1000,gpc,0.7860875325643714,0.7822069522554272,0.003880580308944115
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q4000_id1800_ood1800,gpc,0.8000439311670543,0.7999367036026926,0.00010722756436165604
