group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,kernel_blocked,60,0.0007722382785924076,-0.0027673367482283773,0.007315090220371467,0.2558
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.00380107056904877,-0.006373577950963827,0.014664235122886726,0.6072
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,uniform,20,0.07511635598027733,0.03848301154786915,0.13057108262598238,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,uniform,20,0.0049646601478594565,-0.001039620577610867,0.025199485727587345,0.251
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,uniform,20,0.003790338956340067,0.0028773633444816316,0.025212849962640727,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,uniform,20,0.03654255115463034,0.007370080979212101,0.0911795087637504,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,uniform,20,0.010278504320593962,0.00986411928995401,0.02941478403233244,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,uniform,20,0.004152100148932192,0.0017871444374167877,0.029983928244244784,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,uniform,20,0.04795562575171852,0.029785199686555575,0.05956528546505446,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,uniform,20,0.009065979130478685,0.0055975055811142704,0.03504398182933172,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,uniform,20,0.003495264629760131,0.0021445789293604856,0.027988415943195434,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,kernel_stratified,20,0.07645441631421834,0.04047388750834846,0.10661332220213815,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,kernel_stratified,20,0.0009262564058510891,-0.001039620577610867,0.01166223929640231,0.3018
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,kernel_stratified,20,0.0036905881303092025,0.0028773633444816316,0.004699878754504283,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,kernel_stratified,20,0.03595983724447871,0.008806083731833225,0.05987200873084564,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_stratified,20,0.010278504320593962,0.00986411928995401,0.022015362941526506,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_stratified,20,0.002459325818749747,0.0017871444374167877,0.006120339866392821,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_stratified,20,0.04795562575171852,0.027331123513811284,0.054495187519980615,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_stratified,20,0.007763564345309892,0.007763564345309892,0.012597819899379137,0.0
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,kernel_stratified,20,0.003495264629760131,0.0021445789293604856,0.004688350575342226,0.0
