status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,draw,threshold,n_labels,n_informative_counterexamples
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,20,0.02,16,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,21,0.005,23,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,21,0.01,19,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,21,0.02,17,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,22,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,22,0.01,22,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,22,0.02,20,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,23,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,23,0.01,21,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,23,0.02,18,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,24,0.005,24,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,24,0.01,17,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,24,0.02,15,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,25,0.005,23,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,25,0.01,20,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,25,0.02,16,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,26,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,26,0.01,24,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,26,0.02,22,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,27,0.005,21,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,27,0.01,15,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,27,0.02,13,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,28,0.005,25,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,28,0.01,23,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,28,0.02,18,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,29,0.005,20,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,29,0.01,18,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,29,0.02,15,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,30,0.005,23,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,30,0.01,20,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,30,0.02,16,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,31,0.005,26,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,31,0.01,20,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,31,0.02,15,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,32,0.005,21,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,32,0.01,14,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,32,0.02,12,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,33,0.005,25,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,33,0.01,21,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,33,0.02,17,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,34,0.005,25,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,34,0.01,21,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,34,0.02,15,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,35,0.005,22,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,35,0.01,20,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,35,0.02,17,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,36,0.005,25,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,nonadaptive_initial_coverage,36,0.01,20,11
