status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.0040000000000000036,retrospective_label_oracle,0.005,0
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.0040000000000000036,retrospective_label_oracle,0.01,0
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.0040000000000000036,retrospective_label_oracle,0.02,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,retrospective_label_oracle,0.005,2
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,retrospective_label_oracle,0.01,1
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,retrospective_label_oracle,0.02,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,retrospective_label_oracle,0.005,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,retrospective_label_oracle,0.01,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,retrospective_label_oracle,0.02,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,retrospective_label_oracle,0.005,2
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,retrospective_label_oracle,0.01,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,retrospective_label_oracle,0.02,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,retrospective_label_oracle,0.005,2
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,retrospective_label_oracle,0.01,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,retrospective_label_oracle,0.02,0
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,retrospective_label_oracle,0.005,10
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,retrospective_label_oracle,0.01,9
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,retrospective_label_oracle,0.02,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,retrospective_label_oracle,0.005,8
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,retrospective_label_oracle,0.01,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,retrospective_label_oracle,0.02,4
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,retrospective_label_oracle,0.005,13
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,retrospective_label_oracle,0.01,11
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,retrospective_label_oracle,0.02,9
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,retrospective_label_oracle,0.005,11
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,retrospective_label_oracle,0.01,9
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,retrospective_label_oracle,0.02,7
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,retrospective_label_oracle,0.005,9
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,retrospective_label_oracle,0.01,8
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,retrospective_label_oracle,0.02,5
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,retrospective_label_oracle,0.005,9
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,retrospective_label_oracle,0.01,7
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,retrospective_label_oracle,0.02,4
