status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,draw,threshold,n_labels,n_informative_counterexamples
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,25,0.01,378,78
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,25,0.02,293,66
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,26,0.005,425,92
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,26,0.01,378,76
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,26,0.02,287,62
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,27,0.005,437,89
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,27,0.01,403,81
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,27,0.02,341,67
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,28,0.005,389,82
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,hash_all,28,0.01,385,81
