variant_name,master_seed,size_tag,dim,cfg_classical,n_runs_classical,id_bal_acc_mean_classical,id_bal_acc_std_classical,ood_bal_acc_mean_classical,ood_bal_acc_std_classical,cfg_quantum,n_runs_quantum,id_bal_acc_mean_quantum,id_bal_acc_std_quantum,ood_bal_acc_mean_quantum,ood_bal_acc_std_quantum,delta_ood_bal_acc_mean,effect_ood_bal_acc_mean,winner_ood_bal_acc_mean,delta_id_bal_acc_mean,winner_id_bal_acc_mean
m1_hist_byteent,999,size_q1000_id500_ood500,8,rbf_gscale,15,0.7041,0.0204,0.7181,0.0318,zz_r1_full__d8,15,0.7528,0.0179,0.7371,0.0112,0.019,0.5633,quantum,0.0487,quantum
m1_hist_byteent,999,size_q1000_id500_ood500,10,rbf_gscale,15,0.707,0.0232,0.7181,0.0302,zz_r1_full__d10,15,0.7616,0.0202,0.7357,0.0132,0.0175,0.5317,quantum,0.0546,quantum
m1_hist_byteent,999,size_q1000_id500_ood500,12,rbf_gscale,15,0.7183,0.0298,0.737,0.0117,pauli_xz_r1_full__d12,15,0.7457,0.0306,0.7675,0.0219,0.0305,1.2319,quantum,0.0274,quantum
m1_hist_byteent,999,size_q2000_id1000_ood1000,4,linear,15,0.6539,0.0576,0.6709,0.0405,zz_r1_full__d4,15,0.7404,0.0137,0.7344,0.0235,0.0635,1.3579,quantum,0.0866,quantum
m1_hist_byteent,999,size_q2000_id1000_ood1000,6,rbf_gscale,15,0.6839,0.0119,0.7023,0.0132,zz_r2_full__d6,15,0.7856,0.0067,0.7458,0.0109,0.0435,2.546,quantum,0.1017,quantum
m1_hist_byteent,999,size_q2000_id1000_ood1000,8,rbf_gscale,15,0.6974,0.0128,0.7213,0.0113,zz_r2_full__d8,15,0.7924,0.0108,0.7533,0.0193,0.0321,1.4328,quantum,0.095,quantum
m1_hist_byteent,999,size_q2000_id1000_ood1000,10,rbf_gscale,15,0.7197,0.0106,0.7387,0.019,zz_r1_full__d10,15,0.7897,0.0106,0.7571,0.0151,0.0185,0.7621,quantum,0.07,quantum
m1_hist_byteent,999,size_q2000_id1000_ood1000,12,rbf_gscale,15,0.7197,0.0176,0.7505,0.0091,zz_r1_full__d12,15,0.7907,0.0094,0.7623,0.0127,0.0117,0.7527,quantum,0.071,quantum
m1_hist_byteent,999,size_q4000_id1800_ood1800,4,rbf_gscale,15,0.6749,0.0124,0.6907,0.0087,zz_r2_full__d4,15,0.7514,0.0074,0.7284,0.0101,0.0378,2.8341,quantum,0.0765,quantum
m1_hist_byteent,999,size_q4000_id1800_ood1800,6,rbf_gscale,15,0.684,0.0191,0.7009,0.0149,zmap_r2__d6,15,0.7191,0.0064,0.7311,0.0129,0.0302,1.5282,quantum,0.0351,quantum
m1_hist_byteent,999,size_q4000_id1800_ood1800,8,rbf_gscale,15,0.6915,0.0178,0.716,0.0183,zz_r1_full__d8,15,0.782,0.0095,0.7423,0.0057,0.0264,1.3769,quantum,0.0905,quantum
m1_hist_byteent,999,size_q4000_id1800_ood1800,10,rbf_gscale,15,0.7191,0.0139,0.7532,0.0188,zz_r1_full__d10,15,0.7927,0.0071,0.7531,0.0048,-0.0001,-0.0034,classical,0.0736,quantum
m1_hist_byteent,999,size_q4000_id1800_ood1800,12,rbf_gscale,15,0.7224,0.0174,0.7632,0.0235,zz_r1_full__d12,15,0.7988,0.0078,0.7522,0.0048,-0.011,-0.4566,classical,0.0764,quantum
m2_hist_byteent,42,size_q1000_id500_ood500,4,rbf_gscale,15,0.6972,0.0166,0.561,0.0745,zmap_r2__d4,15,0.7281,0.0147,0.551,0.0581,-0.01,-0.1057,classical,0.0309,quantum
m2_hist_byteent,42,size_q1000_id500_ood500,6,linear,15,0.6233,0.0286,0.6904,0.0547,zmap_r2__d6,15,0.7195,0.0113,0.6019,0.0285,-0.0884,-1.4342,classical,0.0962,quantum
m2_hist_byteent,42,size_q1000_id500_ood500,8,rbf_gscale,15,0.6805,0.0154,0.7165,0.0282,pauli_xz_r1_full__d8,15,0.7215,0.0241,0.6737,0.0299,-0.0428,-1.0402,classical,0.041,quantum
m2_hist_byteent,42,size_q1000_id500_ood500,10,rbf_gscale,15,0.6807,0.0141,0.735,0.0129,pauli_xz_r1_full__d10,15,0.7257,0.0168,0.6716,0.0433,-0.0634,-1.4045,classical,0.045,quantum
m2_hist_byteent,42,size_q1000_id500_ood500,12,linear,15,0.6822,0.0311,0.7296,0.0412,pauli_xz_r1_full__d12,15,0.736,0.0153,0.6536,0.0437,-0.0759,-1.2649,classical,0.0538,quantum
m2_hist_byteent,42,size_q2000_id1000_ood1000,4,rbf_gscale,15,0.7011,0.0234,0.5709,0.0232,zmap_r2__d4,15,0.7238,0.0267,0.5797,0.0419,0.0088,0.1832,quantum,0.0227,quantum
m2_hist_byteent,42,size_q2000_id1000_ood1000,6,linear,15,0.6238,0.0192,0.5939,0.0823,zmap_r2__d6,15,0.7359,0.0157,0.6228,0.0278,0.0289,0.3327,quantum,0.112,quantum
m2_hist_byteent,42,size_q2000_id1000_ood1000,8,linear,15,0.6604,0.0166,0.7084,0.0325,zz_r1_full__d8,15,0.7729,0.0109,0.6635,0.0325,-0.0449,-0.9766,classical,0.1125,quantum
m2_hist_byteent,42,size_q2000_id1000_ood1000,10,rbf_gscale,15,0.7475,0.0187,0.7328,0.0156,pauli_xz_r1_full__d10,15,0.7599,0.021,0.7037,0.0287,-0.0291,-0.8917,classical,0.0124,quantum
m2_hist_byteent,42,size_q2000_id1000_ood1000,12,linear,15,0.6919,0.025,0.769,0.0191,pauli_xz_r1_full__d12,15,0.7697,0.0167,0.7081,0.0195,-0.0609,-2.2325,classical,0.0778,quantum
m2_hist_byteent,42,size_q4000_id1800_ood1800,4,linear,15,0.6205,0.019,0.6311,0.1178,zmap_r2__d4,15,0.7299,0.0125,0.6416,0.0276,0.0105,0.0865,quantum,0.1094,quantum
m2_hist_byteent,42,size_q4000_id1800_ood1800,6,rbf_gscale,15,0.718,0.015,0.6524,0.0679,pauli_xz_r1_full__d6,15,0.7417,0.0085,0.6737,0.0206,0.0214,0.3009,quantum,0.0237,quantum
m2_hist_byteent,42,size_q4000_id1800_ood1800,8,linear,15,0.6666,0.013,0.7118,0.0732,pauli_xz_r1_full__d8,15,0.7488,0.0086,0.7163,0.0209,0.0045,0.0595,quantum,0.0821,quantum
m2_hist_byteent,42,size_q4000_id1800_ood1800,10,linear,15,0.7138,0.0166,0.778,0.0145,pauli_xz_r1_full__d10,15,0.7764,0.0073,0.7283,0.0169,-0.0497,-2.2291,classical,0.0626,quantum
m2_hist_byteent,42,size_q4000_id1800_ood1800,12,linear,15,0.716,0.0205,0.7838,0.0123,pauli_xz_r1_full__d12,15,0.7863,0.0075,0.7245,0.0156,-0.0594,-2.9893,classical,0.0703,quantum
m2_hist_byteent,123,size_q1000_id500_ood500,4,rbf_gscale,15,0.6888,0.0187,0.6769,0.0256,zz_r2_full__d4,15,0.7193,0.0258,0.7478,0.0183,0.0709,2.2538,quantum,0.0305,quantum
m2_hist_byteent,123,size_q1000_id500_ood500,6,rbf_gscale,15,0.6924,0.0189,0.7015,0.0289,zz_r1_full__d6,15,0.7405,0.0173,0.7597,0.0339,0.0582,1.3059,quantum,0.0482,quantum
m2_hist_byteent,123,size_q1000_id500_ood500,8,rbf_gscale,15,0.6886,0.0137,0.726,0.0192,zz_r2_full__d8,15,0.7582,0.0159,0.7683,0.017,0.0422,1.649,quantum,0.0696,quantum
m2_hist_byteent,123,size_q1000_id500_ood500,10,rbf_gscale,15,0.7042,0.0239,0.7282,0.0193,zz_r1_full__d10,15,0.777,0.0146,0.779,0.0164,0.0507,2.0005,quantum,0.0728,quantum
m2_hist_byteent,123,size_q1000_id500_ood500,12,rbf_gscale,15,0.7086,0.0224,0.7289,0.0174,zz_r1_full__d12,15,0.7842,0.01,0.7857,0.0178,0.0568,2.2837,quantum,0.0756,quantum
m2_hist_byteent,123,size_q2000_id1000_ood1000,4,rbf_gscale,15,0.6876,0.0027,0.6912,0.0131,zz_r2_full__d4,15,0.7256,0.0152,0.7465,0.0091,0.0553,3.4765,quantum,0.038,quantum
m2_hist_byteent,123,size_q2000_id1000_ood1000,6,rbf_gscale,15,0.6866,0.0085,0.7064,0.021,zz_r2_full__d6,15,0.7603,0.0134,0.7654,0.0146,0.059,2.3085,quantum,0.0737,quantum
m2_hist_byteent,123,size_q2000_id1000_ood1000,8,rbf_gscale,15,0.69,0.0064,0.7126,0.011,zz_r2_full__d8,15,0.7809,0.0083,0.775,0.0108,0.0623,4.0437,quantum,0.0909,quantum
m2_hist_byteent,123,size_q2000_id1000_ood1000,10,rbf_gscale,15,0.7138,0.0199,0.7396,0.0033,zz_r2_full__d10,15,0.79,0.0098,0.7773,0.0114,0.0378,3.1701,quantum,0.0762,quantum
m2_hist_byteent,123,size_q2000_id1000_ood1000,12,rbf_gscale,15,0.709,0.0136,0.7408,0.0049,zz_r2_full__d12,15,0.7925,0.0129,0.7824,0.016,0.0417,2.4911,quantum,0.0835,quantum
m2_hist_byteent,123,size_q4000_id1800_ood1800,4,rbf_gscale,15,0.6846,0.0147,0.6697,0.0044,zz_r2_full__d4,15,0.743,0.0054,0.7558,0.0132,0.0861,6.1804,quantum,0.0584,quantum
m2_hist_byteent,123,size_q4000_id1800_ood1800,6,rbf_gscale,15,0.6816,0.016,0.6903,0.0226,zz_r2_full__d6,15,0.765,0.0114,0.7777,0.0148,0.0874,3.2319,quantum,0.0835,quantum
m2_hist_byteent,123,size_q4000_id1800_ood1800,8,rbf_gscale,15,0.7008,0.0153,0.7046,0.0376,zz_r2_full__d8,15,0.781,0.0073,0.7862,0.0124,0.0816,2.0587,quantum,0.0802,quantum
