group,run,qs,seed,model,p1_ood_quantum,p1_ood_classical,setting,delta
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,123,999,svc,0.7425981969864374,0.7485068293542136,m1_hist_byteent__ms42__q1000_id500_ood500,-0.005908632367776279
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,123,999,gpc,0.7478343020928409,0.7263614673904342,m1_hist_byteent__ms42__q1000_id500_ood500,0.021472834702406685
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,2024,123,svc,0.6064051574828404,0.6022676246070948,m1_hist_byteent__ms42__q1000_id500_ood500,0.0041375328757455865
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,2024,123,gpc,0.6001507473218295,0.7058021681955224,m1_hist_byteent__ms42__q1000_id500_ood500,-0.10565142087369295
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,2024,42,svc,0.6064051574828404,0.6022676246070948,m1_hist_byteent__ms42__q1000_id500_ood500,0.0041375328757455865
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,2024,42,gpc,0.6001507473218295,0.7058021681955224,m1_hist_byteent__ms42__q1000_id500_ood500,-0.10565142087369295
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,2024,999,svc,0.6064051574828404,0.6022676246070948,m1_hist_byteent__ms42__q1000_id500_ood500,0.0041375328757455865
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,2024,999,gpc,0.6001507473218295,0.7058021681955224,m1_hist_byteent__ms42__q1000_id500_ood500,-0.10565142087369295
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,42,123,svc,0.7450691598360656,0.7231045081967213,m1_hist_byteent__ms42__q1000_id500_ood500,0.021964651639344246
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,42,123,gpc,0.7461577868852459,0.7517930327868853,m1_hist_byteent__ms42__q1000_id500_ood500,-0.00563524590163933
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,42,42,svc,0.7450691598360656,0.7231045081967213,m1_hist_byteent__ms42__q1000_id500_ood500,0.021964651639344246
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,42,42,gpc,0.7461577868852459,0.7517930327868853,m1_hist_byteent__ms42__q1000_id500_ood500,-0.00563524590163933
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s999,42,999,svc,0.7450691598360656,0.7231045081967213,m1_hist_byteent__ms42__q1000_id500_ood500,0.021964651639344246
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s999,42,999,gpc,0.7461577868852459,0.7517930327868853,m1_hist_byteent__ms42__q1000_id500_ood500,-0.00563524590163933
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s123,7,123,svc,0.5676657438671169,0.7283048759021299,m1_hist_byteent__ms42__q1000_id500_ood500,-0.160639132035013
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s123,7,123,gpc,0.7257045014482086,0.7654622265606248,m1_hist_byteent__ms42__q1000_id500_ood500,-0.039757725112416153
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,7,42,svc,0.5676657438671169,0.7283048759021299,m1_hist_byteent__ms42__q1000_id500_ood500,-0.160639132035013
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s42,7,42,gpc,0.7236802099502329,0.7654622265606248,m1_hist_byteent__ms42__q1000_id500_ood500,-0.04178201661039194
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s999,7,999,svc,0.5676657438671169,0.7283048759021299,m1_hist_byteent__ms42__q1000_id500_ood500,-0.160639132035013
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs7__s999,7,999,gpc,0.7236802099502329,0.7654622265606248,m1_hist_byteent__ms42__q1000_id500_ood500,-0.04178201661039194
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s123,999,123,svc,0.7240423877114525,0.710577483958779,m1_hist_byteent__ms42__q1000_id500_ood500,0.013464903752673507
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s123,999,123,gpc,0.7474722924363212,0.738949381035712,m1_hist_byteent__ms42__q1000_id500_ood500,0.008522911400609234
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,999,42,svc,0.7240423877114525,0.710577483958779,m1_hist_byteent__ms42__q1000_id500_ood500,0.013464903752673507
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s42,999,42,gpc,0.7474722924363212,0.738949381035712,m1_hist_byteent__ms42__q1000_id500_ood500,0.008522911400609234
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s999,999,999,svc,0.7240423877114525,0.710577483958779,m1_hist_byteent__ms42__q1000_id500_ood500,0.013464903752673507
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs999__s999,999,999,gpc,0.7474722924363212,0.738949381035712,m1_hist_byteent__ms42__q1000_id500_ood500,0.008522911400609234
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123__s123,123,123,svc,0.7237256034925527,0.7558423215202876,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.03211671802773497
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123__s123,123,123,gpc,0.7607376733436055,0.761492039034412,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.0007543656908064467
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123__s42,123,42,svc,0.7237256034925527,0.7558423215202876,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.03211671802773497
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123__s42,123,42,gpc,0.7607376733436055,0.761492039034412,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.0007543656908064467
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123__s999,123,999,svc,0.7237256034925527,0.7558423215202876,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.03211671802773497
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs123__s999,123,999,gpc,0.7607376733436055,0.761492039034412,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.0007543656908064467
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024__s123,2024,123,svc,0.7492113817232711,0.6319834750444349,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.1172279066788362
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024__s123,2024,123,gpc,0.7762045443627804,0.7530423852300203,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.023162159132760096
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024__s42,2024,42,svc,0.7492113817232711,0.6319834750444349,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.1172279066788362
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024__s42,2024,42,gpc,0.7762045443627804,0.7530423852300203,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.023162159132760096
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024__s999,2024,999,svc,0.7492113817232711,0.637463771596932,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.11174761012633905
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs2024__s999,2024,999,gpc,0.7762045443627804,0.7530423852300203,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.023162159132760096
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs42__s123,42,123,svc,0.7434150517674545,0.6415043766302347,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.10191067513721974
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs42__s123,42,123,gpc,0.7418028196060233,0.7471715927093501,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.005368773103326729
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs42__s42,42,42,svc,0.7434150517674545,0.6415043766302347,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.10191067513721974
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs42__s42,42,42,gpc,0.7418028196060233,0.7471715927093501,m1_hist_byteent__ms42__q2000_id1000_ood1000,-0.005368773103326729
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000__qs42__s999,42,999,svc,0.7434150517674545,0.6415043766302347,m1_hist_byteent__ms42__q2000_id1000_ood1000,0.10191067513721974
