group,run,qs,seed,model,classical_orig__p1_ood,classical_orig__p1_idtest,classical_orig__oracle_ood,classical_orig__oracle_idtest,classical_ext__p1_ood,classical_ext__p1_idtest,classical_ext__oracle_ood,classical_ext__oracle_idtest,quantum__p1_ood,quantum__p1_idtest,quantum__oracle_ood,quantum__oracle_idtest
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s999,2024,999,svc,0.7767049366703496,0.7990030564401274,0.8139501369073353,0.8050759309340545,0.7768570559318506,0.8384327343137412,0.8139501369073353,0.8441695604167,0.75622488030616,0.836264422076779,0.8061680357400202,0.8405050327247123
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s999,2024,999,gpc,0.8071768266320796,0.7927861612072138,0.8071768266320796,0.7927861612072138,0.7915205521128565,0.8110047846889952,0.8206273718595378,0.8169816453569314,0.7575899505212087,0.8125490070570163,0.8189820819522506,0.8187659022899297
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s123,42,123,svc,0.7245203309276536,0.7992030852442752,0.7445672176793459,0.7992030852442752,0.7294410395096894,0.8200220831799779,0.7564249251892272,0.8243587076539021,0.7375862124145878,0.8041637995871405,0.7445912211358435,0.8123569794050343
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s123,42,123,gpc,0.7358459618185018,0.7774639548094926,0.7618016994447201,0.7835368293034197,0.7478476900673697,0.7953465299003056,0.781056472131987,0.807396265062169,0.7489838536749291,0.8138531948600598,0.7912499399913587,0.8159735001840265
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s42,42,42,svc,0.7245203309276536,0.7971787937462995,0.7445672176793459,0.7971787937462995,0.7294410395096894,0.8200220831799779,0.7564249251892272,0.8243587076539021,0.7375862124145878,0.8041637995871405,0.7435790753868556,0.8123569794050343
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s42,42,42,gpc,0.7358459618185018,0.7774639548094926,0.7618016994447201,0.7835368293034197,0.7478476900673697,0.7953465299003056,0.781056472131987,0.807396265062169,0.7479957113824391,0.8138531948600598,0.7912499399913587,0.8159735001840265
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s999,42,999,svc,0.7245203309276536,0.7971787937462995,0.7445672176793459,0.7971787937462995,0.7294410395096894,0.8200220831799779,0.7564249251892272,0.8243587076539021,0.7375862124145878,0.8041637995871405,0.7455833640044167,0.8161175209230129
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s999,42,999,gpc,0.7358459618185018,0.7774639548094926,0.7618016994447201,0.7835368293034197,0.7488598358163576,0.7953465299003056,0.781056472131987,0.807396265062169,0.7489838536749291,0.8138531948600598,0.7912499399913587,0.8159735001840265
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s123,7,123,svc,0.7893473645342933,0.7784392171984961,0.7893473645342933,0.7904093961888236,0.7528164746206238,0.7919920305922428,0.7893473645342933,0.8199411934830811,0.7494310861738889,0.7821668434075645,0.7822936357908002,0.8099472990777339
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s123,7,123,gpc,0.7629846804650845,0.7621228188566471,0.7654429500840829,0.7640991034416273,0.7728277926946248,0.7782705099778271,0.7969830509835085,0.7962820142035413,0.7613230908777127,0.7720042417815483,0.7919360729494018,0.8080834859731996
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s42,7,42,svc,0.7893473645342933,0.7784392171984961,0.7893473645342933,0.7904093961888236,0.7528164746206238,0.7919920305922428,0.7893473645342933,0.8199411934830811,0.7494310861738889,0.7821668434075645,0.7822936357908002,0.8099472990777339
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s42,7,42,gpc,0.7629846804650845,0.7621228188566471,0.7654429500840829,0.7640991034416273,0.7728277926946248,0.7782705099778271,0.7969830509835085,0.7962820142035413,0.7613230908777127,0.7720042417815483,0.7919360729494018,0.8080834859731996
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s999,7,999,svc,0.7893473645342933,0.7784392171984961,0.7893473645342933,0.7904093961888236,0.7528164746206238,0.7919920305922428,0.7893473645342933,0.8199411934830811,0.7494310861738889,0.7821668434075645,0.7822936357908002,0.8099472990777339
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s999,7,999,gpc,0.7629846804650845,0.7621228188566471,0.7654429500840829,0.7640991034416273,0.7728277926946248,0.7782705099778271,0.7969830509835085,0.7962820142035413,0.7613230908777127,0.7720042417815483,0.7919360729494018,0.8080834859731996
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s123,999,123,svc,0.7581203152027676,0.7692049164586134,0.7703248126081107,0.7787273542026759,0.7091982189762317,0.8083989501312336,0.7703248126081107,0.8083989501312336,0.7177589852008457,0.7951155495806927,0.7347443782433212,0.8017892580500607
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s123,999,123,gpc,0.7479899417003011,0.7547212086294091,0.7788615542315331,0.7547212086294091,0.7032321096803127,0.7631073554830037,0.7788615542315331,0.7930830292554893,0.7301556794157217,0.7830484604058638,0.7658722531872637,0.7956276806862557
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s42,999,42,svc,0.7581203152027676,0.7692049164586134,0.7703248126081107,0.7787273542026759,0.7091982189762317,0.8083989501312336,0.7703248126081107,0.8083989501312336,0.7177589852008457,0.7951155495806927,0.7347443782433212,0.8017892580500607
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s42,999,42,gpc,0.7479899417003011,0.7547212086294091,0.7788615542315331,0.7547212086294091,0.7032321096803127,0.7631073554830037,0.7788615542315331,0.7930830292554893,0.7301556794157217,0.7830484604058638,0.7658722531872637,0.7956276806862557
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s999,999,999,svc,0.7581203152027676,0.7692049164586134,0.7703248126081107,0.7787273542026759,0.7091982189762317,0.8083989501312336,0.7703248126081107,0.8083989501312336,0.7177589852008457,0.7951155495806927,0.7347443782433212,0.8017892580500607
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s999,999,999,gpc,0.7479899417003011,0.7547212086294091,0.7788615542315331,0.7547212086294091,0.7032321096803127,0.7631073554830037,0.7788615542315331,0.7930830292554893,0.7301556794157217,0.7830484604058638,0.7658722531872637,0.7956276806862557
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123__s123,123,123,svc,0.7034187505795801,0.7742207994308834,0.7772464529689963,0.775354586278956,0.7380822849370963,0.8055889022275577,0.7772464529689963,0.8073451602863367,0.7346264412228369,0.7918278422480103,0.7649995363358165,0.8072562358276645
