status,case,run,group,model,tier,n_target,n_classical,accuracy_lower,accuracy_upper,disagreement_min,disagreement_max,n_nearest_ties,n_farthest_ties,nearest_cfg,nearest_kernel,nearest_dim,farthest_cfg,farthest_kernel,farthest_dim,quantum_cfg,quantum_kernel,quantum_dim,population_correction_95_theoretical_only,falsifies_0p005,falsifies_0p010,falsifies_0p020
post-hoc exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,full_115,500,115,-0.364,0.088,0.088,0.364,1,1,rbf_gscale_x10__gpc__d10,rbf_gscale_x10,10,linear__gpc__d4,linear,4,zz_r2_full__as0.5__gpc__d8,zz_r2_full__as0.5,8,0.09183578595774736,False,False,False
post-hoc exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,customary_30,500,30,-0.496,0.03,0.03,0.496,1,1,rbf_gscale_x10__gpc__d4,rbf_gscale_x10,4,linear__gpc__d4,linear,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,4,0.08420259399671777,False,False,False
post-hoc exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,full_115,500,115,-0.496,0.03,0.03,0.496,1,1,rbf_gscale_x10__gpc__d4,rbf_gscale_x10,4,linear__gpc__d4,linear,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,4,0.09183578595774736,False,False,False
post-hoc exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,customary_30,500,30,-0.422,0.054,0.054,0.422,1,1,rbf_gscale_x10__svc__d10,rbf_gscale_x10,10,rbf_gscale_x0.1__svc__d4,rbf_gscale_x0.1,4,pauli_xz_r1_full__as2__svc__d12,pauli_xz_r1_full__as2,12,0.08420259399671777,False,False,False
post-hoc exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,full_115,500,115,-0.452,0.05,0.05,0.452,1,1,matern25_med_x0.3__svc__d12,matern25_med_x0.3,12,poly3__svc__d6,poly3,6,pauli_xz_r1_full__as2__svc__d12,pauli_xz_r1_full__as2,12,0.09183578595774736,False,False,False
post-hoc exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,customary_30,500,30,-0.314,0.064,0.064,0.314,1,1,rbf_gscale_x10__svc__d12,rbf_gscale_x10,12,linear__svc__d6,linear,6,pauli_xz_r1_full__as2__svc__d12,pauli_xz_r1_full__as2,12,0.08420259399671777,False,False,False
post-hoc exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,full_115,500,115,-0.314,0.054,0.054,0.314,1,1,matern25_med_x0.3__svc__d10,matern25_med_x0.3,10,linear__svc__d6,linear,6,pauli_xz_r1_full__as2__svc__d12,pauli_xz_r1_full__as2,12,0.09183578595774736,False,False,False
post-hoc exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,customary_30,500,30,-0.366,0.004,0.004,0.366,1,1,rbf_gscale_x10__svc__d10,rbf_gscale_x10,10,linear__svc__d4,linear,4,zz_r2_full__as2__svc__d6,zz_r2_full__as2,6,0.08420259399671777,True,True,True
post-hoc exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,full_115,500,115,-0.366,0.002,0.002,0.366,1,2,matern15_med_x0.1__svc__d10,matern15_med_x0.1,10,linear__svc__d4,linear,4,zz_r2_full__as2__svc__d6,zz_r2_full__as2,6,0.09183578595774736,True,True,True
post-hoc exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,customary_30,500,30,-0.512,0.012,0.012,0.512,1,1,rbf_gscale_x10__svc__d10,rbf_gscale_x10,10,linear__svc__d4,linear,4,pauli_xz_r1_full__as2__svc__d12,pauli_xz_r1_full__as2,12,0.08420259399671777,False,False,True
post-hoc exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,full_115,500,115,-0.514,0.002,0.002,0.514,1,1,matern15_med_x0.1__svc__d6,matern15_med_x0.1,6,matern25_med_x10__svc__d4,matern25_med_x10,4,pauli_xz_r1_full__as2__svc__d12,pauli_xz_r1_full__as2,12,0.09183578595774736,True,True,True
post-hoc exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,customary_30,500,30,-0.3,0.01,0.01,0.3,1,1,rbf_gscale_x3__svc__d12,rbf_gscale_x3,12,linear__svc__d4,linear,4,zmap_r2__as0.5__svc__d12,zmap_r2__as0.5,12,0.08420259399671777,False,False,True
post-hoc exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,full_115,500,115,-0.3,0.01,0.01,0.3,1,1,rbf_gscale_x3__svc__d12,rbf_gscale_x3,12,linear__svc__d4,linear,4,zmap_r2__as0.5__svc__d12,zmap_r2__as0.5,12,0.09183578595774736,False,False,True
post-hoc exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,customary_30,500,30,-0.212,0.044,0.044,0.212,1,1,rbf_gscale_x10__svc__d4,rbf_gscale_x10,4,linear__svc__d4,linear,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,4,0.08420259399671777,False,False,False
post-hoc exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,full_115,500,115,-0.212,0.034,0.034,0.212,1,1,matern25_med_x0.3__svc__d4,matern25_med_x0.3,4,linear__svc__d4,linear,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,4,0.09183578595774736,False,False,False
post-hoc exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,customary_30,500,30,-0.288,0.054,0.054,0.288,1,1,rbf_gscale_x10__svc__d4,rbf_gscale_x10,4,linear__svc__d4,linear,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,4,0.08420259399671777,False,False,False
post-hoc exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,full_115,500,115,-0.288,0.046,0.046,0.288,1,1,matern25_med_x0.3__svc__d4,matern25_med_x0.3,4,linear__svc__d4,linear,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,4,0.09183578595774736,False,False,False
post-hoc exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,customary_30,500,30,-0.36,0.04,0.04,0.36,1,1,rbf_gscale_x10__svc__d4,rbf_gscale_x10,4,linear__svc__d4,linear,4,zz_r1_full__as0.5__svc__d6,zz_r1_full__as0.5,6,0.08420259399671777,False,False,False
post-hoc exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,full_115,500,115,-0.36,0.034,0.034,0.36,1,1,matern15_med_x0.3__svc__d6,matern15_med_x0.3,6,linear__svc__d4,linear,4,zz_r1_full__as0.5__svc__d6,zz_r1_full__as0.5,6,0.09183578595774736,False,False,False
