task,relative_path,size_bytes,sha256,tableshift_commit
acsincome,2018/1-Year/psam_h28.csv,8682425,40468f8bf6f5f5d52d29c7a45308c036c5b9d018a126b34bb0a3edadc5783df7,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h29.csv,18297405,23cb125b46a3b017b490c92e6c2054b7831a32f25f65491ff5288d34c5de83cc,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h30.csv,3249876,6b4175f2b432cd469c62d77e388f83b56151df9379a28c3794e411626e846b34,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h31.csv,5488237,1175dc912f3c6ec4bda4bdcf2a31be31c1d60eda45b9d2919a9b535f08dcd4b6,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h32.csv,7962626,11a8d4d5927a62576ca04217e14e11c98fd9150bf62e83051ab4aed6fdb76f13,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h33.csv,4173926,eb6c61f0018c5e333838f7a705dde75b51b6cf581d87a5cb91e9ebc48626ce37,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h34.csv,23854183,00d61b9b73712e60456c8b7244aeebffdcb499a13be27cc9c105ba3c6c3532c0,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h35.csv,5936210,67101514deeadf0c5a399ece6ea0ee3ea076e3f4020364bf083855c1c232e9e7,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h36.csv,54672421,165d9ed31d196cb586f46c84a5c1d6cb584909b057952252636cecfb6c3d769f,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h37.csv,30470247,61487b64b7f64d546b2731d08708514438b5850f73902d127c66791f8ea84236,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h38.csv,2393994,9e9f094c7b8d6a122228999d9ce71574453ea1595b3673220acd1750739d4a7a,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h39.csv,34123745,f85bff038cc7a453d746fa59aebda001f0b39bafc95549b6ebfbbbaeaed9ea7e,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h40.csv,11319344,ef7888b352b653aedf2cb1c0242b8c29a9ec18cbf9c1b7e60ec93af7ace8daf3,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h41.csv,11687663,adcf1f7a5eb3a94fc79047dabeab1673c31a03cb4faeed8e43ef79edf4bca2ed,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h42.csv,37512556,7293996608df4d2adce2b594a4c0e47b87dc519c120d2273204b1c0f8f549f3b,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h44.csv,3137521,7ce62b482adecb8325f7b9bb3966273d649b8025c462fcbc34706c079c067a2d,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h45.csv,15072000,1069ae3c53044137626670bd0ebd779a1c2ae280bcbc34321797ce0d04eef02f,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h46.csv,2575573,078539d0bf62d4681dc89956c525dfdf0472c4413ded0e7777d58858962f4319,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h47.csv,19314393,a712b994fc67ced95781c8f3a3fce52aa89abacb19a89f82ac33b884babc95b7,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h48.csv,71539753,d53008a163b8e7ea625c08be6f199cfe73d72287848d8092c36e5bd034721bd4,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h49.csv,7231089,3749cb616d7a4d6a6c7c692839b8dcb9019ec550d842f30479356597be9e0129,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h50.csv,2176131,0f6b069bca2a1cab6c9822272a5d3ee27c23fe8f2d84bfae710bfa2ecb7c0452,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h51.csv,23282124,8ce897c96da062ed21b49b6906d63c0d991c48828d89a5354914c3b18f0657ab,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h53.csv,20545470,e87cd788cb0b13d7b9420986844801e26d1ef930261e4d85604234d7c7674712,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h54.csv,5731476,144d0edf1de318d21900d5f9439ea2e4e31d1f1edb4b2da41b529dd5e1d072ad,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h55.csv,17414486,19492fc1b677a61a3b023471c707661788e743fbabca32c0a89af8f3ac1f1916,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h56.csv,1754230,0bb713e62bd7524606a699836af3f01632d813b96d6390001f86156f61826d48,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h72.csv,9547560,d1bfb1c32704ab4d9773b2dadbb055550486a374c4beabc3fa155170910a1a81,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p01.csv,33212796,bab50a5c581aab06652b2d71f3b81affc416a83752cf0150c37958c3f7257675,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p02.csv,4662514,87865ee511347a1500e249b2af109648aaa73f9bd2bcd8d8a69c5ce0a3e95670,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p04.csv,49108670,3fa49f68a0e884ce3a73e066224c00126dde26deb76ab8c6d643d000b5632d2c,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p05.csv,21152558,8f5c9fac6eb9c8b34435daebbc9d58e84aff36c02f40ad5878719c85620fc205,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p06.csv,267297811,dc2187fc90df2c5f6b546ee89a2b41c9a97379c9e7136461b6a6c8de871b43e0,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p08.csv,39422156,dc2b6d03d510a2c67afb23f0882b4c7c852d1dee8f21233dd75e08be63cd35e4,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p09.csv,25559205,a837b6ae10d51eb85bd2b45e316bed8dc68a44f76d6f05c4749ac49acb46c549,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p10.csv,6418015,d844a69adea934503619c82acac2c37331883023efeb6540c1c7129f6a224c49,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p12.csv,142285432,850e370344877e1bfa3e646390f645788db68c8c9bcf36b710bc84ebdc991c37,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p13.csv,70582999,d13d80b4631b3962ed80b248d422569d236720f44f69171ed3b7d7e4fb8df8e7,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p15.csv,10096437,57f821dd8c4190fad8d677948028d75e200a4537c0a2944affd9cb50c88dcb8a,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p16.csv,11661186,197ebaaa540dff52135dafe3f465e61ff50463f5355741425b1e4157206bd8ab,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p17.csv,88630961,f9cdef125864fca5ab4daca6d8935eff33759db305937b43c17225405e29efc1,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p18.csv,47247367,c689a10ec991fb3c853fd710dbdc6152545e897299d0eb1dc7e87b07a21bb6b3,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p19.csv,22506661,427d41f382f8b36a9b4a951b6f7dca8bbce83a623b99c69d3354e39069886753,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p20.csv,20626197,dcc6f24586b0a7c77ba3afb1ad5dcbe779d41079a15745d69e869d6aa5ffd696,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p21.csv,31683598,7067ed90f6a56ffef78881c96a4681249b49ae687d5aeb81c7675cb22eb4b0d9,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p22.csv,30422941,048aadc0b564e985fc8f2ea79d66878d4028012cda4432d3b88e1188821fa5d2,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p23.csv,9278519,0dcdc4d7a027f243360868f9b18f1ab064502abd57afaa22530685b3182a5894,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p24.csv,42215342,a9cc611ea38e480c6d956ab9d085b671cf1a9c1f83727befc6495c8709854b3a,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p25.csv,49501978,47be6d5a3636d3a9a02450239e93d8d25a6d86d25b108f6e6a5a786169f4dd21,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p26.csv,69437905,2f9a630fdd506704eb0447fa5e706d63cb40488fdc4c5c274cd07f7c157e124b,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p27.csv,38783920,07123453b399a1a61b9977e191aa7700562d5cfcfe8961df768a8de84b3afd00,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p28.csv,20229762,2944df2dbdc582720746f4a29e8fc47b409b06e65a53c952a5cb1e4691cb0a70,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p29.csv,43495526,310acfa123bbcb1b53aa5a892b2231c1b0bfe0d072430031382b379aa35042e9,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p30.csv,7219500,cd2a6c5ed791f39ab50aaff058f430d7c96489405c6cb1ecdf2602d025c6d604,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p31.csv,13586448,46b6a6c5e9ca4137d868d5cb4421c5e6767d7d7f0eb373fff49d2a14e01d0c79,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p32.csv,20399880,be330dcf43f4baf9b418b302d9c8c28fb40710e553225d01ebee5d2a2fd0dbbb,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p33.csv,9695818,95b5df5ea021b3d34a06a3e48f5e35c699fb1d8c3ebdde2288c937b97c0daa65,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p34.csv,62428295,2692e67b3c5d3149736e307422c24f07aa8a950ecd63081d171ea3c6205bddb3,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p35.csv,13442944,89d0cda191700869daa53fc5265658610e584192be49ca8a42fd601f909385f3,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p36.csv,138176785,f9bfd886b96182c4e7bde11386dd5e1c7ea2d6194ef8bb4ee6bfbb0023814a91,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p37.csv,71794700,0c507477666ea3a803a45026fb375d915ef5ae869e47149fb6cc1a9272464349,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p38.csv,5458168,1e267c337813a17d3d95abf565c8d5637d2fee960006503dcbd959afbfdf6114,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p39.csv,83311699,1a5c823208992cbdd6380e6b4ed367672d58b0987791c3cce79e7b8b39b400aa,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p40.csv,26253471,7919bfab76bbd20b5767705fee2977f4292b0baf709d387e1b291eb4bdf1d8b7,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p41.csv,29581790,f015a36e303be25814a9eaeb1eb5150df767f72f4a809cbae596543030e1e39b,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p42.csv,90149201,a6ccf32d05eff309204d83c229a05271e1f812de68bdb379df9100a0d9af5e71,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p44.csv,7392751,7a637795c19f72c4706f627953f53dc30baacb96be2be796244bf984c4247238,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p45.csv,34857232,d7a4a98f5ab30cbf0b2531ff4cad44b114ede7bd9a29046d632048ee454f0320,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p46.csv,6223707,bbf1b4e49c767aefd933371152795fb42b7fed0f773d82900bcaf91494433e09,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p47.csv,47504580,3fe1322b134bea2b5bb466ee44f44c71098a905298b2fb7c8cd8ec59e672a60d,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p48.csv,188135859,32c73b8098aa793b6766d99455b4ce15d282a2542810e1d2842753aea64f23d3,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p49.csv,22028730,4ab56d4a2b77194fbca70b8ada5c6e6629148274893f1d789c95c77ce4b9a738,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p50.csv,4499009,01d8a17f099714462e056fb82768f6278f939b94ea2e629e46e8c7cc84f7a8d1,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p51.csv,59680596,cf357f37589024be43631ed7023cedc17990182f51977a99e170ea37dde5f1ad,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p53.csv,53579209,a6a28a87ba6ef2b2a87b7b8bb4f199c26a529fb816af0d197f4bb643256a4a47,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p54.csv,12581678,f49ebb223a615b599d557ad38f3bd6ae4f632d2ef4dca2e600eb59a0b6c6faf5,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p55.csv,41576763,6423feae2d5b643aa1a70dd821747d8ad593b06605c3779ef8bdd64bad204901,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p56.csv,4018071,5a98dac3cad5341136738fad4560d25356b744009910e7de954de5cc81db5212,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_p72.csv,19770298,74436d4ffee9e5974982aff45622e49a192de2f22de528e2156c7ec13832e244,fca9429814703a07e3902d005d46563a207b7f0a
