task,stratum,seed,summary_sha256,preprocess_sha256,n_rows,n_candidates_quantum,n_candidates_classical,quantum_backends
diabetes_readmission,q2000,999,953292aaf2784a727b6de02e508940ff9aa32939836990cae3cfc902b3492b9e,02f9ed89c8efaf39fdfbdc2101d421e5c91f873c969b40861cae36095ea37d5d,1260,60,115,['cuda']
diabetes_readmission,q2000,7,8e599ac1c37ddc7844b9265a42af5f61cc7d8b60da7317a35211eee7795d4afe,e3a476bde4331686bc8f96d16257863073915fd53fff606d49705ac02ea36232,1260,60,115,['cuda']
diabetes_readmission,q2000,2024,50a26a76f9d46ca4ad7ab7a83b2c2c4e02381b5daee5d710c77a87b08e0dfef6,459e679639ab31bfbd4c9dc675d3b06b611f1ff886ddf63d32cd0bd4da2e3e04,1260,60,115,['cuda']
acsincome,q1000,42,9476d1b30d3762f70aba88190e353de56fc1744a264da8868a968bb822896c2c,f28d91949293cdf2da1f35360f03b01eaca8e295086f580163611fca9b626a36,1260,60,115,['cuda']
acsincome,q1000,123,a5cb17467d176b00ca4f29b9585dd1d73ecd1ff9a05d17d11b883d7d5ce96d2e,7eb1c783a465bc21ba7d88d44fc1792250b433d814ae8dcf6f7b0f820a7f6e56,1260,60,115,['cuda']
acsincome,q1000,999,1ea3eb7acea6931a648790f3f00cb0bce12cc4ae108e62e201450b09770a97cd,45e9533ce409c51fec319ebde7a09bc5aa13ef72f414c90741dd4eb28cb150bb,1260,60,115,['cuda']
acsincome,q1000,7,941226ee166c634778fb07c8b3fcaca0ebf4ec8093c1433661283a33b49b5ee1,050a49c7c5020aaba1b876b44061a78ef17b2c06be1c6bb33a137ce3886e2ea7,1260,60,115,['cuda']
acsincome,q1000,2024,dce6016b4130bba5dc251a619e3a04764a59cf2c9ae15ce01893d5f8da86bd5b,844458512420a8ee6b75da3706224d4431d81b7113af568bf8c6c2f829adf0f1,1260,60,115,['cuda']
acsincome,q2000,42,8e5e74df6ea3829237293e04f413cd16820b9ac9cfdd9025ffa3710867d63368,817f03a92f2797b1316a974d7522c43aec9f0cfca8f9766a5f02f2acc1d540cb,1260,60,115,['cuda']
acsincome,q2000,123,d315cc071f08ea4e4d43ac12a4a8486284301fbfd139d14876b3145abd73a4a1,f7d84dc31ac75ae0703de45bf185f8004cb2594decc945df15ed27277dde7b88,1260,60,115,['cuda']
acsincome,q2000,999,bed5ec459008fcd99100bfdfead01360f407590196ad4b0ba7a4c90c2932de22,12b5cb79e46b69ce21a4a59f9c6ae3ce3d438a6e6acc4fd07cd0756911498dad,1260,60,115,['cuda']
acsincome,q2000,7,17e29e35474312879278cccd876ea8d0bad1d3d5663a57661288049bce88db4c,f6ad15a3eca2a8f22045f6892903a2ba42e3fa1e69c09d5441723ddeb37908a2,1260,60,115,['cuda']
acsincome,q2000,2024,75302f1354cc74c862180da5b703ad2d7dd51f60e1d2399eba4dd06440ab3210,c73a040126dfb04b1bebd868ab59b179966aaec2badc35a00e5f86feee38f191,1260,60,115,['cuda']
