setting,qs,seed,dim,svc_c,rho_vs_C1,n_kernels
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,4,0.1,-0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,4,10.0,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,4,100.0,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,6,0.01,0.7487048859271455,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,6,0.1,0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,6,10.0,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,6,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,8,0.01,0.7881104062391006,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,8,0.1,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,8,10.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,8,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,10,0.01,0.4899789435061114,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,10,0.1,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,10,10.0,0.9642857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,10,100.0,0.9285714285714283,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,12,0.01,0.408248290463863,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,12,0.1,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,12,10.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,12,100.0,-0.3571428571428571,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,4,0.01,0.7881104062391006,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,4,0.1,-0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,4,10.0,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,4,100.0,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,6,0.01,0.7487048859271455,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,6,0.1,0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,6,10.0,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,6,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,8,0.01,0.7881104062391006,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,8,0.1,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,8,10.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,8,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,10,0.01,0.4899789435061114,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,10,0.1,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,10,10.0,0.9642857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,10,100.0,0.9285714285714283,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,12,0.01,0.408248290463863,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,12,0.1,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,12,10.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,12,100.0,-0.3571428571428571,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,4,0.01,0.7881104062391006,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,4,0.1,-0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,4,10.0,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,4,100.0,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,6,0.01,0.7487048859271455,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,6,0.1,0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,6,10.0,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,6,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,8,0.01,0.7881104062391006,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,8,0.1,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,8,10.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,8,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,10,0.01,0.4899789435061114,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,10,0.1,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,10,10.0,0.9642857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,10,100.0,0.9285714285714283,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,12,0.01,0.408248290463863,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,12,0.1,0.6428571428571427,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,12,10.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,12,100.0,-0.3571428571428571,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,4,0.01,-0.1482498633322202,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,4,0.1,-0.14285714285714282,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,4,10.0,-0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,4,100.0,-0.5714285714285713,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,6,0.01,-0.44908871313907184,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,6,0.1,-0.39285714285714274,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,6,10.0,-0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,6,100.0,-0.32142857142857134,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,8,0.01,-0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,8,0.1,-0.39285714285714274,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,8,10.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,8,100.0,-0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,10,0.01,-0.03706246583305505,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,10,0.1,-0.07207499701564471,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,10,10.0,0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,10,100.0,-0.46428571428571414,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,12,0.01,0.39295262399668784,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,12,0.1,0.23424374030084527,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,12,10.0,-0.07142857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,12,100.0,-0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,4,0.01,-0.1482498633322202,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,4,0.1,-0.14285714285714282,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,4,10.0,-0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,4,100.0,-0.5714285714285713,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,6,0.01,-0.44908871313907184,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,6,0.1,-0.39285714285714274,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,6,10.0,-0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,6,100.0,-0.32142857142857134,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,8,0.01,-0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,8,0.1,-0.39285714285714274,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,8,10.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,8,100.0,-0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,10,0.01,-0.03706246583305505,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,10,0.1,-0.07207499701564471,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,10,10.0,0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,10,100.0,-0.46428571428571414,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,12,0.01,0.39295262399668784,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,12,0.1,0.23424374030084527,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,12,10.0,-0.07142857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,12,100.0,-0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,4,0.01,-0.1482498633322202,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,4,0.1,-0.14285714285714282,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,4,10.0,-0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,4,100.0,-0.5714285714285713,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,6,0.01,-0.44908871313907184,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,6,0.1,-0.39285714285714274,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,6,10.0,-0.10714285714285711,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,6,100.0,-0.32142857142857134,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,8,0.01,-0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,8,0.1,-0.39285714285714274,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,8,10.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,8,100.0,-0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,10,0.01,-0.03706246583305505,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,10,0.1,-0.07207499701564471,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,10,10.0,0.24999999999999994,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,10,100.0,-0.46428571428571414,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,12,0.01,0.39295262399668784,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,12,0.1,0.23424374030084527,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,12,10.0,-0.07142857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,12,100.0,-0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,4,0.01,0.5188745216627708,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,4,0.1,0.6486749731408024,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,4,10.0,0.8214285714285713,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,4,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,6,0.01,0.8524367141602663,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,6,0.1,0.7207499701564472,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,6,10.0,0.8571428571428569,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,6,100.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,8,0.01,0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,8,0.1,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,8,10.0,0.9642857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,8,100.0,0.4504687313477794,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,10,0.01,0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,10,0.1,0.8468812149338253,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,10,10.0,0.4999999999999999,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,10,100.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,12,0.01,0.6923450994227357,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,12,0.1,0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,12,10.0,0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,12,100.0,0.46428571428571414,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,4,0.01,0.5188745216627708,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,4,0.1,0.6486749731408024,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,4,10.0,0.8214285714285713,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,4,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,6,0.01,0.8524367141602663,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,6,0.1,0.7928249671720917,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,6,10.0,0.8571428571428569,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,6,100.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,8,0.01,0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,8,0.1,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,8,10.0,0.9642857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,8,100.0,0.4504687313477794,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,10,0.01,0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,10,0.1,0.8468812149338253,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,10,10.0,0.4999999999999999,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,10,100.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,12,0.01,0.6923450994227357,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,12,0.1,0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,12,10.0,0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,12,100.0,0.46428571428571414,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,4,0.01,0.5188745216627708,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,4,0.1,0.6486749731408024,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,4,10.0,0.8214285714285713,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,4,100.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,6,0.01,0.8524367141602663,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,6,0.1,0.7928249671720917,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,6,10.0,0.8571428571428569,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,6,100.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,8,0.01,0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,8,0.1,0.7499999999999998,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,8,10.0,0.9642857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,8,100.0,0.4504687313477794,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,10,0.01,0.704186850828046,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,10,0.1,0.8468812149338253,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,10,10.0,0.4999999999999999,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,10,100.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,12,0.01,0.6923450994227357,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,12,0.1,0.5357142857142856,7
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,12,10.0,0.5357142857142856,7
