setting,qs,seed,fam,sel_c,sel_kernel,p1c_ood,p1c_id
m1_hist_byteent__ms123__q2000_id1000_ood1000,123,42,quantum,1.0,zz_r2_full,0.7437243194658449,0.8223705268548749
m1_hist_byteent__ms123__q2000_id1000_ood1000,123,999,classical_ext,10.0,laplacian_med,0.765761427837699,0.8318369502592664
m1_hist_byteent__ms123__q2000_id1000_ood1000,123,999,quantum,1.0,zz_r2_full,0.7437243194658449,0.8223705268548749
m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,classical_ext,100.0,laplacian_med,0.7641550975965157,0.8201661039189643
m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,quantum,1.0,zz_r1_full,0.7878937086675954,0.8046438687170953
m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,classical_ext,100.0,laplacian_med,0.7641550975965157,0.8201661039189643
m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,quantum,1.0,zz_r1_full,0.7878937086675954,0.8046438687170953
m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,classical_ext,100.0,laplacian_med,0.7641550975965157,0.8201661039189643
m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,quantum,1.0,zz_r1_full,0.7878937086675954,0.8046438687170953
m1_hist_byteent__ms123__q2000_id1000_ood1000,42,123,classical_ext,10.0,laplacian_med,0.7472476036549263,0.8158054759885424
m1_hist_byteent__ms123__q2000_id1000_ood1000,42,123,quantum,1.0,zz_r2_full,0.7283568833912083,0.8052719591621194
m1_hist_byteent__ms123__q2000_id1000_ood1000,42,42,classical_ext,10.0,laplacian_med,0.7472476036549263,0.8158054759885424
m1_hist_byteent__ms123__q2000_id1000_ood1000,42,42,quantum,1.0,zz_r2_full,0.7283568833912083,0.8052719591621194
m1_hist_byteent__ms123__q2000_id1000_ood1000,42,999,classical_ext,10.0,laplacian_med,0.7472476036549263,0.8158054759885424
m1_hist_byteent__ms123__q2000_id1000_ood1000,42,999,quantum,1.0,zz_r2_full,0.7283568833912083,0.8052719591621194
m1_hist_byteent__ms123__q2000_id1000_ood1000,7,123,classical_ext,100.0,laplacian_med,0.7601310809563371,0.8141595752767543
m1_hist_byteent__ms123__q2000_id1000_ood1000,7,123,quantum,1.0,zz_r2_full,0.7822936357908002,0.804325647826974
m1_hist_byteent__ms123__q2000_id1000_ood1000,7,42,classical_ext,100.0,laplacian_med,0.7601310809563371,0.8141595752767543
m1_hist_byteent__ms123__q2000_id1000_ood1000,7,42,quantum,1.0,zz_r2_full,0.7822936357908002,0.804325647826974
m1_hist_byteent__ms123__q2000_id1000_ood1000,7,999,classical_ext,100.0,laplacian_med,0.7601310809563371,0.8141595752767543
m1_hist_byteent__ms123__q2000_id1000_ood1000,7,999,quantum,1.0,zz_r2_full,0.7822936357908002,0.804325647826974
m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123,classical_ext,100.0,laplacian_med,0.7052902171823947,0.7896581524870367
m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123,quantum,1.0,zz_r1_full,0.7050820039720673,0.7753344856283209
m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42,classical_ext,100.0,laplacian_med,0.7052902171823947,0.7896581524870367
m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42,quantum,1.0,zz_r1_full,0.7050820039720673,0.7753344856283209
m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999,classical_ext,100.0,laplacian_med,0.7052902171823947,0.7896581524870367
m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999,quantum,1.0,zz_r1_full,0.7050820039720673,0.7753344856283209
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,123,classical_ext,10.0,laplacian_med,0.7456091001823746,0.810112934062514
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,123,quantum,1.0,zz_r2_full,0.7355383141170289,0.8012427193099462
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,42,classical_ext,10.0,laplacian_med,0.7461871348644555,0.8106575963718821
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,42,quantum,1.0,zz_r2_full,0.7355383141170289,0.8012427193099462
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,999,classical_ext,10.0,laplacian_med,0.7435133380730117,0.810112934062514
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,999,quantum,1.0,zz_r2_full,0.7355383141170289,0.8012427193099462
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,classical_ext,100.0,laplacian_med,0.7576370656370657,0.8189199304806691
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,quantum,1.0,zz_r2_full,0.7611274131274132,0.7938951947912383
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,classical_ext,100.0,laplacian_med,0.7576370656370657,0.8189199304806691
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,quantum,1.0,zz_r2_full,0.7611274131274132,0.7938951947912383
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,classical_ext,100.0,laplacian_med,0.7576370656370657,0.8189199304806691
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,quantum,1.0,zz_r2_full,0.7611274131274132,0.7938951947912383
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123,classical_ext,100.0,laplacian_med,0.7497731411463316,0.8310663237652648
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123,quantum,1.0,zz_r2_full,0.7540263588382357,0.8109268338455042
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42,classical_ext,100.0,laplacian_med,0.7497731411463316,0.8310663237652648
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42,quantum,1.0,zz_r2_full,0.7540263588382357,0.8109268338455042
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999,classical_ext,100.0,laplacian_med,0.7497731411463316,0.8310663237652648
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999,quantum,1.0,zz_r2_full,0.7540263588382357,0.8109268338455042
m1_hist_byteent__ms123__q4000_id1800_ood1800,7,123,classical_ext,100.0,laplacian_med,0.7153664650501897,0.8171040674818751
m1_hist_byteent__ms123__q4000_id1800_ood1800,7,123,quantum,1.0,zz_r2_full,0.7473384028067189,0.7991075838090911
m1_hist_byteent__ms123__q4000_id1800_ood1800,7,42,classical_ext,100.0,laplacian_med,0.7142534728448452,0.8181955117441377
m1_hist_byteent__ms123__q4000_id1800_ood1800,7,42,quantum,1.0,zz_r2_full,0.7473384028067189,0.7991075838090911
m1_hist_byteent__ms123__q4000_id1800_ood1800,7,999,classical_ext,10.0,laplacian_med,0.7305823051552562,0.8163756148633966
m1_hist_byteent__ms123__q4000_id1800_ood1800,7,999,quantum,1.0,zz_r2_full,0.7473384028067189,0.7991075838090911
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,123,classical_ext,100.0,laplacian_med,0.6523202848820626,0.8221191869661499
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,123,quantum,1.0,zz_r2_full,0.7320087321686326,0.8027078060740271
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,42,classical_ext,100.0,laplacian_med,0.6528827145783506,0.8221191869661499
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,42,quantum,1.0,zz_r2_full,0.7320087321686326,0.8027078060740271
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,999,classical_ext,100.0,laplacian_med,0.6523202848820626,0.8221191869661499
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,999,quantum,1.0,zz_r2_full,0.7320087321686326,0.8021344115786143
m1_hist_byteent__ms42__q1000_id500_ood500,123,123,classical_ext,100.0,matern15_med,0.7040639861651534,0.8079511046316026
m1_hist_byteent__ms42__q1000_id500_ood500,123,123,quantum,1.0,zz_r2_full,0.7328705705272933,0.785938576395008
m1_hist_byteent__ms42__q1000_id500_ood500,123,42,classical_ext,100.0,matern15_med,0.7040639861651534,0.8079511046316026
m1_hist_byteent__ms42__q1000_id500_ood500,123,42,quantum,1.0,zz_r2_full,0.7328705705272933,0.785938576395008
m1_hist_byteent__ms42__q1000_id500_ood500,123,999,classical_ext,100.0,matern15_med,0.7040639861651534,0.8079511046316026
m1_hist_byteent__ms42__q1000_id500_ood500,123,999,quantum,1.0,zz_r2_full,0.7328705705272933,0.785938576395008
m1_hist_byteent__ms42__q1000_id500_ood500,2024,123,classical_ext,100.0,laplacian_med,0.6022676246070948,0.7875
m1_hist_byteent__ms42__q1000_id500_ood500,2024,123,quantum,1.0,zz_r2_full,0.7441144396689974,0.7541666666666667
m1_hist_byteent__ms42__q1000_id500_ood500,2024,42,classical_ext,100.0,laplacian_med,0.6022676246070948,0.7875
m1_hist_byteent__ms42__q1000_id500_ood500,2024,42,quantum,1.0,zz_r2_full,0.7441144396689974,0.7541666666666667
m1_hist_byteent__ms42__q1000_id500_ood500,2024,999,classical_ext,100.0,laplacian_med,0.6022676246070948,0.7875
m1_hist_byteent__ms42__q1000_id500_ood500,2024,999,quantum,1.0,zz_r2_full,0.7441144396689974,0.7541666666666667
m1_hist_byteent__ms42__q1000_id500_ood500,42,123,classical_ext,1.0,laplacian_med,0.7555071721311475,0.8353193670318406
m1_hist_byteent__ms42__q1000_id500_ood500,42,123,quantum,1.0,zz_r1_full,0.7411629098360656,0.8239477224678071
m1_hist_byteent__ms42__q1000_id500_ood500,42,42,classical_ext,1.0,laplacian_med,0.7555071721311475,0.8353193670318406
m1_hist_byteent__ms42__q1000_id500_ood500,42,42,quantum,1.0,zz_r1_full,0.7411629098360656,0.8239477224678071
m1_hist_byteent__ms42__q1000_id500_ood500,42,999,classical_ext,1.0,laplacian_med,0.7555071721311475,0.8353193670318406
m1_hist_byteent__ms42__q1000_id500_ood500,42,999,quantum,1.0,zz_r1_full,0.7411629098360656,0.8239477224678071
m1_hist_byteent__ms42__q1000_id500_ood500,7,123,classical_ext,100.0,laplacian_med,0.6149445520154903,0.7976588628762542
m1_hist_byteent__ms42__q1000_id500_ood500,7,123,quantum,1.0,zz_r1_full,0.7523083323998656,0.7738954409434959
m1_hist_byteent__ms42__q1000_id500_ood500,7,42,classical_ext,100.0,laplacian_med,0.6149445520154903,0.7976588628762542
m1_hist_byteent__ms42__q1000_id500_ood500,7,42,quantum,1.0,zz_r1_full,0.7523083323998656,0.7738954409434959
m1_hist_byteent__ms42__q1000_id500_ood500,7,999,classical_ext,100.0,laplacian_med,0.6149445520154903,0.7976588628762542
m1_hist_byteent__ms42__q1000_id500_ood500,7,999,quantum,1.0,zz_r1_full,0.7523083323998656,0.7738954409434959
m1_hist_byteent__ms42__q1000_id500_ood500,999,123,classical_ext,100.0,laplacian_med,0.7726359452978158,0.7963052092859091
m1_hist_byteent__ms42__q1000_id500_ood500,999,123,quantum,1.0,zz_r1_full,0.7294218679110765,0.7846898012225056
m1_hist_byteent__ms42__q1000_id500_ood500,999,42,classical_ext,100.0,laplacian_med,0.7726359452978158,0.7963052092859091
m1_hist_byteent__ms42__q1000_id500_ood500,999,42,quantum,1.0,zz_r1_full,0.7294218679110765,0.7846898012225056
m1_hist_byteent__ms42__q1000_id500_ood500,999,999,classical_ext,100.0,laplacian_med,0.7726359452978158,0.7963052092859091
m1_hist_byteent__ms42__q1000_id500_ood500,999,999,quantum,1.0,zz_r1_full,0.7294218679110765,0.7846898012225056
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,123,classical_ext,100.0,laplacian_med,0.73534604519774,0.7946754369118494
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,123,quantum,1.0,zz_r2_full,0.7430662557781202,0.7948674860764355
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,42,classical_ext,100.0,laplacian_med,0.73534604519774,0.7946754369118494
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,42,quantum,1.0,zz_r2_full,0.7430662557781202,0.7948674860764355
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,999,classical_ext,100.0,laplacian_med,0.73534604519774,0.7946754369118494
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,999,quantum,1.0,zz_r2_full,0.7430662557781202,0.7948674860764355
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,123,classical_ext,10.0,laplacian_med,0.7398200188948135,0.7918814149156425
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,123,quantum,1.0,zz_r2_full,0.7482025908312118,0.7859025032938076
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,42,classical_ext,10.0,laplacian_med,0.7398200188948135,0.7918814149156425
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,42,quantum,1.0,zz_r2_full,0.7482025908312118,0.7859025032938076
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,999,classical_ext,10.0,laplacian_med,0.7398200188948135,0.7918814149156425
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,999,quantum,1.0,zz_r2_full,0.7482025908312118,0.7859025032938076
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,123,classical_ext,100.0,laplacian_med,0.618605079131395,0.8099811593217355
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,123,quantum,1.0,zz_r1_full,0.760357491478773,0.7937765759567343
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,42,classical_ext,100.0,laplacian_med,0.618605079131395,0.8099811593217355
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,42,quantum,1.0,zz_r1_full,0.760357491478773,0.7937765759567343
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,999,classical_ext,100.0,laplacian_med,0.618605079131395,0.8099811593217355
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,999,quantum,1.0,zz_r1_full,0.760357491478773,0.7937765759567343
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,123,classical_ext,100.0,matern15_med,0.7237205960852306,0.8105019540008969
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,123,quantum,1.0,zz_r2_full,0.7561175795375643,0.8033346146453969
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,42,classical_ext,100.0,matern15_med,0.7237205960852306,0.8105019540008969
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,42,quantum,1.0,zz_r2_full,0.7561175795375643,0.8033346146453969
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,999,classical_ext,100.0,matern15_med,0.7237205960852306,0.8105019540008969
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,999,quantum,1.0,zz_r2_full,0.7561175795375643,0.8033346146453969
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,123,classical_ext,100.0,laplacian_med,0.7391809212633738,0.8060128962063393
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,123,quantum,1.0,zz_r2_full,0.737875584598629,0.8000448007168115
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,42,classical_ext,100.0,laplacian_med,0.7391809212633738,0.8060128962063393
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,42,quantum,1.0,zz_r2_full,0.737875584598629,0.8000448007168115
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,999,classical_ext,100.0,laplacian_med,0.7391809212633738,0.8060128962063393
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,999,quantum,1.0,zz_r2_full,0.737875584598629,0.8000448007168115
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,123,classical_ext,100.0,laplacian_med,0.7372878736360545,0.8089923032169366
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,123,quantum,1.0,zz_r2_full,0.7634601712466385,0.8054014593130334
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,42,classical_ext,100.0,laplacian_med,0.7372878736360545,0.8095351913819746
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,42,quantum,1.0,zz_r2_full,0.7634601712466385,0.8054014593130334
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,999,classical_ext,100.0,laplacian_med,0.7372878736360545,0.8095351913819746
m1_hist_byteent__ms42__q4000_id1800_ood1800,123,999,quantum,1.0,zz_r2_full,0.7634601712466385,0.8054014593130334
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,123,classical_ext,10.0,laplacian_med,0.7629652509652509,0.816517295490715
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,123,quantum,1.0,zz_r2_full,0.7486023166023166,0.8076710813370191
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,42,classical_ext,10.0,laplacian_med,0.7629652509652509,0.816517295490715
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,42,quantum,1.0,zz_r2_full,0.7486023166023166,0.8076710813370191
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,999,classical_ext,10.0,laplacian_med,0.7629652509652509,0.8159573850763812
m1_hist_byteent__ms42__q4000_id1800_ood1800,2024,999,quantum,1.0,zz_r2_full,0.7486023166023166,0.8076710813370191
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,123,classical_ext,100.0,laplacian_med,0.6190283650729961,0.8253158165689847
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,123,quantum,1.0,zz_r1_full,0.7481897589431772,0.7975605892602566
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,42,classical_ext,100.0,laplacian_med,0.6190345381030279,0.8253158165689847
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,42,quantum,1.0,zz_r1_full,0.7481897589431772,0.7975605892602566
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,999,classical_ext,100.0,laplacian_med,0.6190283650729961,0.8253158165689847
m1_hist_byteent__ms42__q4000_id1800_ood1800,42,999,quantum,1.0,zz_r1_full,0.7481897589431772,0.7975605892602566
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,123,classical_ext,100.0,laplacian_med,0.6309627011578829,0.833193612946956
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,123,quantum,1.0,zz_r2_full,0.761318821563853,0.7970241409665524
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,42,classical_ext,100.0,laplacian_med,0.6320756933632274,0.8337448808631633
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,42,quantum,1.0,zz_r2_full,0.761318821563853,0.7970241409665524
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,999,classical_ext,100.0,laplacian_med,0.6314963190874454,0.833193612946956
m1_hist_byteent__ms42__q4000_id1800_ood1800,7,999,quantum,1.0,zz_r2_full,0.761318821563853,0.7970241409665524
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,123,classical_ext,100.0,laplacian_med,0.7438061735148089,0.8339164637850063
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,123,quantum,1.0,zz_r2_full,0.748324749746567,0.8166706996083931
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,42,classical_ext,100.0,laplacian_med,0.7432573260943919,0.8339164637850063
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,42,quantum,1.0,zz_r2_full,0.748324749746567,0.8166706996083931
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,999,classical_ext,100.0,laplacian_med,0.7432573260943919,0.8333621400599509
m1_hist_byteent__ms42__q4000_id1800_ood1800,999,999,quantum,1.0,zz_r2_full,0.748324749746567,0.8166706996083931
m1_hist_byteent__ms999__q1000_id500_ood500,123,123,classical_ext,10.0,laplacian_med,0.7504523546460424,0.7980769230769231
m1_hist_byteent__ms999__q1000_id500_ood500,123,123,quantum,1.0,zz_r2_full,0.6993803141663064,0.7891025641025641
m1_hist_byteent__ms999__q1000_id500_ood500,123,42,classical_ext,10.0,laplacian_med,0.7504523546460424,0.7980769230769231
m1_hist_byteent__ms999__q1000_id500_ood500,123,42,quantum,1.0,zz_r2_full,0.6993803141663064,0.7891025641025641
m1_hist_byteent__ms999__q1000_id500_ood500,123,999,classical_ext,10.0,laplacian_med,0.7504523546460424,0.7980769230769231
m1_hist_byteent__ms999__q1000_id500_ood500,123,999,quantum,1.0,zz_r2_full,0.6993803141663064,0.7891025641025641
m1_hist_byteent__ms999__q1000_id500_ood500,2024,123,classical_ext,10.0,laplacian_med,0.7454775803451151,0.7799859190988223
m1_hist_byteent__ms999__q1000_id500_ood500,2024,123,quantum,1.0,zz_r1_full,0.747947270511258,0.7501280081925243
m1_hist_byteent__ms999__q1000_id500_ood500,2024,42,classical_ext,10.0,laplacian_med,0.7454775803451151,0.7799859190988223
m1_hist_byteent__ms999__q1000_id500_ood500,2024,42,quantum,1.0,zz_r1_full,0.7498556674578228,0.7501280081925243
m1_hist_byteent__ms999__q1000_id500_ood500,2024,999,classical_ext,10.0,laplacian_med,0.7454775803451151,0.7799859190988223
m1_hist_byteent__ms999__q1000_id500_ood500,2024,999,quantum,1.0,zz_r1_full,0.747947270511258,0.7501280081925243
m1_hist_byteent__ms999__q1000_id500_ood500,42,123,classical_ext,10.0,laplacian_med,0.7813780737704918,0.8298131080389144
m1_hist_byteent__ms999__q1000_id500_ood500,42,123,quantum,1.0,zz_r1_full,0.7491995389344263,0.8100358422939069
m1_hist_byteent__ms999__q1000_id500_ood500,42,42,classical_ext,10.0,laplacian_med,0.7813780737704918,0.8298131080389144
m1_hist_byteent__ms999__q1000_id500_ood500,42,42,quantum,1.0,zz_r1_full,0.7491995389344263,0.8100358422939069
m1_hist_byteent__ms999__q1000_id500_ood500,42,999,classical_ext,10.0,laplacian_med,0.7813780737704918,0.8298131080389144
m1_hist_byteent__ms999__q1000_id500_ood500,42,999,quantum,1.0,zz_r1_full,0.7491995389344263,0.8100358422939069
m1_hist_byteent__ms999__q1000_id500_ood500,7,123,classical_ext,10.0,matern15_med,0.7976108559632586,0.7749096748293858
m1_hist_byteent__ms999__q1000_id500_ood500,7,123,quantum,1.0,zz_r1_full,0.7347618057000208,0.7548775592131673
m1_hist_byteent__ms999__q1000_id500_ood500,7,42,classical_ext,10.0,matern15_med,0.7976108559632586,0.7749096748293858
m1_hist_byteent__ms999__q1000_id500_ood500,7,42,quantum,1.0,zz_r1_full,0.7347618057000208,0.7548775592131673
m1_hist_byteent__ms999__q1000_id500_ood500,7,999,classical_ext,10.0,matern15_med,0.7976108559632586,0.7749096748293858
m1_hist_byteent__ms999__q1000_id500_ood500,7,999,quantum,1.0,zz_r1_full,0.7347618057000208,0.7548775592131673
m1_hist_byteent__ms999__q1000_id500_ood500,999,123,classical_ext,10.0,laplacian_med,0.751490699332426,0.7806322529011605
m1_hist_byteent__ms999__q1000_id500_ood500,999,123,quantum,1.0,zz_r1_full,0.7163296389915095,0.7737094837935174
m1_hist_byteent__ms999__q1000_id500_ood500,999,42,classical_ext,10.0,laplacian_med,0.751490699332426,0.7806322529011605
m1_hist_byteent__ms999__q1000_id500_ood500,999,42,quantum,1.0,zz_r1_full,0.7163296389915095,0.7737094837935174
m1_hist_byteent__ms999__q1000_id500_ood500,999,999,classical_ext,10.0,laplacian_med,0.751490699332426,0.7806322529011605
m1_hist_byteent__ms999__q1000_id500_ood500,999,999,quantum,1.0,zz_r1_full,0.7163296389915095,0.7737094837935174
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,123,classical_ext,10.0,laplacian_med,0.6535535439137135,0.8115466055053215
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,123,quantum,1.0,zz_r2_full,0.7259405495634309,0.8084805328402
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,classical_ext,10.0,laplacian_med,0.6535535439137135,0.8115466055053215
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,quantum,1.0,zz_r2_full,0.7259405495634309,0.8084805328402
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,classical_ext,10.0,laplacian_med,0.6535535439137135,0.8115466055053215
